Freq.	V(vout)/(V(v1)-V(v2))
3.38844156139201e+003	(4.22990957350558e+001dB,-1.79998925787732e+002°)
3.46736850452530e+003	(4.22990986417544e+001dB,-1.79998900765201e+002°)
3.54813389233574e+003	(4.22991016854373e+001dB,-1.79998875159558e+002°)
3.63078054770100e+003	(4.22991048725610e+001dB,-1.79998848964254e+002°)
3.71535229097171e+003	(4.22990954956732e+001dB,-1.79998822151358e+002°)
3.80189396320559e+003	(4.22990989902790e+001dB,-1.79998794717729e+002°)
3.89045144994279e+003	(4.22991026495654e+001dB,-1.79998766645306e+002°)
3.98107170553495e+003	(4.22991064813079e+001dB,-1.79998737917711e+002°)
4.07380277804111e+003	(4.22990977794155e+001dB,-1.79998708519953e+002°)
4.16869383470333e+003	(4.22991019808195e+001dB,-1.79998678442669e+002°)
4.26579518801591e+003	(4.22991063802223e+001dB,-1.79998647657807e+002°)
4.36515832240164e+003	(4.22991109869476e+001dB,-1.79998616158819e+002°)
4.46683592150961e+003	(4.22991030965727e+001dB,-1.79998583927257e+002°)
4.57088189614873e+003	(4.22990954335141e+001dB,-1.79998550938894e+002°)
4.67735141287196e+003	(4.22991007227158e+001dB,-1.79998517195902e+002°)
4.78630092322636e+003	(4.22991062611758e+001dB,-1.79998482653627e+002°)
4.89778819368444e+003	(4.22990993464255e+001dB,-1.79998447316353e+002°)
5.01187233627270e+003	(4.22991054191926e+001dB,-1.79998411149267e+002°)
5.12861383991362e+003	(4.22990990639382e+001dB,-1.79998374141224e+002°)
5.24807460249770e+003	(4.22991057225402e+001dB,-1.79998336277279e+002°)
5.37031796370250e+003	(4.22990999807402e+001dB,-1.79998297526415e+002°)
5.49540873857622e+003	(4.22991072817256e+001dB,-1.79998257873910e+002°)
5.62341325190346e+003	(4.22991022125530e+001dB,-1.79998217295073e+002°)
5.75439937337154e+003	(4.22991102178634e+001dB,-1.79998175768863e+002°)
5.88843655355586e+003	(4.22991058862105e+001dB,-1.79998133290011e+002°)
6.02559586074354e+003	(4.22991019495795e+001dB,-1.79998089815268e+002°)
6.16595001861479e+003	(4.22990984265880e+001dB,-1.79998045318433e+002°)
6.30957344480190e+003	(4.22991080509381e+001dB,-1.79997999789341e+002°)
6.45654229034652e+003	(4.22991054146128e+001dB,-1.79997953202556e+002°)
6.60693448007592e+003	(4.22991032531799e+001dB,-1.79997905541296e+002°)
6.76082975391978e+003	(4.22991143032426e+001dB,-1.79997856756292e+002°)
6.91830970918932e+003	(4.22991004456258e+001dB,-1.79997806831595e+002°)
7.07945784384134e+003	(4.22990998474483e+001dB,-1.79997755756973e+002°)
7.24435960074986e+003	(4.22991125344150e+001dB,-1.79997703486803e+002°)
7.41310241300913e+003	(4.22991003908196e+001dB,-1.79997650004464e+002°)
7.58577575029179e+003	(4.22991015874200e+001dB,-1.79997595274196e+002°)
7.76247116628687e+003	(4.22991034395507e+001dB,-1.79997539273000e+002°)
7.94328234724277e+003	(4.22991059780351e+001dB,-1.79997481961586e+002°)
8.12830516164094e+003	(4.22991092352800e+001dB,-1.79997423313770e+002°)
8.31763771102666e+003	(4.22991132450726e+001dB,-1.79997363303368e+002°)
8.51138038202371e+003	(4.22991053287302e+001dB,-1.79997301906804e+002°)
8.70963589956075e+003	(4.22991109517402e+001dB,-1.79997239066392e+002°)
8.91250938133740e+003	(4.22991047246015e+001dB,-1.79997174767620e+002°)
9.12010839355904e+003	(4.22991121163907e+001dB,-1.79997108972833e+002°)
9.33254300796985e+003	(4.22991077413784e+001dB,-1.79997041640937e+002°)
9.54992586021430e+003	(4.22991043583663e+001dB,-1.79996972762998e+002°)
9.77237220955804e+003	(4.22991147282554e+001dB,-1.79996902264962e+002°)
9.99999999999993e+003	(4.22991007574203e+001dB,-1.79996830120164e+002°)
1.02329299228075e+004	(4.22991133538736e+001dB,-1.79996756294583e+002°)
1.04712854805089e+004	(4.22991144286549e+001dB,-1.79996680774348e+002°)
1.07151930523760e+004	(4.22991040379690e+001dB,-1.79996603480555e+002°)
1.09647819614318e+004	(4.22991076690334e+001dB,-1.79996524383777e+002°)
1.12201845430196e+004	(4.22991126692030e+001dB,-1.79996443439905e+002°)
1.14815362149688e+004	(4.22991191029168e+001dB,-1.79996360635903e+002°)
1.17489755493952e+004	(4.22991143236305e+001dB,-1.79996275900873e+002°)
1.20226443461740e+004	(4.22991111161482e+001dB,-1.79996189174570e+002°)
1.23026877081237e+004	(4.22991095544738e+001dB,-1.79996100430863e+002°)
1.25892541179416e+004	(4.22991097162113e+001dB,-1.79996009643628e+002°)
1.28824955169313e+004	(4.22991116823787e+001dB,-1.79995916734332e+002°)
1.31825673855640e+004	(4.22991028238306e+001dB,-1.79995821670749e+002°)
1.34896288259164e+004	(4.22991213721505e+001dB,-1.79995724392711e+002°)
1.38038426460288e+004	(4.22991165637840e+001dB,-1.79995624836269e+002°)
1.41253754462274e+004	(4.22991139244858e+001dB,-1.79995522987565e+002°)
1.44543977074592e+004	(4.22991135565082e+001dB,-1.79995418741892e+002°)
1.47910838816820e+004	(4.22991155666950e+001dB,-1.79995312099389e+002°)
1.51356124843620e+004	(4.22991200671041e+001dB,-1.79995202955371e+002°)
1.54881661891247e+004	(4.22991144607319e+001dB,-1.79995091276609e+002°)
1.58489319246110e+004	(4.22991242986520e+001dB,-1.79994977011962e+002°)
1.62181009735892e+004	(4.22991115668569e+001dB,-1.79994860087137e+002°)
1.65958690743755e+004	(4.22991145424940e+001dB,-1.79994740432656e+002°)
1.69824365246173e+004	(4.22991206521787e+001dB,-1.79994618015172e+002°)
1.73780082874936e+004	(4.22991173291749e+001dB,-1.79994492748230e+002°)
1.77827941003891e+004	(4.22991174422513e+001dB,-1.79994364574245e+002°)
1.81970085860997e+004	(4.22991211530088e+001dB,-1.79994233414850e+002°)
1.86208713666285e+004	(4.22991159165639e+001dB,-1.79994099196169e+002°)
1.90546071796323e+004	(4.22991146242822e+001dB,-1.79993961861220e+002°)
1.94984459975803e+004	(4.22991301759051e+001dB,-1.79993821366947e+002°)
1.99526231496887e+004	(4.22991246231591e+001dB,-1.79993677581729e+002°)
2.04173794466951e+004	(4.22991235979613e+001dB,-1.79993530444975e+002°)
2.08929613085402e+004	(4.22991273128828e+001dB,-1.79993379930868e+002°)
2.13796208950222e+004	(4.22991359912286e+001dB,-1.79993225908789e+002°)
2.18776162394954e+004	(4.22991244377291e+001dB,-1.79993068280280e+002°)
2.23872113856832e+004	(4.22991310393628e+001dB,-1.79992907023155e+002°)
2.29086765276776e+004	(4.22991306237600e+001dB,-1.79992742012563e+002°)
2.34422881531990e+004	(4.22991361725995e+001dB,-1.79992573180579e+002°)
2.39883291901947e+004	(4.22991352521463e+001dB,-1.79992400438052e+002°)
2.45470891568501e+004	(4.22991408700843e+001dB,-1.79992223665197e+002°)
2.51188643150956e+004	(4.22991406194412e+001dB,-1.79992042824847e+002°)
