Freq.	-V(n005)/I(V1)
2.87038405374220e+004	(9.73774684034736e+001dB,-5.02329863551771e+000°)
2.87700097236108e+004	(9.73806451218563e+001dB,-5.10609196929660e+000°)
2.88363314455272e+004	(9.73837743913612e+001dB,-5.19121779869677e+000°)
2.89028060548024e+004	(9.73868486682504e+001dB,-5.27876116732721e+000°)
2.89694339038781e+004	(9.73898597308455e+001dB,-5.36881043996901e+000°)
2.90362153460085e+004	(9.73927986206767e+001dB,-5.46145739327382e+000°)
2.91031507352622e+004	(9.73956555784660e+001dB,-5.55679730002758e+000°)
2.91702404265240e+004	(9.73984199745015e+001dB,-5.65492900493779e+000°)
2.92374847754967e+004	(9.74010802329272e+001dB,-5.75595498953629e+000°)
2.93048841387032e+004	(9.74036237494390e+001dB,-5.85998142336616e+000°)
2.93724388734881e+004	(9.74060368018451e+001dB,-5.96711819813210e+000°)
2.94401493380201e+004	(9.74083044529133e+001dB,-6.07747894093028e+000°)
2.95080158912931e+004	(9.74104104448990e+001dB,-6.19118100202409e+000°)
2.95760388931290e+004	(9.74123370851127e+001dB,-6.30834541188616e+000°)
2.96442187041789e+004	(9.74140651218644e+001dB,-6.42909680137148e+000°)
2.97125556859253e+004	(9.74155736100976e+001dB,-6.55356327790637e+000°)
2.97810502006843e+004	(9.74168397660136e+001dB,-6.68187624945940e+000°)
2.98497026116067e+004	(9.74178388099829e+001dB,-6.81417018678519e+000°)
2.99185132826810e+004	(9.74185437970529e+001dB,-6.95058231298404e+000°)
2.99874825787343e+004	(9.74189254343892e+001dB,-7.09125220777983e+000°)
3.00566108654352e+004	(9.74189518850415e+001dB,-7.23632131206815e+000°)
3.01258985092948e+004	(9.74185885575068e+001dB,-7.38593231620803e+000°)
3.01953458776694e+004	(9.74177978806888e+001dB,-7.54022841320510e+000°)
3.02649533387619e+004	(9.74165390640150e+001dB,-7.69935239535060e+000°)
3.03347212616243e+004	(9.74147678427088e+001dB,-7.86344557002685e+000°)
3.04046500161591e+004	(9.74124362085113e+001dB,-8.03264646726431e+000°)
3.04747399731215e+004	(9.74094921265408e+001dB,-8.20708930824580e+000°)
3.05449915041217e+004	(9.74058792394773e+001dB,-8.38690220032098e+000°)
3.06154049816261e+004	(9.74015365608892e+001dB,-8.57220502025933e+000°)
3.06859807789600e+004	(9.73963981603049e+001dB,-8.76310694350343e+000°)
3.07567192703094e+004	(9.73903928436000e+001dB,-8.95970357318328e+000°)
3.08276208307226e+004	(9.73834438334563e+001dB,-9.16207361876870e+000°)
3.08986858361126e+004	(9.73754684560822e+001dB,-9.37027507067013e+000°)
3.09699146632591e+004	(9.73663778421006e+001dB,-9.58434081412591e+000°)
3.10413076898101e+004	(9.73560766515546e+001dB,-9.80427362369602e+000°)
3.11128652942845e+004	(9.73444628353728e+001dB,-1.00300404790914e+001°)
3.11845878560734e+004	(9.73314274484217e+001dB,-1.02615661444920e+001°)
3.12564757554428e+004	(9.73168545324549e+001dB,-1.04987259576932e+001°)
3.13285293735352e+004	(9.73006210908651e+001dB,-1.07413377832619e+001°)
3.14007490923717e+004	(9.72825971811300e+001dB,-1.09891530964732e+001°)
3.14731352948540e+004	(9.72626461551545e+001dB,-1.12418471833781e+001°)
3.15456883647666e+004	(9.72406250822647e+001dB,-1.14990084683671e+001°)
3.16184086867786e+004	(9.72163853942201e+001dB,-1.17601270155967e+001°)
3.16912966464460e+004	(9.71897737960479e+001dB,-1.20245822962771e+001°)
3.17643526302134e+004	(9.71606334904170e+001dB,-1.22916303716770e+001°)
3.18375770254164e+004	(9.71288057661971e+001dB,-1.25603907131712e+001°)
3.19109702202834e+004	(9.70941320032000e+001dB,-1.28298329667115e+001°)
3.19845326039379e+004	(9.70564561441309e+001dB,-1.30987640699306e+001°)
3.20582645664004e+004	(9.70156276806115e+001dB,-1.33658162447700e+001°)
3.21321664985902e+004	(9.69715051917731e+001dB,-1.36294365144864e+001°)
3.22062387923282e+004	(9.69239604602795e+001dB,-1.38878785264390e+001°)
3.22804818403382e+004	(9.68728831706591e+001dB,-1.41391975937790e+001°)
3.23548960362495e+004	(9.68181861675541e+001dB,-1.43812499894965e+001°)
3.24294817745987e+004	(9.67598112162972e+001dB,-1.46116976211763e+001°)
3.25042394508321e+004	(9.66977351649558e+001dB,-1.48280192667870e+001°)
3.25791694613073e+004	(9.66319763562784e+001dB,-1.50275295404445e+001°)
3.26542722032958e+004	(9.65626010815035e+001dB,-1.52074066601652e+001°)
3.27295480749850e+004	(9.64897298086829e+001dB,-1.53647298852755e+001°)
3.28049974754799e+004	(9.64135428604318e+001dB,-1.54965271606708e+001°)
3.28806208048057e+004	(9.63342851657250e+001dB,-1.55998330369151e+001°)
3.29564184639100e+004	(9.62522696746712e+001dB,-1.56717563290464e+001°)
3.30323908546642e+004	(9.61678790121137e+001dB,-1.57095562487353e+001°)
3.31085383798664e+004	(9.60815649633968e+001dB,-1.57107249297323e+001°)
3.31848614432433e+004	(9.59938454405728e+001dB,-1.56730734228528e+001°)
3.32613604494521e+004	(9.59052986740240e+001dB,-1.55948174426674e+001°)
3.33380358040829e+004	(9.58165545132951e+001dB,-1.54746584985578e+001°)
3.34148879136608e+004	(9.57282828969401e+001dB,-1.53118556399302e+001°)
3.34919171856481e+004	(9.56411797534173e+001dB,-1.51062829847735e+001°)
3.35691240284464e+004	(9.55559508066153e+001dB,-1.48584685549573e+001°)
3.36465088513985e+004	(9.54732939588002e+001dB,-1.45696107430628e+001°)
3.37240720647911e+004	(9.53938810867022e+001dB,-1.42415699623431e+001°)
3.38018140798567e+004	(9.53183401902494e+001dB,-1.38768346006105e+001°)
3.38797353087757e+004	(9.52472388603164e+001dB,-1.34784621695475e+001°)
3.39578361646786e+004	(9.51810699726087e+001dB,-1.30499983294583e+001°)
3.40361170616485e+004	(9.51202403714178e+001dB,-1.25953780748878e+001°)
3.41145784147229e+004	(9.50650630930843e+001dB,-1.21188146024998e+001°)
3.41932206398960e+004	(9.50157534182352e+001dB,-1.16246821087447e+001°)
3.42720441541211e+004	(9.49724287641703e+001dB,-1.11173989105418e+001°)
3.43510493753126e+004	(9.49351121655114e+001dB,-1.06013168573025e+001°)
3.44302367223484e+004	(9.49037388700178e+001dB,-1.00806220924411e+001°)
3.45096066150719e+004	(9.48781654171411e+001dB,-9.55925096901066e+000°)
3.45891594742943e+004	(9.48581804791205e+001dB,-9.04082349816883e+000°)
3.46688957217970e+004	(9.48435167275805e+001dB,-8.52859528094081e+000°)
3.47488157803336e+004	(9.48338630333649e+001dB,-8.02542758731066e+000°)
3.48289200736323e+004	(9.48288763986220e+001dB,-7.53377420365413e+000°)
3.49092090263982e+004	(9.48281931403311e+001dB,-7.05568292306840e+000°)
3.49896830643152e+004	(9.48314389763747e+001dB,-6.59280911113463e+000°)
3.50703426140487e+004	(9.48382377944264e+001dB,-6.14643861435858e+000°)
3.51511881032476e+004	(9.48482189997004e+001dB,-5.71751733931378e+000°)
3.52322199605466e+004	(9.48610234335218e+001dB,-5.30668505630424e+000°)
3.53134386155686e+004	(9.48763079280154e+001dB,-4.91431131108902e+000°)
3.53948444989268e+004	(9.48937486132396e+001dB,-4.54053170794877e+000°)
3.54764380422270e+004	(9.49130431241064e+001dB,-4.18528321432895e+000°)
3.55582196780702e+004	(9.49339118688681e+001dB,-3.84833750099372e+000°)
3.56401898400544e+004	(9.49560985226572e+001dB,-3.52933165322728e+000°)
3.57223489627773e+004	(9.49793699022406e+001dB,-3.22779585906828e+000°)
3.58046974818383e+004	(9.50035153650299e+001dB,-2.94317789822904e+000°)
3.58872358338411e+004	(9.50283458590445e+001dB,-2.67486442363059e+000°)
3.59699644563959e+004	(9.50536927328252e+001dB,-2.42219915256478e+000°)
3.60528837881214e+004	(9.50794063964481e+001dB,-2.18449817342003e+000°)
3.61359942686479e+004	(9.51053549075009e+001dB,-1.96106263312871e+000°)
3.62192963386188e+004	(9.51314225395012e+001dB,-1.75118910492332e+000°)
3.63027904396933e+004	(9.51575083750406e+001dB,-1.55417794888089e+000°)
3.63864770145489e+004	(9.51835249522363e+001dB,-1.36933997131192e+000°)
3.64703565068834e+004	(9.52093969813620e+001dB,-1.19600166572806e+000°)
3.65544293614177e+004	(9.52350601393132e+001dB,-1.03350928173851e+000°)
3.66386960238975e+004	(9.52604599432540e+001dB,-8.81231924541825e-001°)
3.67231569410964e+004	(9.52855507013788e+001dB,-7.38563843715210e-001°)
3.68078125608177e+004	(9.53102945377381e+001dB,-6.04926032340166e-001°)
3.68926633318971e+004	(9.53346604886610e+001dB,-4.79767230416051e-001°)
3.69777097042049e+004	(9.53586236694494e+001dB,-3.62564410894467e-001°)
3.70629521286485e+004	(9.53821645109207e+001dB,-2.52822820282715e-001°)
3.71483910571749e+004	(9.54052680655637e+001dB,-1.50075644615848e-001°)
3.72340269427726e+004	(9.54279233825202e+001dB,-5.38833716122806e-002°)
3.73198602394746e+004	(9.54501229495317e+001dB,3.61670818672238e-002°)
3.74058914023605e+004	(9.54718621987428e+001dB,1.20463412568008e-001°)
3.74921208875590e+004	(9.54931390721403e+001dB,1.99369086686381e-001°)
3.75785491522502e+004	(9.55139536416142e+001dB,2.73224560829008e-001°)
3.76651766546682e+004	(9.55343077782176e+001dB,3.42348529764706e-001°)
3.77520038541034e+004	(9.55542048651484e+001dB,4.07039171820003e-001°)
3.78390312109049e+004	(9.55736495491965e+001dB,4.67575370795163e-001°)
3.79262591864831e+004	(9.55926475257885e+001dB,5.24217899864730e-001°)
3.80136882433120e+004	(9.56112053532524e+001dB,5.77210558061569e-001°)
3.81013188449319e+004	(9.56293302924317e+001dB,6.26781253779051e-001°)
3.81891514559515e+004	(9.56470301682720e+001dB,6.73143032490395e-001°)
3.82771865420504e+004	(9.56643132504599e+001dB,7.16495047813857e-001°)
3.83654245699820e+004	(9.56811881505912e+001dB,7.57023476361852e-001°)
3.84538660075755e+004	(9.56976637336976e+001dB,7.94902377674001e-001°)
3.85425113237386e+004	(9.57137490422597e+001dB,8.30294501083927e-001°)
3.86313609884600e+004	(9.57294532310880e+001dB,8.63352041702156e-001°)
3.87204154728117e+004	(9.57447855116711e+001dB,8.94217347885348e-001°)
3.88096752489517e+004	(9.57597551047752e+001dB,9.23023582650390e-001°)
3.88991407901265e+004	(9.57743712002357e+001dB,9.49895341514516e-001°)
3.89888125706735e+004	(9.57886429230178e+001dB,9.74949229220788e-001°)
3.90786910660235e+004	(9.58025793047379e+001dB,9.98294397756815e-001°)
3.91687767527033e+004	(9.58161892599422e+001dB,1.02003304800276e+000°)
3.92590701083384e+004	(9.58294815665203e+001dB,1.04026089726045e+000°)
3.93495716116551e+004	(9.58424648497146e+001dB,1.05906761482161e+000°)
3.94402817424833e+004	(9.58551475692482e+001dB,1.07653722763508e+000°)
3.95312009817592e+004	(9.58675380091544e+001dB,1.09274849803122e+000°)
3.96223298115274e+004	(9.58796442699427e+001dB,1.10777527535969e+000°)
3.97136687149441e+004	(9.58914742627793e+001dB,1.12168682329465e+000°)
3.98052181762788e+004	(9.59030357054022e+001dB,1.13454812446118e+000°)
3.98969786809179e+004	(9.59143361195239e+001dB,1.14642016393862e+000°)
3.99889507153663e+004	(9.59253828295066e+001dB,1.15736019310116e+000°)
4.00811347672506e+004	(9.59361829621207e+001dB,1.16742197516480e+000°)
4.01735313253215e+004	(9.59467434472223e+001dB,1.17665601372127e+000°)
4.02661408794563e+004	(9.59570710192059e+001dB,1.18510976545587e+000°)
4.03589639206617e+004	(9.59671722191063e+001dB,1.19282783816638e+000°)
4.04520009410762e+004	(9.59770533972407e+001dB,1.19985217512416e+000°)
4.05452524339728e+004	(9.59867207162961e+001dB,1.20622222674761e+000°)
4.06387188937617e+004	(9.59961801547783e+001dB,1.21197511049036e+000°)
4.07324008159926e+004	(9.60054375107528e+001dB,1.21714575978360e+000°)
