time	V(v2)	V(vout)
3.650286159450629e-007	7.497941e-002	2.202194e-002
3.717250445164915e-007	7.213087e-002	2.104591e-002
3.784214730879201e-007	6.916284e-002	1.996093e-002
3.851179016593487e-007	6.607532e-002	1.876699e-002
3.918143302307774e-007	6.286832e-002	1.746409e-002
3.985107588022060e-007	5.954184e-002	1.605223e-002
4.052071873736346e-007	5.609587e-002	1.453141e-002
4.110665623736346e-007	5.300014e-002	1.312666e-002
4.169259373736346e-007	4.984352e-002	1.167799e-002
4.227853123736347e-007	4.662601e-002	1.018540e-002
4.286446873736347e-007	4.334762e-002	8.648910e-003
4.345040623736348e-007	4.000833e-002	7.068503e-003
4.403634373736348e-007	3.660816e-002	5.444185e-003
4.462228123736348e-007	3.314710e-002	3.775955e-003
4.487339730879206e-007	3.165363e-002	3.060348e-003
4.512451338022063e-007	3.015321e-002	2.343179e-003
4.537562945164920e-007	2.864586e-002	1.624450e-003
4.562674552307778e-007	2.713157e-002	9.041588e-004
4.587786159450635e-007	2.561033e-002	1.823069e-004
4.612897766593492e-007	2.408215e-002	-5.411062e-004
4.638009373736349e-007	2.254704e-002	-1.266081e-003
4.667306248736350e-007	2.075010e-002	-2.109522e-003
4.696603123736350e-007	1.894614e-002	-2.951372e-003
4.725899998736350e-007	1.713575e-002	-3.790707e-003
4.784493748736350e-007	1.349817e-002	-5.458163e-003
4.843087498736349e-007	9.842305e-003	-7.104621e-003
4.930978123736348e-007	4.335046e-003	-9.519420e-003
5.018868748736347e-007	-1.185430e-003	-1.184784e-002
5.077462498736346e-007	-4.864779e-003	-1.334128e-002
5.106759373736346e-007	-6.702292e-003	-1.406803e-002
5.165353123736345e-007	-1.036988e-002	-1.547795e-002
5.223946873736345e-007	-1.402342e-002	-1.682519e-002
5.311837498736344e-007	-1.946656e-002	-1.871739e-002
5.370431248736343e-007	-2.306336e-002	-1.988639e-002
5.399728123736343e-007	-2.485034e-002	-2.044161e-002
5.429024998736342e-007	-2.662890e-002	-2.097670e-002
5.458321873736342e-007	-2.839844e-002	-2.149123e-002
5.487618748736341e-007	-3.015835e-002	-2.198482e-002
5.546212498736341e-007	-3.364694e-002	-2.290776e-002
5.604806248736340e-007	-3.708992e-002	-2.374309e-002
5.634103123736340e-007	-3.879286e-002	-2.412729e-002
5.663399998736339e-007	-4.048264e-002	-2.448891e-002
5.692696873736339e-007	-4.215871e-002	-2.482782e-002
5.721993748736339e-007	-4.382050e-002	-2.514389e-002
5.780587498736338e-007	-4.709897e-002	-2.570723e-002
5.839181248736337e-007	-5.031361e-002	-2.617870e-002
5.897774998736337e-007	-5.346006e-002	-2.655865e-002
5.927071873736336e-007	-5.500638e-002	-2.671456e-002
5.956368748736336e-007	-5.653406e-002	-2.684795e-002
5.985665623736336e-007	-5.804259e-002	-2.695903e-002
6.014962498736335e-007	-5.953145e-002	-2.704802e-002
6.044259373736335e-007	-6.100013e-002	-2.711518e-002
6.102853123736334e-007	-6.387501e-002	-2.718520e-002
6.132149998736334e-007	-6.528023e-002	-2.718873e-002
6.161446873736334e-007	-6.666332e-002	-2.717177e-002
6.190743748736333e-007	-6.802383e-002	-2.713473e-002
6.220040623736333e-007	-6.936129e-002	-2.707806e-002
6.249337498736332e-007	-7.067525e-002	-2.700221e-002
6.278634373736332e-007	-7.196526e-002	-2.690767e-002
6.307931248736332e-007	-7.323088e-002	-2.679497e-002
6.337228123736331e-007	-7.447170e-002	-2.666463e-002
6.366524998736331e-007	-7.568727e-002	-2.651722e-002
6.395821873736331e-007	-7.687721e-002	-2.635333e-002
6.425118748736330e-007	-7.804109e-002	-2.617356e-002
6.483712498736330e-007	-8.028915e-002	-2.576889e-002
6.542306248736329e-007	-8.242840e-002	-2.530841e-002
6.600899998736328e-007	-8.445592e-002	-2.479757e-002
6.659493748736328e-007	-8.636900e-002	-2.424203e-002
6.718087498736327e-007	-8.816503e-002	-2.364761e-002
6.776681248736326e-007	-8.984157e-002	-2.302026e-002
6.835274998736326e-007	-9.139635e-002	-2.236598e-002
6.893868748736325e-007	-9.282728e-002	-2.169083e-002
6.952462498736324e-007	-9.413240e-002	-2.100082e-002
7.011056248736323e-007	-9.530995e-002	-2.030192e-002
7.069649998736323e-007	-9.635833e-002	-1.959999e-002
7.128243748736322e-007	-9.727613e-002	-1.890073e-002
7.186837498736321e-007	-9.806209e-002	-1.820964e-002
7.245431248736321e-007	-9.871516e-002	-1.753200e-002
7.304024998736320e-007	-9.923445e-002	-1.687281e-002
7.362618748736319e-007	-9.961924e-002	-1.623675e-002
7.450509373736318e-007	-9.994319e-002	-1.533542e-002
7.538399998736317e-007	-9.996243e-002	-1.450883e-002
7.626290623736316e-007	-9.967689e-002	-1.376789e-002
7.714181248736315e-007	-9.908746e-002	-1.312120e-002
7.743478123736315e-007	-9.882344e-002	-1.292751e-002
7.772774998736314e-007	-9.852622e-002	-1.274540e-002
7.802071873736314e-007	-9.819579e-002	-1.257489e-002
7.831368748736314e-007	-9.783217e-002	-1.241596e-002
7.860665623736313e-007	-9.743535e-002	-1.226862e-002
7.889962498736313e-007	-9.700533e-002	-1.213288e-002
7.919259373736313e-007	-9.654211e-002	-1.200872e-002
7.948556248736312e-007	-9.604650e-002	-1.189638e-002
7.977853123736312e-007	-9.551834e-002	-1.179567e-002
8.007149998736312e-007	-9.495782e-002	-1.170649e-002
8.036446873736311e-007	-9.436513e-002	-1.162873e-002
8.065743748736311e-007	-9.374046e-002	-1.156224e-002
8.095040623736311e-007	-9.308402e-002	-1.150683e-002
8.124337498736310e-007	-9.239605e-002	-1.146229e-002
8.153634373736310e-007	-9.167677e-002	-1.142839e-002
8.182931248736310e-007	-9.092642e-002	-1.140485e-002
8.212228123736309e-007	-9.014527e-002	-1.139137e-002
8.241524998736309e-007	-8.933357e-002	-1.138762e-002
8.270821873736309e-007	-8.849160e-002	-1.139325e-002
8.329415623736308e-007	-8.671801e-002	-1.143109e-002
8.388009373736307e-007	-8.482689e-002	-1.150152e-002
8.446603123736306e-007	-8.282082e-002	-1.160080e-002
8.505196873736306e-007	-8.070250e-002	-1.172481e-002
8.563790623736305e-007	-7.847482e-002	-1.186913e-002
8.622384373736304e-007	-7.614078e-002	-1.202904e-002
8.680978123736304e-007	-7.370355e-002	-1.219958e-002
8.710274998736303e-007	-7.244727e-002	-1.228723e-002
8.739571873736303e-007	-7.116644e-002	-1.237559e-002
8.768868748736303e-007	-6.986149e-002	-1.246397e-002
8.798165623736302e-007	-6.853288e-002	-1.255172e-002
8.827462498736302e-007	-6.718104e-002	-1.263813e-002
8.856759373736302e-007	-6.580644e-002	-1.272252e-002
8.886056248736301e-007	-6.440954e-002	-1.280421e-002
8.915353123736301e-007	-6.299082e-002	-1.288248e-002
8.944649998736301e-007	-6.155076e-002	-1.295666e-002
8.973946873736300e-007	-6.008983e-002	-1.302604e-002
9.003243748736300e-007	-5.860855e-002	-1.308993e-002
9.032540623736300e-007	-5.710741e-002	-1.314765e-002
9.061837498736299e-007	-5.558692e-002	-1.319852e-002
9.091134373736299e-007	-5.404760e-002	-1.324185e-002
9.120431248736298e-007	-5.248995e-002	-1.327699e-002
9.149728123736298e-007	-5.091453e-002	-1.330327e-002
9.179024998736298e-007	-4.932185e-002	-1.332005e-002
9.208321873736297e-007	-4.771247e-002	-1.332670e-002
9.237618748736297e-007	-4.608691e-002	-1.332259e-002
9.266915623736297e-007	-4.444574e-002	-1.330713e-002
9.296212498736296e-007	-4.278951e-002	-1.327972e-002
9.325509373736296e-007	-4.111878e-002	-1.323979e-002
9.354806248736296e-007	-3.943412e-002	-1.318679e-002
9.384103123736295e-007	-3.773610e-002	-1.312019e-002
9.442696873736295e-007	-3.430227e-002	-1.294418e-002
9.501290623736294e-007	-3.082195e-002	-1.270794e-002
9.589181248736293e-007	-2.552465e-002	-1.223334e-002
9.677071873736292e-007	-2.014953e-002	-1.160599e-002
9.764962498736291e-007	-1.471298e-002	-1.081860e-002
9.852853123736290e-007	-9.231563e-003	-9.866398e-003
