Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
1000.0000000000011,0.0090260800629703881,-0.089322974664408514,-6.946745228479827
1013.9394576752928,0.0095026730357233961,-0.089622138912745536,-7.0421656103519439
1028.0732238308658,0.0092421394214542152,-0.089934048704823785,-7.1397057804205382
1042.4040070215578,0.0097022405402466903,-0.090256807323677565,-7.2381212465632281
1056.9345535579894,0.0096224821729159853,-0.090159320131589143,-7.3372608055881869
1071.6676480328645,0.0094024020191140374,-0.090648566465356378,-7.4376742933038429
1086.6061138545981,0.0091715704032475677,-0.090719844659325602,-7.5408571668466919
1101.7528137883885,0.0094320930663402344,-0.090928189966995573,-7.6450526433361006
1117.1106505048253,0.0092523758576256408,-0.090943710880335857,-7.7471526338255785
1132.6825671361551,0.0090765959849323889,-0.091357367491773492,-7.8560878161667631
1148.4715478402902,0.0087378852199850934,-0.09131841289419998,-7.9637789413058897
1164.4806183726878,0.0088114561562840123,-0.091781745190482378,-8.0711198727094917
1180.7128466661916,0.0089811857487183452,-0.091997520216936787,-8.1836839445253702
1197.171343418968,0.0083873550601808577,-0.092098701380634945,-8.2956782365824751
1213.8592626906288,0.009568475627849524,-0.092501343131580455,-8.410613113118643
1230.779802506667,0.0081900685112751021,-0.092336289067292882,-8.526681290908499
1247.9362054713129,0.0082119336344213256,-0.092572411638874558,-8.645547816550021
1265.3317593889442,0.0090176245675364936,-0.093300748611687412,-8.7658087796478483
1282.9697978941488,0.0093670193383993475,-0.092860057156493259,-8.8854512979324909
1300.8537010905732,0.0088840061479830857,-0.092760587164360961,-9.0085935530693177
1318.986896198672,0.0086761417916350631,-0.093192028812198888,-9.1347910549465468
1337.3728582124977,0.0090769957480423824,-0.093448382724851675,-9.2572841111384605
1356.0151105656346,0.0085100422404358889,-0.09341255665209422,-9.3901286048128014
1374.9172258064218,0.0087295875716141003,-0.093889514992738912,-9.519376937885994
1394.0828262825798,0.009014961607859159,-0.094121052208061814,-9.6499988488530306
