Freq.	(-V(v1)*10000/(V(v2)-V(v1)))-10000
2.95120922666637e+002	1.11381180876357e+004,-1.66119338743086e+003
3.01995172040200e+002	1.11171778707535e+004,-1.69608210176019e+003
3.09029543251358e+002	1.10953070833162e+004,-1.73151972979726e+003
3.16227766016837e+002	1.10724671265201e+004,-1.76750119589240e+003
3.23593656929627e+002	1.10486180644462e+004,-1.80402014666244e+003
3.31131121482590e+002	1.10237186039417e+004,-1.84106885196481e+003
3.38844156139201e+002	1.09977260771847e+004,-1.87863810015633e+003
3.46736850452530e+002	1.09705964273389e+004,-1.91671708742836e+003
3.54813389233574e+002	1.09422841977436e+004,-1.95529330101623e+003
3.63078054770100e+002	1.09127425251203e+004,-1.99435239609132e+003
3.71535229097171e+002	1.08819231373213e+004,-2.03387806615583e+003
3.80189396320559e+002	1.08497763561877e+004,-2.07385190677686e+003
3.89045144994279e+002	1.08162511061319e+004,-2.11425327251525e+003
3.98107170553495e+002	1.07812949291045e+004,-2.15505912692888e+003
4.07380277804111e+002	1.07448540066602e+004,-2.19624388555830e+003
4.16869383470333e+002	1.07068731898839e+004,-2.23777925183585e+003
4.26579518801591e+002	1.06672960379968e+004,-2.27963404589894e+003
4.36515832240164e+002	1.06260648665135e+004,-2.32177402633342e+003
4.46683592150961e+002	1.05831208058788e+004,-2.36416170492515e+003
4.57088189614873e+002	1.05384038715713e+004,-2.40675615455804e+003
4.67735141287196e+002	1.04918530467129e+004,-2.44951281046420e+003
4.78630092322636e+002	1.04434063782859e+004,-2.49238326510916e+003
4.89778819368444e+002	1.03930010881100e+004,-2.53531505708065e+003
5.01187233627270e+002	1.03405736997874e+004,-2.57825145444630e+003
5.12861383991362e+002	1.02860601828738e+004,-2.62113123315243e+003
5.24807460249770e+002	1.02293961155799e+004,-2.66388845115472e+003
5.37031796370250e+002	1.01705168673499e+004,-2.70645221910229e+003
5.49540873857622e+002	1.01093578026971e+004,-2.74874646853959e+003
5.62341325190346e+002	1.00458545077045e+004,-2.79068971874736e+003
5.75439937337154e+002	9.97994304061468e+003,-2.83219484351285e+003
5.88843655355586e+002	9.91156020793787e+003,-2.87316883930349e+003
6.02559586074355e+002	9.84064386749834e+003,-2.91351259651483e+003
6.16595001861479e+002	9.76713325981410e+003,-2.95312067567453e+003
6.30957344480190e+002	9.69096936916075e+003,-2.99188109070793e+003
6.45654229034652e+002	9.61209531560469e+003,-3.02967510160727e+003
6.60693448007592e+002	9.53045677920144e+003,-3.06637701909518e+003
6.76082975391978e+002	9.44600245743798e+003,-3.10185402413123e+003
6.91830970918933e+002	9.35868455685006e+003,-3.13596600537773e+003
7.07945784384134e+002	9.26845931956531e+003,-3.16856541801484e+003
7.24435960074986e+002	9.17528758530449e+003,-3.19949716757182e+003
7.41310241300914e+002	9.07913538911599e+003,-3.22859852271940e+003
7.58577575029180e+002	8.97997459481753e+003,-3.25569906124234e+003
7.76247116628688e+002	8.87778356377170e+003,-3.28062065367672e+003
7.94328234724277e+002	8.77254785822662e+003,-3.30317748934979e+003
8.12830516164095e+002	8.66426097800531e+003,-3.32317614979233e+003
8.31763771102666e+002	8.55292512882776e+003,-3.34041573470062e+003
8.51138038202372e+002	8.43855201999528e+003,-3.35468804579739e+003
8.70963589956076e+002	8.32116368855791e+003,-3.36577783407161e+003
8.91250938133741e+002	8.20079334642314e+003,-3.37346311595580e+003
9.12010839355905e+002	8.07748624614898e+003,-3.37751556401758e+003
9.33254300796986e+002	7.95130056040052e+003,-3.37770097768845e+003
9.54992586021431e+002	7.82230826923968e+003,-3.37377983941776e+003
9.77237220955805e+002	7.69059604857110e+003,-3.36550796141102e+003
9.99999999999994e+002	7.55626615218882e+003,-3.35263722777946e+003
1.02329299228075e+003	7.41943727897064e+003,-3.33491643648085e+003
1.04712854805089e+003	7.28024541586049e+003,-3.31209224485918e+003
1.07151930523760e+003	7.13884464637990e+003,-3.28391022188448e+003
1.09647819614318e+003	6.99540791353261e+003,-3.25011600934484e+003
1.12201845430196e+003	6.85012772513241e+003,-3.21045659324450e+003
1.14815362149688e+003	6.70321678881350e+003,-3.16468168551013e+003
1.17489755493952e+003	6.55490856329901e+003,-3.11254521480053e+003
1.20226443461741e+003	6.40545771193155e+003,-3.05380692375433e+003
1.23026877081237e+003	6.25514044403703e+003,-2.98823406840049e+003
1.25892541179416e+003	6.10425472942638e+003,-2.91560321370756e+003
1.28824955169313e+003	5.95312037126818e+003,-2.83570211737207e+003
1.31825673855640e+003	5.80207892271572e+003,-2.74833169196403e+003
1.34896288259165e+003	5.65149343307196e+003,-2.65330803348118e+003
1.38038426460288e+003	5.50174800995020e+003,-2.55046450224271e+003
1.41253754462275e+003	5.35324718485852e+003,-2.43965383991273e+003
1.44543977074592e+003	5.20641507092123e+003,-2.32075030432279e+003
1.47910838816820e+003	5.06169430306242e+003,-2.19365180170624e+003
1.51356124843620e+003	4.91954475292374e+003,-2.05828199401486e+003
1.54881661891247e+003	4.78044201306844e+003,-1.91459235721097e+003
1.58489319246110e+003	4.64487564763027e+003,-1.76256416487317e+003
1.62181009735892e+003	4.51334720947955e+003,-1.60221037017556e+003
1.65958690743755e+003	4.38636802717365e+003,-1.43357735835617e+003
1.69824365246173e+003	4.26445676839764e+003,-1.25674654123395e+003
1.73780082874936e+003	4.14813679023601e+003,-1.07183576521610e+003
1.77827941003891e+003	4.03793329038947e+003,-8.79000504603308e+002
1.81970085860997e+003	3.93437027729679e+003,-6.78434812887401e+002
1.86208713666286e+003	3.83796738096420e+003,-4.70372006171731e+002
1.90546071796323e+003	3.74923653006141e+003,-2.55085054846200e+002
1.94984459975803e+003	3.66867852442761e+003,-3.28866622187871e+001
1.99526231496887e+003	3.59677953545015e+003,1.95870988065325e+002
2.04173794466952e+003	3.53400756974392e+003,4.30796830324778e+002
2.08929613085403e+003	3.48080893407905e+003,6.71461871219284e+002
2.13796208950222e+003	3.43760474149585e+003,9.17400505973746e+002
2.18776162394954e+003	3.40478749993099e+003,1.16811219727526e+003
2.23872113856832e+003	3.38271782539318e+003,1.42306351245026e+003
2.29086765276776e+003	3.37172132171666e+003,1.68169050913674e+003
2.34422881531991e+003	3.37208566815128e+003,1.94340145421072e+003
2.39883291901947e+003	3.38405795450034e+003,2.20757985532113e+003
2.45470891568501e+003	3.40784230119289e+003,2.47358777915843e+003
2.51188643150956e+003	3.44359779859718e+003,2.74076942564639e+003
2.57039578276885e+003	3.49143679609019e+003,3.00845492272692e+003
2.63026799189536e+003	3.55142356695514e+003,3.27596430241161e+003
2.69153480392690e+003	3.62357337016748e+003,3.54261161540668e+003
2.75422870333815e+003	3.70785192464854e+003,3.80770913896388e+003
2.81838293126443e+003	3.80417530572497e+003,4.07057163074024e+003
2.88403150312659e+003	3.91241026745878e+003,4.33052058041698e+003
2.95120922666636e+003	4.03237498833543e+003,4.58688841065796e+003
3.01995172040199e+003	4.16384023165100e+003,4.83902257969294e+003
3.09029543251357e+003	4.30653090596034e+003,5.08628953937125e+003
3.16227766016836e+003	4.46012800526376e+003,5.32807850491215e+003
3.23593656929626e+003	4.62427090334010e+003,5.56380499571898e+003
3.31131121482589e+003	4.79855997189282e+003,5.79291411044937e+003
3.38844156139200e+003	4.98255948805003e+003,6.01488350394826e+003
3.46736850452529e+003	5.17580079333032e+003,6.22922603854679e+003
3.54813389233573e+003	5.37778566350778e+003,6.43549208749384e+003
3.63078054770099e+003	5.58798984691675e+003,6.63327147379251e+003
3.71535229097170e+003	5.80586672764743e+003,6.82219503333915e+003
3.80189396320558e+003	6.03085106978541e+003,7.00193579688134e+003
