Freq.	(-V(v1)*10000/(V(v2)-V(v1)))-10000
4.07380277804110e+003	6.76949620874439e+003,7.47596902259974e+003
4.16869383470332e+003	7.01897799431327e+003,7.61572506384820e+003
4.26579518801589e+003	7.27266110631535e+003,7.74521020564934e+003
4.36515832240162e+003	7.52994339742419e+003,7.86434907942102e+003
4.46683592150960e+003	7.79022881083962e+003,7.97310696354288e+003
4.57088189614871e+003	8.05293041582034e+003,8.07148833726160e+003
4.67735141287194e+003	8.31747322542912e+003,8.15953520272738e+003
4.78630092322634e+003	8.58329678027238e+003,8.23732520532099e+003
4.89778819368442e+003	8.84985748608840e+003,8.30496958307535e+003
5.01187233627268e+003	9.11663069700319e+003,8.36261097610515e+003
5.12861383991361e+003	9.38311254006878e+003,8.41042112656915e+003
5.24807460249768e+003	9.64882148026518e+003,8.44859849885580e+003
5.37031796370248e+003	9.91329962843504e+003,8.47736584845386e+003
5.49540873857620e+003	1.01761137975976e+004,8.49696776640797e+003
5.62341325190344e+003	1.04368563157244e+004,8.50766822442288e+003
5.75439937337152e+003	1.06951456053392e+004,8.50974814362746e+003
5.88843655355584e+003	1.09506265422253e+004,8.50350300780412e+003
6.02559586074353e+003	1.12029706070787e+004,8.48924053957743e+003
6.16595001861477e+003	1.14518758451564e+004,8.46727845570162e+003
6.30957344480188e+003	1.16970666498372e+004,8.43794231522338e+003
6.45654229034650e+003	1.19382933865739e+004,8.40156347197516e+003
6.60693448007590e+003	1.21753318739788e+004,8.35847714060823e+003
6.76082975391976e+003	1.24079827387975e+004,8.30902058322957e+003
6.91830970918931e+003	1.26360706612925e+004,8.25353142169510e+003
7.07945784384132e+003	1.28594435271383e+004,8.19234607874362e+003
7.24435960074984e+003	1.30779715013288e+004,8.12579834944926e+003
7.41310241300911e+003	1.32915460388602e+004,8.05421810293513e+003
7.58577575029177e+003	1.35000788461056e+004,7.97793011292484e+003
7.76247116628685e+003	1.37035008058624e+004,7.89725301451994e+003
7.94328234724275e+003	1.39017608780632e+004,7.81249838357202e+003
8.12830516164092e+003	1.40948249871091e+004,7.72396993416117e+003
8.31763771102664e+003	1.42826749057458e+004,7.63196282899841e+003
8.51138038202369e+003	1.44653071443536e+004,7.53676309701413e+003
8.70963589956073e+003	1.46427318535020e+004,7.43864715198340e+003
8.91250938133738e+003	1.48149717466234e+004,7.33788140574704e+003
9.12010839355902e+003	1.49820610487032e+004,7.23472196940777e+003
9.33254300796983e+003	1.51440444759826e+004,7.12941443580304e+003
9.54992586021428e+003	1.53009762508122e+004,7.02219373656312e+003
9.77237220955802e+003	1.54529191550103e+004,6.91328406714659e+003
9.99999999999991e+003	1.55999436243447e+004,6.80289887339142e+003
1.02329299228075e+004	1.57421268860910e+004,6.69124089332112e+003
1.04712854805089e+004	1.58795521410215e+004,6.57850224818691e+003
1.07151930523760e+004	1.60123077906333e+004,6.46486457700300e+003
1.09647819614318e+004	1.61404867099483e+004,6.35049920913531e+003
1.12201845430195e+004	1.62641855657952e+004,6.23556736982374e+003
