Freq.	(V(v1)/I(R2))-100
1.12201845430196e+002	-1.40431462938295e-005,1.09073670655209e-005
1.14815362149688e+002	-1.47070566214325e-005,1.11571072976871e-005
1.17489755493953e+002	-1.54024549061660e-005,1.14123596487909e-005
1.20226443461741e+002	-1.61308443153985e-005,1.16732312120169e-005
1.23026877081238e+002	-1.68938007760744e-005,1.19398301238766e-005
1.25892541179416e+002	-1.76929766411149e-005,1.22122654743444e-005
1.28824955169313e+002	-1.85301042137098e-005,1.24906472552712e-005
1.31825673855640e+002	-1.94070000674174e-005,1.27750862392768e-005
1.34896288259165e+002	-2.03255689683601e-005,1.30656938946776e-005
1.38038426460288e+002	-2.12878084369095e-005,1.33625822854831e-005
1.41253754462275e+002	-2.22958135509543e-005,1.36658639716025e-005
1.44543977074592e+002	-2.33517815217965e-005,1.39756518478965e-005
1.47910838816820e+002	-2.44580170942754e-005,1.42920590363136e-005
1.51356124843620e+002	-2.56169380179472e-005,1.46151987340620e-005
1.54881661891248e+002	-2.68310806603722e-005,1.49451840349135e-005
1.58489319246111e+002	-2.81031061604153e-005,1.52821277918755e-005
1.62181009735892e+002	-2.94358067662870e-005,1.56261423997532e-005
1.65958690743755e+002	-3.08321125714883e-005,1.59773396381807e-005
1.69824365246174e+002	-3.22950987339254e-005,1.63358304208892e-005
1.73780082874937e+002	-3.38279927802887e-005,1.67017245964908e-005
1.77827941003892e+002	-3.54341826778182e-005,1.70751306763836e-005
1.81970085860998e+002	-3.71172253323948e-005,1.74561556303419e-005
1.86208713666286e+002	-3.88808550866315e-005,1.78449045850367e-005
1.90546071796324e+002	-4.07289932837784e-005,1.82414805428794e-005
1.94984459975804e+002	-4.26657584000623e-005,1.86459840969557e-005
1.99526231496887e+002	-4.46954760917606e-005,1.90585130865698e-005
2.04173794466952e+002	-4.68226905070424e-005,1.94791622621418e-005
2.08929613085403e+002	-4.90521758536033e-005,1.99080230368128e-005
2.13796208950222e+002	-5.13889493731767e-005,2.03451829932253e-005
2.18776162394954e+002	-5.38382835344464e-005,2.07907255843051e-005
2.23872113856833e+002	-5.64057210965530e-005,2.12447297834704e-005
2.29086765276776e+002	-5.90970891494180e-005,2.17072696311593e-005
2.34422881531991e+002	-6.19185151577994e-005,2.21784138728010e-005
2.39883291901948e+002	-6.48764437443106e-005,2.26582255571530e-005
2.45470891568502e+002	-6.79776542682475e-005,2.31467616479410e-005
2.51188643150957e+002	-7.12292798255021e-005,2.36440726386693e-005
2.57039578276885e+002	-7.46388273284992e-005,2.41502021507547e-005
2.63026799189537e+002	-7.82141988935336e-005,2.46651866165563e-005
2.69153480392690e+002	-8.19637144644503e-005,2.51890548999659e-005
2.75422870333816e+002	-8.58961364826882e-005,2.57218280519225e-005
2.81838293126444e+002	-9.00206952820781e-005,2.62635190131476e-005
2.88403150312659e+002	-9.43471170415933e-005,2.68141325009600e-005
2.95120922666637e+002	-9.88856533012950e-005,2.73736648939742e-005
3.01995172040200e+002	-1.03647112197791e-004,2.79421041841317e-005
3.09029543251358e+002	-1.08642892627131e-004,2.85194301710527e-005
3.16227766016837e+002	-1.13885019771942e-004,2.91056147025619e-005
3.23593656929627e+002	-1.19386184437076e-004,2.97006221637763e-005
3.31131121482590e+002	-1.25159783763706e-004,3.03044101461641e-005
3.38844156139201e+002	-1.31219966291951e-004,3.09169303934340e-005
3.46736850452530e+002	-1.37581679084064e-004,3.15381300829234e-005
3.54813389233574e+002	-1.44260719551426e-004,3.21679534607451e-005
3.63078054770100e+002	-1.51273789981587e-004,3.28063439297783e-005
3.71535229097171e+002	-1.58638557394397e-004,3.34532466417377e-005
3.80189396320559e+002	-1.66373717064516e-004,3.41086117914687e-005
3.89045144994279e+002	-1.74499061529332e-004,3.47723985552523e-005
3.98107170553495e+002	-1.83035554897515e-004,3.54445799032445e-005
4.07380277804111e+002	-1.92005413310881e-004,3.61251485067165e-005
4.16869383470333e+002	-2.01432191431650e-004,3.68141237182300e-005
4.26579518801591e+002	-2.11340876575150e-004,3.75115600153534e-005
4.36515832240164e+002	-2.21757990459537e-004,3.82175570869458e-005
4.46683592150961e+002	-2.32711699680976e-004,3.89322718481935e-005
4.57088189614873e+002	-2.44231935027983e-004,3.96559324983325e-005
4.67735141287196e+002	-2.56350522249704e-004,4.03888555796577e-005
4.78630092322636e+002	-2.69101323084442e-004,4.11314656822479e-005
4.89778819368444e+002	-2.82520389419005e-004,4.18843190465431e-005
5.01187233627270e+002	-2.96646131630496e-004,4.26481312088229e-005
5.12861383991362e+002	-3.11519501408952e-004,4.34238095989716e-005
5.24807460249770e+002	-3.27184192158825e-004,4.42124919666166e-005
5.37031796370250e+002	-3.43686857902981e-004,4.50155913885250e-005
5.49540873857622e+002	-3.61077352820871e-004,4.58348492843901e-005
5.62341325190346e+002	-3.79408994035657e-004,4.66723978885263e-005
5.75439937337154e+002	-3.98738849710867e-004,4.75308331784311e-005
5.88843655355586e+002	-4.19128055355600e-004,4.84133010249376e-005
6.02559586074355e+002	-4.40642162075733e-004,4.93235981896880e-005
6.16595001861479e+002	-4.63351519840671e-004,5.02662910890861e-005
6.30957344480190e+002	-4.87331699048354e-004,5.12468553402559e-005
6.45654229034652e+002	-5.12663957167092e-004,5.22718401362111e-005
6.60693448007592e+002	-5.39435752699546e-004,5.33490617445321e-005
6.76082975391978e+002	-5.67741314256409e-004,5.44878310633144e-005
6.91830970918933e+002	-5.97682270139899e-004,5.56992225337979e-005
7.07945784384134e+002	-6.29368345656189e-004,5.69963909484542e-005
7.24435960074986e+002	-6.62918136839608e-004,5.83949463128032e-005
7.41310241300914e+002	-6.98459968546672e-004,5.99133964599716e-005
7.58577575029180e+002	-7.36132848544457e-004,6.15736721966659e-005
7.76247116628688e+002	-7.76087526816127e-004,6.34017489701458e-005
7.94328234724277e+002	-8.18487674848711e-004,6.54283860141413e-005
8.12830516164095e+002	-8.63511196641298e-004,6.76900045854749e-005
8.31763771102666e+002	-9.11351689055095e-004,7.02297347587726e-005
8.51138038202372e+002	-9.62220065446218e-004,7.30986639876451e-005
8.70963589956076e+002	-1.01634636364167e-003,7.63573292957248e-005
8.91250938133741e+002	-1.07398175461526e-003,8.00775039854034e-005
9.12010839355905e+002	-1.13540077438756e-003,8.43443412757426e-005
9.33254300796986e+002	-1.20090379772364e-003,8.92589497881508e-005
9.54992586021431e+002	-1.27081977387888e-003,9.49414952889664e-005
9.77237220955805e+002	-1.34550924164500e-003,1.01534943364469e-004
9.99999999999994e+002	-1.42536763604539e-003,1.09209582691750e-004
1.02329299228075e+003	-1.51082889090048e-003,1.18168505406671e-004
1.04712854805089e+003	-1.60236932919133e-003,1.28654256781980e-004
1.07151930523760e+003	-1.70051181085285e-003,1.40956920382811e-004
1.09647819614318e+003	-1.80583007708890e-003,1.55423963468010e-004
1.12201845430196e+003	-1.91895318191371e-003,1.72472246516958e-004
1.14815362149688e+003	-2.04056983299949e-003,1.92602688098085e-004
1.17489755493952e+003	-2.17143236008610e-003,2.16418188929745e-004
1.20226443461741e+003	-2.31235988169942e-003,2.44645548972341e-004
1.23026877081237e+003	-2.46424002750700e-003,2.78162257277381e-004
1.25892541179416e+003	-2.62802826929942e-003,3.18029201642679e-004
1.28824955169313e+003	-2.80474347975712e-003,3.65530509395547e-004
1.31825673855640e+003	-2.99545772787724e-003,4.22221877746045e-004
1.34896288259165e+003	-3.20127747113474e-003,4.89988832560371e-004
1.38038426460288e+003	-3.42331212948466e-003,5.71116280881846e-004
1.41253754462275e+003	-3.66262443792209e-003,6.68370365369376e-004
1.44543977074592e+003	-3.92015488058917e-003,7.85092732338497e-004
1.47910838816820e+003	-4.19660983587278e-003,9.25305535008847e-004
1.51356124843620e+003	-4.49229987246724e-003,1.09382220653008e-003
1.54881661891247e+003	-4.80691120846188e-003,1.29635341459773e-003
1.58489319246110e+003	-5.13919048870548e-003,1.53958850690199e-003
1.62181009735892e+003	-5.48652249705128e-003,1.83121881245155e-003
1.65958690743755e+003	-5.84438549576305e-003,2.17984926470208e-003
1.69824365246173e+003	-6.20568519050835e-003,2.59471910427205e-003
1.73780082874936e+003	-6.56000408675084e-003,3.08512459236831e-003
1.77827941003891e+003	-6.89286793058841e-003,3.65941767488972e-003
1.81970085860997e+003	-7.18523105147995e-003,4.32346733325858e-003
1.86208713666286e+003	-7.41350816372233e-003,5.07855216749537e-003
1.90546071796323e+003	-7.55058690974408e-003,5.91884629093025e-003
1.94984459975803e+003	-7.56824625001684e-003,6.82898154778325e-003
1.99526231496887e+003	-7.44114614904845e-003,7.78254493285863e-003
2.04173794466952e+003	-7.15195948266967e-003,8.74258513428389e-003
2.08929613085403e+003	-6.69641389232822e-003,9.66494161572703e-003
2.13796208950222e+003	-6.08643885664151e-003,1.05042936623189e-002
2.18776162394954e+003	-5.34983894084462e-003,1.12215324282708e-002
2.23872113856832e+003	-4.52612430899535e-003,1.17901550228763e-002
2.29086765276776e+003	-3.65974909222189e-003,1.21995944299004e-002
2.34422881531991e+003	-2.79302235470880e-003,1.24547105094891e-002
2.39883291901947e+003	-1.96076795205613e-003,1.25722337247358e-002
2.45470891568501e+003	-1.18771790967287e-003,1.25758463093432e-002
2.51188643150956e+003	-4.88437021402888e-004,1.24915165807105e-002
2.57039578276885e+003	1.31104262706572e-004,1.23440390649456e-002
2.63026799189536e+003	6.71278342423420e-004,1.21550134172530e-002
2.69153480392690e+003	1.13657649161780e-003,1.19420331729320e-002
2.75422870333815e+003	1.53377907548702e-003,1.17186886423409e-002
2.81838293126443e+003	1.87062524757664e-003,1.14950133557605e-002
2.88403150312659e+003	2.15493998373972e-003,1.12781054058379e-002
2.95120922666636e+003	2.39411849895532e-003,1.10727613413481e-002
3.01995172040199e+003	2.59486246187635e-003,1.08820412783633e-002
3.09029543251357e+003	2.76307967844502e-003,1.07077354738410e-002
3.16227766016836e+003	2.90388189569057e-003,1.05507309356551e-002
3.23593656929626e+003	3.02163617389795e-003,1.04112897087181e-002
3.31131121482589e+003	3.12004133658661e-003,1.02892547566947e-002
3.38844156139200e+003	3.20221234603935e-003,1.01841991927438e-002
3.46736850452529e+003	3.27076296170503e-003,1.00955325426459e-002
3.54813389233573e+003	3.32788177433940e-003,1.00225751411832e-002
3.63078054770099e+003	3.37539955918942e-003,9.96460927630767e-003
3.71535229097170e+003	3.41484751933763e-003,9.92091359725079e-003
3.80189396320558e+003	3.44750685384554e-003,9.89078560988148e-003
3.89045144994278e+003	3.47445049646922e-003,9.87355578440063e-003
3.98107170553494e+003	3.49657801204728e-003,9.86859582585384e-003
4.07380277804110e+003	3.51464463787465e-003,9.87532293336362e-003
4.16869383470332e+003	3.52928538477215e-003,9.89320135042867e-003
4.26579518801589e+003	3.54103500765746e-003,9.92174212454927e-003
4.36515832240162e+003	3.55034454534575e-003,9.96050172211174e-003
4.46683592150960e+003	3.55759502070896e-003,1.00090799475989e-002
4.57088189614871e+003	3.56310879745081e-003,1.00671174764703e-002
4.67735141287194e+003	3.56715900464621e-003,1.01342932123165e-002
4.78630092322634e+003	3.56997736986386e-003,1.02103216086054e-002
4.89778819368442e+003	3.57176073882215e-003,1.02949500465683e-002
5.01187233627268e+003	3.57267651293114e-003,1.03879563262737e-002
5.12861383991361e+003	3.57286719280125e-003,1.04891463039674e-002
5.24807460249768e+003	3.57245418162222e-003,1.05983516936561e-002
5.37031796370248e+003	3.57154097606838e-003,1.07154280381652e-002
5.49540873857620e+003	3.57021584882489e-003,1.08402528492836e-002
5.62341325190344e+003	3.56855410775836e-003,1.09727239115579e-002
5.75439937337152e+003	3.56662000329777e-003,1.11127577408274e-002
5.88843655355584e+003	3.56446834099700e-003,1.12602881879793e-002
6.02559586074353e+003	3.56214584849113e-003,1.14152651770947e-002
6.16595001861477e+003	3.55969233568487e-003,1.15776535678386e-002
6.30957344480188e+003	3.55714168189536e-003,1.17474321306604e-002
6.45654229034650e+003	3.55452267646683e-003,1.19245926257900e-002
6.60693448007590e+003	3.55185973698724e-003,1.21091389759667e-002
6.76082975391976e+003	3.54917352264295e-003,1.23010865246361e-002
6.91830970918931e+003	3.54648146013403e-003,1.25004613713148e-002
7.07945784384132e+003	3.54379819403050e-003,1.27072997770857e-002
7.24435960074984e+003	3.54113597423122e-003,1.29216476331778e-002
7.41310241300911e+003	3.53850498856900e-003,1.31435599871860e-002
7.58577575029177e+003	3.53591364941508e-003,1.33731006208677e-002
7.76247116628685e+003	3.53336884138855e-003,1.36103416749395e-002
7.94328234724275e+003	3.53087613378023e-003,1.38553633167049e-002
8.12830516164092e+003	3.52843996567742e-003,1.41082534460634e-002
8.31763771102664e+003	3.52606380471343e-003,1.43691074365277e-002
