Freq.	(-V(vs)*1000/(V(vi)-V(vs)))-1000
1.29130845806931e+002	(5.12879272683682e+001dB,-1.11817155794756e+001°)
1.32138689601519e+002	(5.13782081206872e+001dB,-1.08967430414258e+001°)
1.35216595078396e+002	(5.14652597662837e+001dB,-1.06538281619594e+001°)
1.38366194183787e+002	(5.15491127556967e+001dB,-1.04499947628067e+001°)
1.41589156876827e+002	(5.16298164965369e+001dB,-1.02825559572488e+001°)
1.44887192014998e+002	(5.17074348034043e+001dB,-1.01490923815504e+001°)
1.48262048260183e+002	(5.17820422196125e+001dB,-1.00474315483854e+001°)
1.51715515005836e+002	(5.18537209798947e+001dB,-9.97562853675371e+000°)
1.55249423325738e+002	(5.19225585027954e+001dB,-9.93194812873068e+000°)
1.58865646944856e+002	(5.19886453185337e+001dB,-9.91484843053032e+000°)
1.62566103232819e+002	(5.20520733528081e+001dB,-9.92296596559106e+000°)
1.66352754220534e+002	(5.21129344994919e+001dB,-9.95510219451517e+000°)
1.70227607640475e+002	(5.21713194256583e+001dB,-1.00102113959803e+001°)
1.74192717991216e+002	(5.22273165611120e+001dB,-1.00873898306620e+001°)
1.78250187626749e+002	(5.22810112318153e+001dB,-1.01858661041013e+001°)
1.82402167871181e+002	(5.23324849024996e+001dB,-1.03049926423783e+001°)
1.86650860159398e+002	(5.23818144985138e+001dB,-1.04442381948869e+001°)
1.90998517204287e+002	(5.24290717807671e+001dB,-1.06031812804133e+001°)
1.95447444191162e+002	(5.24743227505915e+001dB,-1.07815044952255e+001°)
1.99999999999999e+002	(5.25176270636088e+001dB,-1.09789896043459e+001°)
2.04658598456150e+002	(5.25590374333240e+001dB,-1.11955133390850e+001°)
2.09425709610179e+002	(5.25985990062779e+001dB,-1.14310438248360e+001°)
2.14303861047521e+002	(5.26363486912279e+001dB,-1.16856375626217e+001°)
2.19295639228636e+002	(5.26723144250583e+001dB,-1.19594368855856e+001°)
2.24403690860392e+002	(5.27065143579986e+001dB,-1.22526678070871e+001°)
2.29630724299376e+002	(5.27389559402919e+001dB,-1.25656381698178e+001°)
2.34979510987905e+002	(5.27696348917767e+001dB,-1.28987359949035e+001°)
2.40452886923482e+002	(5.27985340349519e+001dB,-1.32524279156137e+001°)
2.46053754162476e+002	(5.28256219710919e+001dB,-1.36272575613946e+001°)
2.51785082358833e+002	(5.28508515779290e+001dB,-1.40238437335928e+001°)
2.57649910338626e+002	(5.28741583064638e+001dB,-1.44428781834598e+001°)
2.63651347711281e+002	(5.28954582537554e+001dB,-1.48851227647684e+001°)
2.69792576518330e+002	(5.29146459883094e+001dB,-1.53514056863278e+001°)
2.76076852920576e+002	(5.29315921052132e+001dB,-1.58426165326595e+001°)
2.82507508924550e+002	(5.29461404898701e+001dB,-1.63596996527061e+001°)
2.89087954149185e+002	(5.29581052725506e+001dB,-1.69036454355434e+001°)
2.95821677633641e+002	(5.29672674617187e+001dB,-1.74754788977371e+001°)
3.02712249687241e+002	(5.29733712530177e+001dB,-1.80762448989824e+001°)
3.09763323782495e+002	(5.29761200240085e+001dB,-1.87069891815796e+001°)
3.16978638492222e+002	(5.29751720435339e+001dB,-1.93687342974920e+001°)
3.24362019471785e+002	(5.29701359504950e+001dB,-2.00624493488289e+001°)
3.31917381487511e+002	(5.29605660916100e+001dB,-2.07890123314876e+001°)
3.39648730492348e+002	(5.29459578533234e+001dB,-2.15491637501332e+001°)
3.47560165749874e+002	(5.29257431813269e+001dB,-2.23434500843383e+001°)
3.55655882007783e+002	(5.28992865537813e+001dB,-2.31721556568632e+001°)
3.63940171721995e+002	(5.28658817622540e+001dB,-2.40352215213280e+001°)
3.72417427332572e+002	(5.28247499572773e+001dB,-2.49321501931289e+001°)
3.81092143592648e+002	(5.27750395308835e+001dB,-2.58618954496041e+001°)
3.89968919951608e+002	(5.27158285310113e+001dB,-2.68227370854038e+001°)
3.99052462993775e+002	(5.26461304226623e+001dB,-2.78121414908584e+001°)
4.08347588933904e+002	(5.25649041132989e+001dB,-2.88266102809942e+001°)
4.17859226170806e+002	(5.24710692246853e+001dB,-2.98615209739209e+001°)
4.27592417900445e+002	(5.23635275941091e+001dB,-3.09109658906556e+001°)
4.37552324789909e+002	(5.22411918949712e+001dB,-3.19675979504987e+001°)
4.47744227713666e+002	(5.21030220501761e+001dB,-3.30224947085356e+001°)
