freq,amp,phase
5.88843655355587e+002,-6.44549038323190e-003,-5.63988151434382e+000
6.02559586074356e+002,-6.73452237505280e-003,-5.77117087277962e+000
6.16595001861481e+002,-7.03701943735796e-003,-5.90551268152359e+000
6.30957344480192e+002,-7.35360113907072e-003,-6.04297764481977e+000
6.45654229034654e+002,-7.68491481228124e-003,-6.18363808658797e+000
6.60693448007594e+002,-8.03163672391641e-003,-6.32756798633543e+000
6.76082975391980e+002,-8.39447328984898e-003,-6.47484301579661e+000
6.91830970918935e+002,-8.77416233207443e-003,-6.62554057630229e+000
7.07945784384136e+002,-9.17147437973245e-003,-6.77973983689840e+000
7.24435960074988e+002,-9.58721401453270e-003,-6.93752177321521e+000
7.41310241300916e+002,-1.00222212612444e-002,-7.09896920710830e+000
7.58577575029182e+002,-1.04773730234760e-002,-7.26416684707116e+000
7.76247116628690e+002,-1.09535845652301e-002,-7.43320132944133e+000
7.94328234724279e+002,-1.14518110382340e-002,-7.60616126040566e+000
8.12830516164097e+002,-1.19730490549395e-002,-7.78313725881355e+000
8.31763771102669e+002,-1.25183383071373e-002,-7.96422199981846e+000
8.51138038202374e+002,-1.30887632294684e-002,-8.14951025935100e+000
8.70963589956078e+002,-1.36854547073050e-002,-8.33909895944284e+000
8.91250938133743e+002,-1.43095918278423e-002,-8.53308721441026e+000
9.12010839355907e+002,-1.49624036730813e-002,-8.73157637791300e+000
9.33254300796988e+002,-1.56451711530591e-002,-8.93467009090315e+000
9.54992586021433e+002,-1.63592288771773e-002,-9.14247433047915e+000
9.77237220955808e+002,-1.71059670610813e-002,-9.35509745966091e+000
9.99999999999997e+002,-1.78868334660228e-002,-9.57265027810440e+000
1.02329299228075e+003,-1.87033353672113e-002,-9.79524607377520e+000
1.04712854805090e+003,-1.95570415468205e-002,-1.00230006756028e+001
1.07151930523760e+003,-2.04495843069961e-002,-1.02560325071399e+001
1.09647819614318e+003,-2.13826614969472e-002,-1.04944626412457e+001
1.12201845430196e+003,-2.23580385481611e-002,-1.07384148558372e+001
1.14815362149688e+003,-2.33775505100666e-002,-1.09880156907221e+001
1.17489755493953e+003,-2.44431040781377e-002,-1.12433945055649e+001
1.20226443461741e+003,-2.55566796050593e-002,-1.15046835390200e+001
1.23026877081238e+003,-2.67203330845736e-002,-1.17720179690777e+001
1.25892541179416e+003,-2.79361980962151e-002,-1.20455359746817e+001
1.28824955169313e+003,-2.92064876979420e-002,-1.23253787986655e+001
1.31825673855640e+003,-3.05334962521787e-002,-1.26116908120935e+001
1.34896288259165e+003,-3.19196011691256e-002,-1.29046195800635e+001
1.38038426460288e+003,-3.33672645493381e-002,-1.32043159290759e+001
1.41253754462275e+003,-3.48790347062439e-002,-1.35109340160538e+001
1.44543977074592e+003,-3.64575475465404e-002,-1.38246313991450e+001
1.47910838816820e+003,-3.81055277848999e-002,-1.41455691104130e+001
1.51356124843620e+003,-3.98257899667961e-002,-1.44739117305888e+001
1.54881661891248e+003,-4.16212392708630e-002,-1.48098274660291e+001
1.58489319246111e+003,-4.34948720598863e-002,-1.51534882280877e+001
1.62181009735892e+003,-4.54497761461936e-002,-1.55050697151031e+001
1.65958690743755e+003,-4.74891307350742e-002,-1.58647514972604e+001
1.69824365246174e+003,-4.96162060060874e-002,-1.62327171045964e+001
1.73780082874937e+003,-5.18343622895306e-002,-1.66091541184735e+001
1.77827941003892e+003,-5.41470487915104e-002,-1.69942542668668e+001
1.81970085860998e+003,-5.65578018180570e-002,-1.73882135238931e+001
1.86208713666286e+003,-5.90702424447591e-002,-1.77912322140126e+001
1.90546071796324e+003,-6.16880735753235e-002,-1.82035151214497e+001
1.94984459975804e+003,-6.44150763279810e-002,-1.86252716053943e+001
1.99526231496887e+003,-6.72551056861813e-002,-1.90567157216694e+001
2.04173794466952e+003,-7.02120853451104e-002,-1.94980663515872e+001
2.08929613085403e+003,-7.32900016830824e-002,-1.99495473388420e+001
2.13796208950222e+003,-7.64928967831751e-002,-2.04113876353897e+001
2.18776162394954e+003,-7.98248604272735e-002,-2.08838214573649e+001
2.23872113856833e+003,-8.32900209825420e-002,-2.13670884522301e+001
2.29086765276776e+003,-8.68925350978181e-002,-2.18614338784912e+001
2.34422881531991e+003,-9.06365761262606e-002,-2.23671087994777e+001
2.39883291901948e+003,-9.45263211898704e-002,-2.28843702928589e+001
2.45470891568502e+003,-9.85659368023171e-002,-2.34134816777800e+001
2.51188643150957e+003,-1.02759562968274e-001,-2.39547127617070e+001
2.57039578276885e+003,-1.07111295680560e-001,-2.45083401093026e+001
2.63026799189537e+003,-1.11625167743123e-001,-2.50746473359780e+001
2.69153480392690e+003,-1.16305127854414e-001,-2.56539254289860e+001
2.75422870333815e+003,-1.21155017897883e-001,-2.62464730993218e+001
2.81838293126444e+003,-1.26178548399704e-001,-2.68525971679927e+001
2.88403150312659e+003,-1.31379272133214e-001,-2.74726129907091e+001
2.95120922666637e+003,-1.36760555871934e-001,-2.81068449253514e+001
3.01995172040200e+003,-1.42325550323285e-001,-2.87556268472014e+001
3.09029543251358e+003,-1.48077158310106e-001,-2.94193027173362e+001
3.16227766016836e+003,-1.54018001311808e-001,-3.00982272102238e+001
3.23593656929627e+003,-1.60150384529761e-001,-3.07927664071759e+001
3.31131121482590e+003,-1.66476260706290e-001,-3.15032985629796e+001
3.38844156139201e+003,-1.72997193003556e-001,-3.22302149538262e+001
3.46736850452530e+003,-1.79714317341173e-001,-3.29739208154331e+001
3.54813389233574e+003,-1.86628304700762e-001,-3.37348363811472e+001
3.63078054770100e+003,-1.93739324036543e-001,-3.45133980308168e+001
3.71535229097171e+003,-2.01047006584303e-001,-3.53100595621490e+001
3.80189396320559e+003,-2.08550412544081e-001,-3.61252935975197e+001
3.89045144994279e+003,-2.16248001325735e-001,-3.69595931402761e+001
3.98107170553495e+003,-2.24137606798399e-001,-3.78134732958667e+001
4.07380277804111e+003,-2.32216419281947e-001,-3.86874731745144e+001
4.16869383470333e+003,-2.40480976365310e-001,-3.95821579934931e+001
4.26579518801591e+003,-2.48927165043812e-001,-4.04981213985801e+001
