Freq.	(-V(vs)*1000/(V(vi)-V(vs)))-1000
1.29130845806931e+002	(5.98035411644267e+001dB,-3.83631354912094e+001°)
1.32138689601519e+002	(5.96844533514140e+001dB,-3.85153255147417e+001°)
1.35216595078396e+002	(5.95647458525582e+001dB,-3.86543436475474e+001°)
1.38366194183787e+002	(5.94444950343523e+001dB,-3.87800617652519e+001°)
1.41589156876827e+002	(5.93237781886955e+001dB,-3.88923729293573e+001°)
1.44887192014998e+002	(5.92026733780656e+001dB,-3.89911916663548e+001°)
1.48262048260183e+002	(5.90812592793620e+001dB,-3.90764541986772e+001°)
1.51715515005836e+002	(5.89596150266780e+001dB,-3.91481186279357e+001°)
1.55249423325738e+002	(5.88378200532409e+001dB,-3.92061650708259e+001°)
1.58865646944856e+002	(5.87159539327385e+001dB,-3.92505957479932e+001°)
1.62566103232819e+002	(5.85940962202386e+001dB,-3.92814350260432e+001°)
1.66352754220534e+002	(5.84723262928989e+001dB,-3.92987294127633e+001°)
1.70227607640475e+002	(5.83507231906636e+001dB,-3.93025475054907e+001°)
1.74192717991216e+002	(5.82293654571465e+001dB,-3.92929798924425e+001°)
1.78250187626749e+002	(5.81083309809090e+001dB,-3.92701390067001e+001°)
1.82402167871181e+002	(5.79876968373554e+001dB,-3.92341589324374e+001°)
1.86650860159398e+002	(5.78675391314894e+001dB,-3.91851951628954e+001°)
1.90998517204287e+002	(5.77479328417956e+001dB,-3.91234243095497e+001°)
1.95447444191162e+002	(5.76289516655420e+001dB,-3.90490437618811e+001°)
1.99999999999999e+002	(5.75106678658254e+001dB,-3.89622712971717e+001°)
2.04658598456150e+002	(5.73931521207180e+001dB,-3.88633446397884e+001°)
2.09425709610179e+002	(5.72764733749041e+001dB,-3.87525209695028e+001°)
2.14303861047521e+002	(5.71606986942327e+001dB,-3.86300763785236e+001°)
2.19295639228636e+002	(5.70458931236402e+001dB,-3.84963052770896e+001°)
2.24403690860392e+002	(5.69321195489341e+001dB,-3.83515197476879e+001°)
2.29630724299376e+002	(5.68194385629492e+001dB,-3.81960488482143e+001°)
2.34979510987905e+002	(5.67079083366174e+001dB,-3.80302378646950e+001°)
2.40452886923482e+002	(5.65975844955058e+001dB,-3.78544475145133e+001°)
2.46053754162476e+002	(5.64885200023925e+001dB,-3.76690531014494e+001°)
2.51785082358833e+002	(5.63807650464513e+001dB,-3.74744436242280e+001°)
2.57649910338626e+002	(5.62743669396182e+001dB,-3.72710208406689e+001°)
2.63651347711281e+002	(5.61693700206975e+001dB,-3.70591982899535e+001°)
2.69792576518330e+002	(5.60658155677482e+001dB,-3.68394002759329e+001°)
2.76076852920576e+002	(5.59637417192626e+001dB,-3.66120608148197e+001°)
2.82507508924550e+002	(5.58631834046136e+001dB,-3.63776225509948e+001°)
2.89087954149185e+002	(5.57641722841998e+001dB,-3.61365356450424e+001°)
2.95821677633641e+002	(5.56667366996671e+001dB,-3.58892566384620e+001°)
3.02712249687241e+002	(5.55709016345241e+001dB,-3.56362472998143e+001°)
3.09763323782495e+002	(5.54766886854014e+001dB,-3.53779734573156e+001°)
3.16978638492222e+002	(5.53841160441337e+001dB,-3.51149038230990e+001°)
3.24362019471785e+002	(5.52931984907674e+001dB,-3.48475088145096e+001°)
3.31917381487511e+002	(5.52039473975137e+001dB,-3.45762593778898e+001°)
3.39648730492348e+002	(5.51163707435914e+001dB,-3.43016258203290e+001°)
3.47560165749874e+002	(5.50304731408145e+001dB,-3.40240766548125e+001°)
3.55655882007783e+002	(5.49462558697053e+001dB,-3.37440774640921e+001°)
3.63940171721995e+002	(5.48637169258305e+001dB,-3.34620897884286e+001°)
3.72417427332572e+002	(5.47828510759860e+001dB,-3.31785700421203e+001°)
3.81092143592648e+002	(5.47036499237824e+001dB,-3.28939684634396e+001°)
3.89968919951608e+002	(5.46261019841248e+001dB,-3.26087281022487e+001°)
3.99052462993775e+002	(5.45501927660167e+001dB,-3.23232838491814e+001°)
4.08347588933904e+002	(5.44759048630755e+001dB,-3.20380615098371e+001°)
4.17859226170806e+002	(5.44032180511016e+001dB,-3.17534769269747e+001°)
4.27592417900445e+002	(5.43321093920150e+001dB,-3.14699351532047e+001°)
4.37552324789909e+002	(5.42625533434507e+001dB,-3.11878296761743e+001°)
4.47744227713666e+002	(5.41945218732891e+001dB,-3.09075416977317e+001°)
4.58173530553553e+002	(5.41279845784006e+001dB,-3.06294394680476e+001°)
4.68845763063983e+002	(5.40629088068822e+001dB,-3.03538776751709e+001°)
4.79766583803896e+002	(5.39992597830864e+001dB,-3.00811968900179e+001°)
4.90941783137004e+002	(5.39370007347594e+001dB,-2.98117230663342e+001°)
5.02377286301914e+002	(5.38760930216413e+001dB,-2.95457670947429e+001°)
5.14079156553771e+002	(5.38164962649149e+001dB,-2.92836244096002e+001°)
5.26053598379074e+002	(5.37581684769365e+001dB,-2.90255746470324e+001°)
5.38306960785381e+002	(5.37010661907268e+001dB,-2.87718813522178e+001°)
5.50845740667631e+002	(5.36451445887553e+001dB,-2.85227917337209e+001°)
5.63676586252888e+002	(5.35903576306061e+001dB,-2.82785364624761e+001°)
5.76806300625319e+002	(5.35366581791703e+001dB,-2.80393295128553e+001°)
5.90241845333275e+002	(5.34839981250678e+001dB,-2.78053680431472e+001°)
6.03990344080401e+002	(5.34323285090636e+001dB,-2.75768323127143e+001°)
6.18059086502716e+002	(5.33815996422963e+001dB,-2.73538856330815e+001°)
6.32455532033673e+002	(5.33317612241979e+001dB,-2.71366743502462e+001°)
6.47187313859254e+002	(5.32827624580356e+001dB,-2.69253278555795e+001°)
6.62262242965179e+002	(5.32345521640568e+001dB,-2.67199586228064e+001°)
6.77688312278402e+002	(5.31870788902678e+001dB,-2.65206622687151e+001°)
6.93473700905060e+002	(5.31402910209184e+001dB,-2.63275176354368e+001°)
7.09626778467148e+002	(5.30941368828025e+001dB,-2.61405868923617e+001°)
7.26156109540200e+002	(5.30485648495194e+001dB,-2.59599156560102e+001°)
