Freq.	V(br)
1.47910838816820e+003	(-1.25561631609118e+001dB,5.51926462681598e+001°)
1.51356124843620e+003	(-1.21017819789699e+001dB,5.56410018019345e+001°)
1.54881661891248e+003	(-1.16672016315286e+001dB,5.59677933079841e+001°)
1.58489319246111e+003	(-1.12512068761541e+001dB,5.61890310159600e+001°)
1.62181009735892e+003	(-1.08526403615412e+001dB,5.63181135563758e+001°)
1.65958690743755e+003	(-1.04704155148250e+001dB,5.63663170799812e+001°)
1.69824365246174e+003	(-1.01035217086886e+001dB,5.63431854613528e+001°)
1.73780082874937e+003	(-9.75102471818538e+000dB,5.62568422891873e+001°)
1.77827941003892e+003	(-9.41206439215105e+000dB,5.61142411611317e+001°)
1.81970085860998e+003	(-9.08585076471226e+000dB,5.59213672999494e+001°)
1.86208713666286e+003	(-8.77165938123851e+000dB,5.56834006850070e+001°)
1.90546071796324e+003	(-8.46882632187450e+000dB,5.54048486631280e+001°)
1.94984459975804e+003	(-8.17674321792981e+000dB,5.50896542610297e+001°)
1.99526231496887e+003	(-7.89485243548860e+000dB,5.47412850688378e+001°)
2.04173794466952e+003	(-7.62264252316757e+000dB,5.43628065160493e+001°)
2.08929613085403e+003	(-7.35964397179922e+000dB,5.39569425492528e+001°)
2.13796208950222e+003	(-7.10542530308070e+000dB,5.35261260907910e+001°)
2.18776162394954e+003	(-6.85958948546135e+000dB,5.30725411674538e+001°)
2.23872113856833e+003	(-6.62177066453857e+000dB,5.25981582158186e+001°)
2.29086765276776e+003	(-6.39163118922199e+000dB,5.21047637713890e+001°)
2.34422881531991e+003	(-6.16885891210116e+000dB,5.15939855132318e+001°)
2.39883291901948e+003	(-5.95316474161795e+000dB,5.10673134499820e+001°)
2.45470891568502e+003	(-5.74428042402139e+000dB,5.05261178858100e+001°)
2.51188643150957e+003	(-5.54195653416259e+000dB,4.99716646877262e+001°)
2.57039578276885e+003	(-5.34596065563632e+000dB,4.94051282819406e+001°)
2.63026799189537e+003	(-5.15607573239006e+000dB,4.88276027318361e+001°)
2.69153480392690e+003	(-4.97209857556070e+000dB,4.82401111895668e+001°)
2.75422870333815e+003	(-4.79383851089139e+000dB,4.76436139643145e+001°)
2.81838293126444e+003	(-4.62111615357369e+000dB,4.70390154104682e+001°)
2.88403150312659e+003	(-4.45376229873494e+000dB,4.64271698065464e+001°)
2.95120922666637e+003	(-4.29161691703369e+000dB,4.58088863691409e+001°)
3.01995172040200e+003	(-4.13452824594016e+000dB,4.51849335243177e+001°)
3.09029543251358e+003	(-3.98235196826682e+000dB,4.45560425408871e+001°)
3.16227766016836e+003	(-3.83495047038518e+000dB,4.39229106150006e+001°)
3.23593656929627e+003	(-3.69219217332965e+000dB,4.32862034830571e+001°)
3.31131121482590e+003	(-3.55395093065601e+000dB,4.26465576294655e+001°)
3.38844156139201e+003	(-3.42010548750411e+000dB,4.20045821469972e+001°)
3.46736850452530e+003	(-3.29053899581945e+000dB,4.13608603000065e+001°)
3.54813389233574e+003	(-3.16513858112807e+000dB,4.07159508344331e+001°)
3.63078054770100e+003	(-3.04379495664067e+000dB,4.00703890730330e+001°)
3.71535229097171e+003	(-2.92640208079590e+000dB,3.94246878295579e+001°)
3.80189396320559e+003	(-2.81285685464279e+000dB,3.87793381714987e+001°)
3.89045144994279e+003	(-2.70305885571942e+000dB,3.81348100573912e+001°)
3.98107170553495e+003	(-2.59691010531133e+000dB,3.74915528715076e+001°)
4.07380277804111e+003	(-2.49431486617613e+000dB,3.68499958759339e+001°)
4.16869383470333e+003	(-2.39517946800352e+000dB,3.62105485974994e+001°)
4.26579518801591e+003	(-2.29941215804660e+000dB,3.55736011647792e+001°)
4.36515832240164e+003	(-2.20692297451552e+000dB,3.49395246083287e+001°)
4.46683592150961e+003	(-2.11762364046683e+000dB,3.43086711354916e+001°)
4.57088189614873e+003	(-2.03142747605965e+000dB,3.36813743894340e+001°)
4.67735141287196e+003	(-1.94824932717800e+000dB,3.30579497005654e+001°)
4.78630092322636e+003	(-1.86800550854462e+000dB,3.24386943371281e+001°)
4.89778819368444e+003	(-1.79061375957080e+000dB,3.18238877605107e+001°)
5.01187233627270e+003	(-1.71599321130572e+000dB,3.12137918897260e+001°)
5.12861383991362e+003	(-1.64406436296247e+000dB,3.06086513784892e+001°)
5.24807460249770e+003	(-1.57474906660918e+000dB,3.00086939074536e+001°)
5.37031796370250e+003	(-1.50797051872411e+000dB,2.94141304933532e+001°)
5.49540873857622e+003	(-1.44365325741900e+000dB,2.88251558161185e+001°)
5.62341325190346e+003	(-1.38172316423889e+000dB,2.82419485644135e+001°)
5.75439937337154e+003	(-1.32210746954728e+000dB,2.76646717995237e+001°)
5.88843655355586e+003	(-1.26473476060129e+000dB,2.70934733370742e+001°)
6.02559586074354e+003	(-1.20953499151721e+000dB,2.65284861456819e+001°)
6.16595001861479e+003	(-1.15643949441322e+000dB,2.59698287613436e+001°)
6.30957344480190e+003	(-1.10538099110319e+000dB,2.54176057161098e+001°)
6.45654229034652e+003	(-1.05629360479534e+000dB,2.48719079794092e+001°)
6.60693448007592e+003	(-1.00911287132493e+000dB,2.43328134102489e+001°)
6.76082975391978e+003	(-9.63775749521669e-001dB,2.38003872184250e+001°)
6.91830970918932e+003	(-9.20220630378486e-001dB,2.32746824328245e+001°)
7.07945784384134e+003	(-8.78387344748630e-001dB,2.27557403748851e+001°)
7.24435960074986e+003	(-8.38217169355030e-001dB,2.22435911352930e+001°)
7.41310241300913e+003	(-7.99652830945525e-001dB,2.17382540520453e+001°)
7.58577575029179e+003	(-7.62638508475171e-001dB,2.12397381880616e+001°)
7.76247116628687e+003	(-7.27119833236391e-001dB,2.07480428066146e+001°)
7.94328234724277e+003	(-6.93043886896106e-001dB,2.02631578429484e+001°)
