Freq.	V(output)/V(input)
1.94984459975804e+002	(1.99978567928449e+001dB,1.79670683218187e+002°)
1.99526231496888e+002	(1.99978506615555e+001dB,1.79663012595705e+002°)
2.04173794466953e+002	(1.99978442413162e+001dB,1.79655163312190e+002°)
2.08929613085404e+002	(1.99978375185108e+001dB,1.79647131206979e+002°)
2.13796208950223e+002	(1.99978304788805e+001dB,1.79638912022382e+002°)
2.18776162394955e+002	(1.99978231074949e+001dB,1.79630501401659e+002°)
2.23872113856834e+002	(1.99978153887195e+001dB,1.79621894886556e+002°)
2.29086765276777e+002	(1.99978073061845e+001dB,1.79613087915248e+002°)
2.34422881531992e+002	(1.99977988427473e+001dB,1.79604075819514e+002°)
2.39883291901949e+002	(1.99977899804584e+001dB,1.79594853822617e+002°)
2.45470891568503e+002	(1.99977807005220e+001dB,1.79585417036554e+002°)
2.51188643150958e+002	(1.99977709832568e+001dB,1.79575760459565e+002°)
2.57039578276886e+002	(1.99977608080541e+001dB,1.79565878973498e+002°)
2.63026799189538e+002	(1.99977501533346e+001dB,1.79555767341133e+002°)
2.69153480392691e+002	(1.99977389965013e+001dB,1.79545420203241e+002°)
2.75422870333816e+002	(1.99977273138935e+001dB,1.79534832076060e+002°)
2.81838293126445e+002	(1.99977150807350e+001dB,1.79523997348053e+002°)
2.88403150312660e+002	(1.99977022710823e+001dB,1.79512910277194e+002°)
2.95120922666638e+002	(1.99976888577695e+001dB,1.79501564987817e+002°)
3.01995172040201e+002	(1.99976748123513e+001dB,1.79489955467624e+002°)
3.09029543251358e+002	(1.99976601050413e+001dB,1.79478075564309e+002°)
3.16227766016837e+002	(1.99976447046506e+001dB,1.79465918982588e+002°)
3.23593656929628e+002	(1.99976285785201e+001dB,1.79453479280601e+002°)
3.31131121482590e+002	(1.99976116924525e+001dB,1.79440749866717e+002°)
3.38844156139202e+002	(1.99975940106394e+001dB,1.79427723995989e+002°)
3.46736850452531e+002	(1.99975754955849e+001dB,1.79414394766510e+002°)
3.54813389233575e+002	(1.99975561080273e+001dB,1.79400755116009e+002°)
3.63078054770101e+002	(1.99975358068547e+001dB,1.79386797817809e+002°)
3.71535229097172e+002	(1.99975145490187e+001dB,1.79372515477323e+002°)
3.80189396320560e+002	(1.99974922894432e+001dB,1.79357900528035e+002°)
3.89045144994280e+002	(1.99974689809282e+001dB,1.79342945227399e+002°)
3.98107170553496e+002	(1.99974445740503e+001dB,1.79327641652943e+002°)
4.07380277804112e+002	(1.99974190170586e+001dB,1.79311981698119e+002°)
4.16869383470335e+002	(1.99973922557636e+001dB,1.79295957067781e+002°)
4.26579518801592e+002	(1.99973642334240e+001dB,1.79279559274184e+002°)
4.36515832240165e+002	(1.99973348906256e+001dB,1.79262779632241e+002°)
4.46683592150962e+002	(1.99973041651559e+001dB,1.79245609255123e+002°)
4.57088189614874e+002	(1.99972719918716e+001dB,1.79228039049452e+002°)
4.67735141287197e+002	(1.99972383025622e+001dB,1.79210059710730e+002°)
4.78630092322637e+002	(1.99972030258038e+001dB,1.79191661718230e+002°)
4.89778819368445e+002	(1.99971660868092e+001dB,1.79172835330181e+002°)
5.01187233627271e+002	(1.99971274072696e+001dB,1.79153570578666e+002°)
5.12861383991364e+002	(1.99970869051877e+001dB,1.79133857264258e+002°)
5.24807460249771e+002	(1.99970444947053e+001dB,1.79113684950763e+002°)
5.37031796370251e+002	(1.99970000859216e+001dB,1.79093042959905e+002°)
5.49540873857623e+002	(1.99969535847019e+001dB,1.79071920365450e+002°)
5.62341325190348e+002	(1.99969048924792e+001dB,1.79050305987654e+002°)
