Freq.	V(output)/V(input)
5.00000000000000e+003	(4.05754881265407e-004dB,-1.23021354336596e+000°)
5.11646496140377e+003	(3.66342893009161e-004dB,-1.25886743569430e+000°)
5.23564274025450e+003	(3.25073604772617e-004dB,-1.28818865829218e+000°)
5.35759652618803e+003	(2.81859496258953e-004dB,-1.31819274784425e+000°)
5.48239098071592e+003	(2.36608925392246e-004dB,-1.34889560235763e+000°)
5.61009227150982e+003	(1.89225930427996e-004dB,-1.38031348961659e+000°)
5.74076810748441e+003	(1.39610031650393e-004dB,-1.41246305557586e+000°)
5.87448777469765e+003	(8.76560120172023e-005dB,-1.44536133340965e+000°)
6.01132217308706e+003	(3.32537007002932e-005dB,-1.47902575224283e+000°)
6.15134385406191e+003	(-2.37122676204486e-005dB,-1.51347414663948e+000°)
6.29462705897083e+003	(-8.33626890119909e-005dB,-1.54872476549636e+000°)
6.44124775846567e+003	(-1.45824051528236e-004dB,-1.58479628190575e+000°)
6.59128369278203e+003	(-2.11228801018773e-004dB,-1.62170780316313e+000°)
6.74481441295827e+003	(-2.79715627008503e-004dB,-1.65947888082094e+000°)
6.90192132301442e+003	(-3.51429747282102e-004dB,-1.69812952034586e+000°)
7.06268772311377e+003	(-4.26523219937524e-004dB,-1.73768019210835e+000°)
7.22719885372963e+003	(-5.05155270912667e-004dB,-1.77815184245674e+000°)
7.39554194084103e+003	(-5.87492620959029e-004dB,-1.81956590373162e+000°)
7.56780624218104e+003	(-6.73709846958931e-004dB,-1.86194430692053e+000°)
7.74408309456240e+003	(-7.63989744818365e-004dB,-1.90530949120630e+000°)
7.92446596230556e+003	(-8.58523726529519e-004dB,-1.94968441820801e+000°)
8.10905048679465e+003	(-9.57512212882374e-004dB,-1.99509258141138e+000°)
8.29793453718780e+003	(-1.06116506638836e-003dB,-2.04155802035173e+000°)
8.49121826230872e+003	(-1.16970203545404e-003dB,-2.08910533253796e+000°)
8.68900414374687e+003	(-1.28335321159431e-003dB,-2.13775968574356e+000°)
8.89139705019461e+003	(-1.40235952641389e-003dB,-2.18754683233277e+000°)
