Freq.	V(output)/V(input)
6.45654229034654e+004	(-1.99483243242399e+001dB,1.72581258900946e+002°)
6.60693448007594e+004	(-1.99458884174730e+001dB,1.72407676757936e+002°)
6.76082975391980e+004	(-1.99433382867877e+001dB,1.72229995393067e+002°)
6.91830970918934e+004	(-1.99406686052166e+001dB,1.72048115275471e+002°)
7.07945784384136e+004	(-1.99378738003544e+001dB,1.71861934260972e+002°)
7.24435960074988e+004	(-1.99349480432279e+001dB,1.71671347508653e+002°)
7.41310241300915e+004	(-1.99318852368433e+001dB,1.71476247395649e+002°)
7.58577575029181e+004	(-1.99286790041999e+001dB,1.71276523426941e+002°)
7.76247116628689e+004	(-1.99253226758331e+001dB,1.71072062141676e+002°)
7.94328234724279e+004	(-1.99218092769064e+001dB,1.70862747013586e+002°)
8.12830516164096e+004	(-1.99181315134994e+001dB,1.70648458351362e+002°)
8.31763771102668e+004	(-1.99142817588254e+001dB,1.70429073186965e+002°)
8.51138038202373e+004	(-1.99102520384036e+001dB,1.70204465167405e+002°)
8.70963589956077e+004	(-1.99060340149130e+001dB,1.69974504433606e+002°)
8.91250938133742e+004	(-1.99016189724527e+001dB,1.69739057498232e+002°)
9.12010839355906e+004	(-1.98969978001828e+001dB,1.69497987115306e+002°)
9.33254300796988e+004	(-1.98921609750158e+001dB,1.69251152145885e+002°)
9.54992586021432e+004	(-1.98870985443787e+001dB,1.68998407409941e+002°)
9.77237220955807e+004	(-1.98818001075855e+001dB,1.68739603542034e+002°)
9.99999999999996e+004	(-1.98762547968599e+001dB,1.68474586829559e+002°)
1.02329299228075e+005	(-1.98704512578772e+001dB,1.68203199043948e+002°)
1.04712854805090e+005	(-1.98643776293060e+001dB,1.67925277269387e+002°)
1.07151930523760e+005	(-1.98580215216536e+001dB,1.67640653713994e+002°)
1.09647819614318e+005	(-1.98513699958498e+001dB,1.67349155512277e+002°)
1.12201845430196e+005	(-1.98444095407143e+001dB,1.67050604523578e+002°)
1.14815362149688e+005	(-1.98371260496084e+001dB,1.66744817109804e+002°)
1.17489755493952e+005	(-1.98295047973011e+001dB,1.66431603902723e+002°)
1.20226443461741e+005	(-1.98215304148877e+001dB,1.66110769560216e+002°)
1.23026877081238e+005	(-1.98131868650172e+001dB,1.65782112508809e+002°)
1.25892541179416e+005	(-1.98044574162306e+001dB,1.65445424665221e+002°)
1.28824955169313e+005	(-1.97953246169313e+001dB,1.65100491141576e+002°)
1.31825673855640e+005	(-1.97857702678325e+001dB,1.64747089942957e+002°)
1.34896288259165e+005	(-1.97757753954753e+001dB,1.64384991631206e+002°)
1.38038426460288e+005	(-1.97653202241571e+001dB,1.64013958971489e+002°)
1.41253754462275e+005	(-1.97543841479581e+001dB,1.63633746564837e+002°)
1.44543977074592e+005	(-1.97429457021929e+001dB,1.63244100447530e+002°)
1.47910838816820e+005	(-1.97309825356465e+001dB,1.62844757664062e+002°)
1.51356124843620e+005	(-1.97184713813770e+001dB,1.62435445819263e+002°)
1.54881661891247e+005	(-1.97053880291865e+001dB,1.62015882586128e+002°)
1.58489319246111e+005	(-1.96917072970583e+001dB,1.61585775201126e+002°)
1.62181009735892e+005	(-1.96774030045858e+001dB,1.61144819898416e+002°)
1.65958690743755e+005	(-1.96624479457778e+001dB,1.60692701330672e+002°)
1.69824365246174e+005	(-1.96468138640729e+001dB,1.60229091930842e+002°)
1.73780082874937e+005	(-1.96304714282134e+001dB,1.59753651231638e+002°)
1.77827941003891e+005	(-1.96133902107827e+001dB,1.59266025143539e+002°)
1.81970085860998e+005	(-1.95955386672009e+001dB,1.58765845178075e+002°)
1.86208713666286e+005	(-1.95768841202368e+001dB,1.58252727601679e+002°)
1.90546071796324e+005	(-1.95573927455695e+001dB,1.57726272551235e+002°)
1.94984459975804e+005	(-1.95370295630638e+001dB,1.57186063055757e+002°)
1.99526231496887e+005	(-1.95157584314626e+001dB,1.56631664015701e+002°)
2.04173794466952e+005	(-1.94935420513420e+001dB,1.56062621075724e+002°)
2.08929613085403e+005	(-1.94703419721826e+001dB,1.55478459438689e+002°)
2.13796208950222e+005	(-1.94461186091964e+001dB,1.54878682569888e+002°)
2.18776162394954e+005	(-1.94208312702834e+001dB,1.54262770817026e+002°)
2.23872113856833e+005	(-1.93944381921886e+001dB,1.53630179914753e+002°)
2.29086765276776e+005	(-1.93668965911655e+001dB,1.52980339389471e+002°)
2.34422881531991e+005	(-1.93381627283938e+001dB,1.52312650832232e+002°)
2.39883291901948e+005	(-1.93081919927384e+001dB,1.51626486034544e+002°)
2.45470891568502e+005	(-1.92769390035972e+001dB,1.50921185017749e+002°)
2.51188643150957e+005	(-1.92443577380824e+001dB,1.50196053865482e+002°)
2.57039578276885e+005	(-1.92104016833377e+001dB,1.49450362443097e+002°)
2.63026799189537e+005	(-1.91750240229554e+001dB,1.48683341927271e+002°)
2.69153480392690e+005	(-1.91381778565123e+001dB,1.47894182158913e+002°)
2.75422870333815e+005	(-1.90998164624493e+001dB,1.47082028820895e+002°)
2.81838293126444e+005	(-1.90598936075547e+001dB,1.46245980419393e+002°)
