Freq.	V(output)/V(input)
5.00000000000000e+003	(4.14892131194290e+000dB,-8.92664919958455e-001°)
5.11646496140377e+003	(4.14891411991890e+000dB,-9.13458298422790e-001°)
5.23564274025450e+003	(4.14890658883848e+000dB,-9.34736055572610e-001°)
5.35759652618803e+003	(4.14889870271328e+000dB,-9.56509476802087e-001°)
5.48239098071592e+003	(4.14889044479829e+000dB,-9.78790110673821e-001°)
5.61009227150982e+003	(4.14888179755957e+000dB,-1.00158977473615e+000°)
5.74076810748441e+003	(4.14887274263523e+000dB,-1.02492056225683e+000°)
5.87448777469765e+003	(4.14886326079738e+000dB,-1.04879484834487e+000°)
6.01132217308706e+003	(4.14885333190946e+000dB,-1.07322529647120e+000°)
6.15134385406191e+003	(4.14884293488445e+000dB,-1.09822486575771e+000°)
6.29462705897083e+003	(4.14883204764109e+000dB,-1.12380681696955e+000°)
6.44124775846567e+003	(4.14882064705396e+000dB,-1.14998472048338e+000°)
6.59128369278203e+003	(4.14880870890706e+000dB,-1.17677246296318e+000°)
6.74481441295827e+003	(4.14879620783935e+000dB,-1.20418425482950e+000°)
6.90192132301442e+003	(4.14878311729383e+000dB,-1.23223463796990e+000°)
7.06268772311377e+003	(4.14876940945773e+000dB,-1.26093849346649e+000°)
7.22719885372963e+003	(4.14875505520523e+000dB,-1.29031104952349e+000°)
7.39554194084103e+003	(4.14874002403440e+000dB,-1.32036788932537e+000°)
7.56780624218104e+003	(4.14872428400219e+000dB,-1.35112495977320e+000°)
7.74408309456240e+003	(4.14870780165622e+000dB,-1.38259857964402e+000°)
7.92446596230556e+003	(4.14869054196375e+000dB,-1.41480544842216e+000°)
8.10905048679465e+003	(4.14867246823576e+000dB,-1.44776265520801e+000°)
8.29793453718780e+003	(4.14865354204820e+000dB,-1.48148768808802e+000°)
8.49121826230872e+003	(4.14863372316061e+000dB,-1.51599844304489e+000°)
8.68900414374687e+003	(4.14861296943240e+000dB,-1.55131323343796e+000°)
8.89139705019461e+003	(4.14859123672679e+000dB,-1.58745080050287e+000°)
9.09850429304991e+003	(4.14856847882077e+000dB,-1.62443032266110e+000°)
9.31043568331433e+003	(4.14854464730472e+000dB,-1.66227142602074e+000°)
9.52730358981623e+003	(4.14851969147886e+000dB,-1.70099419504169e+000°)
9.74922299879022e+003	(4.14849355824280e+000dB,-1.74061918301698e+000°)
9.97631157484439e+003	(4.14846619198430e+000dB,-1.78116742311366e+000°)
1.02086897233476e+004	(4.14843753445693e+000dB,-1.82266043969593e+000°)
1.04464806542702e+004	(4.14840752465906e+000dB,-1.86512025985775e+000°)
1.06898104475112e+004	(4.14837609869432e+000dB,-1.90856942560808e+000°)
