Freq.	V(input)/I(R1)
3.46736850452530e+005	(6.46047904141398e+001dB,-1.61827489123683e+002°)
3.54813389233574e+005	(6.46863884775355e+001dB,-1.61919936913750e+002°)
3.63078054770099e+005	(6.47679270662817e+001dB,-1.62032428762402e+002°)
3.71535229097171e+005	(6.48492266742095e+001dB,-1.62165269246981e+002°)
3.80189396320559e+005	(6.49301001498138e+001dB,-1.62318682078732e+002°)
3.89045144994279e+005	(6.50103535885647e+001dB,-1.62492802820957e+002°)
3.98107170553495e+005	(6.50897873861693e+001dB,-1.62687671960211e+002°)
4.07380277804111e+005	(6.51681974520824e+001dB,-1.62903228505768e+002°)
4.16869383470333e+005	(6.52453765822754e+001dB,-1.63139304266752e+002°)
4.26579518801590e+005	(6.53211159824825e+001dB,-1.63395619013722e+002°)
4.36515832240164e+005	(6.53952069297250e+001dB,-1.63671776667979e+002°)
4.46683592150961e+005	(6.54674425559915e+001dB,-1.63967262713638e+002°)
4.57088189614873e+005	(6.55376197311201e+001dB,-1.64281442988358e+002°)
4.67735141287196e+005	(6.56055410168053e+001dB,-1.64613563985507e+002°)
4.78630092322636e+005	(6.56710166610618e+001dB,-1.64962754805454e+002°)
4.89778819368444e+005	(6.57338665956337e+001dB,-1.65328030814156e+002°)
5.01187233627270e+005	(6.57939223971482e+001dB,-1.65708299074378e+002°)
5.12861383991362e+005	(6.58510291706620e+001dB,-1.66102365531225e+002°)
5.24807460249770e+005	(6.59050473115190e+001dB,-1.66508943915822e+002°)
5.37031796370250e+005	(6.59558541060445e+001dB,-1.66926666252112e+002°)
5.49540873857621e+005	(6.60033451295376e+001dB,-1.67354094817121e+002°)
5.62341325190346e+005	(6.60474354069496e+001dB,-1.67789735358543e+002°)
5.75439937337154e+005	(6.60880603058577e+001dB,-1.68232051310041e+002°)
5.88843655355586e+005	(6.61251761393861e+001dB,-1.68679478740217e+002°)
6.02559586074354e+005	(6.61587604626061e+001dB,-1.69130441716288e+002°)
6.16595001861479e+005	(6.61888120571213e+001dB,-1.69583367765502e+002°)
6.30957344480189e+005	(6.62153506055265e+001dB,-1.70036703111008e+002°)
6.45654229034652e+005	(6.62384160665235e+001dB,-1.70488927365942e+002°)
6.60693448007592e+005	(6.62580677715535e+001dB,-1.70938567397084e+002°)
6.76082975391978e+005	(6.62743832677454e+001dB,-1.71384210089601e+002°)
6.91830970918932e+005	(6.62874569422054e+001dB,-1.71824513798209e+002°)
7.07945784384134e+005	(6.62973984629727e+001dB,-1.72258218306816e+002°)
7.24435960074986e+005	(6.63043310791648e+001dB,-1.72684153172250e+002°)
7.41310241300913e+005	(6.63083898202457e+001dB,-1.73101244377390e+002°)
7.58577575029179e+005	(6.63097196376507e+001dB,-1.73508519274161e+002°)
7.76247116628687e+005	(6.63084735278819e+001dB,-1.73905109835047e+002°)
7.94328234724276e+005	(6.63048106744437e+001dB,-1.74290254283850e+002°)
8.12830516164094e+005	(6.62988946420843e+001dB,-1.74663297202965e+002°)
8.31763771102666e+005	(6.62908916522585e+001dB,-1.75023688250460e+002°)
8.51138038202371e+005	(6.62809689629178e+001dB,-1.75370979633801e+002°)
8.70963589956075e+005	(6.62692933727598e+001dB,-1.75704822509438e+002°)
8.91250938133740e+005	(6.62560298621064e+001dB,-1.76024962476597e+002°)
9.12010839355904e+005	(6.62413403802099e+001dB,-1.76331234339111e+002°)
9.33254300796985e+005	(6.62253827831770e+001dB,-1.76623556303667e+002°)
9.54992586021430e+005	(6.62083099225014e+001dB,-1.76901923770011e+002°)
9.77237220955804e+005	(6.61902688822712e+001dB,-1.77166402865873e+002°)
9.99999999999993e+005	(6.61714003584410e+001dB,-1.77417123854421e+002°)
1.02329299228075e+006	(6.61518381727624e+001dB,-1.77654274531673e+002°)
1.04712854805089e+006	(6.61317089118442e+001dB,-1.77878093716149e+002°)
1.07151930523760e+006	(6.61111316807099e+001dB,-1.78088864912925e+002°)
1.09647819614318e+006	(6.60902179593718e+001dB,-1.78286910220763e+002°)
1.12201845430196e+006	(6.60690715512844e+001dB,-1.78472584534654e+002°)
1.14815362149688e+006	(6.60477886117526e+001dB,-1.78646270085387e+002°)
1.17489755493952e+006	(6.60264577454098e+001dB,-1.78808371340988e+002°)
1.20226443461740e+006	(6.60051601620505e+001dB,-1.78959310288446e+002°)
1.23026877081237e+006	(6.59839698808059e+001dB,-1.79099522102502e+002°)
1.25892541179416e+006	(6.59629539735471e+001dB,-1.79229451201599e+002°)
1.28824955169313e+006	(6.59421728389907e+001dB,-1.79349547683476e+002°)
1.31825673855640e+006	(6.59216805003108e+001dB,-1.79460264130996e+002°)
1.34896288259164e+006	(6.59015249192544e+001dB,-1.79562052769544e+002°)
1.38038426460288e+006	(6.58817483212235e+001dB,-1.79655362960634e+002°)
1.41253754462274e+006	(6.58623875261168e+001dB,-1.79740639009039e+002°)
1.44543977074592e+006	(6.58434742808269e+001dB,-1.79818318264472e+002°)
1.47910838816820e+006	(6.58250355896400e+001dB,-1.79888829492462e+002°)
1.51356124843620e+006	(6.58070940397217e+001dB,-1.79952591495674e+002°)
1.54881661891247e+006	(6.57896681191497e+001dB,1.79989988039555e+002°)
1.58489319246110e+006	(6.57727725257471e+001dB,1.79938513489089e+002°)
1.62181009735892e+006	(6.57564184651014e+001dB,1.79892602052824e+002°)
1.65958690743755e+006	(6.57406139367787e+001dB,1.79851884349960e+002°)
1.69824365246173e+006	(6.57253640079721e+001dB,1.79816004864783e+002°)
1.73780082874936e+006	(6.57106710740261e+001dB,1.79784622262415e+002°)
1.77827941003891e+006	(6.56965351057023e+001dB,1.79757409587040e+002°)
1.81970085860997e+006	(6.56829538830124e+001dB,1.79734054358934e+002°)
1.86208713666285e+006	(6.56699232157996e+001dB,1.79714258581177e+002°)
1.90546071796323e+006	(6.56574371512248e+001dB,1.79697738669586e+002°)
1.94984459975803e+006	(6.56454881685019e+001dB,1.79684225314832e+002°)
1.99526231496887e+006	(6.56340673612394e+001dB,1.79673463287011e+002°)
2.04173794466951e+006	(6.56231646078402e+001dB,1.79665211190357e+002°)
2.08929613085402e+006	(6.56127687304172e+001dB,1.79659241176416e+002°)
2.13796208950222e+006	(6.56028676426932e+001dB,1.79655338621178e+002°)
2.18776162394954e+006	(6.55934484873951e+001dB,1.79653301773105e+002°)
2.23872113856832e+006	(6.55844977636443e+001dB,1.79652941376398e+002°)
2.29086765276776e+006	(6.55760014447930e+001dB,1.79654080274498e+002°)
2.34422881531990e+006	(6.55679450872181e+001dB,1.79656552997706e+002°)
2.39883291901947e+006	(6.55603139305059e+001dB,1.79660205338587e+002°)
2.45470891568501e+006	(6.55530929894754e+001dB,1.79664893917978e+002°)
2.51188643150956e+006	(6.55462671384664e+001dB,1.79670485744995e+002°)
2.57039578276884e+006	(6.55398211882815e+001dB,1.79676857772963e+002°)
2.63026799189536e+006	(6.55337399561759e+001dB,1.79683896453616e+002°)
2.69153480392689e+006	(6.55280083292595e+001dB,1.79691497291896e+002°)
2.75422870333814e+006	(6.55226113216556e+001dB,1.79699564402771e+002°)
2.81838293126443e+006	(6.55175341257546e+001dB,1.79708010071930e+002°)
2.88403150312658e+006	(6.55127621578805e+001dB,1.79716754321638e+002°)
2.95120922666636e+006	(6.55082810986771e+001dB,1.79725724483138e+002°)
3.01995172040199e+006	(6.55040769285203e+001dB,1.79734854777128e+002°)
3.09029543251357e+006	(6.55001359582313e+001dB,1.79744085902751e+002°)
3.16227766016835e+006	(6.54964448553840e+001dB,1.79753364636829e+002°)
3.23593656929626e+006	(6.54929906664704e+001dB,1.79762643443645e+002°)
3.31131121482588e+006	(6.54897608351958e+001dB,1.79771880096398e+002°)
3.38844156139200e+006	(6.54867432171622e+001dB,1.79781037310811e+002°)
3.46736850452529e+006	(6.54839260911951e+001dB,1.79790082391833e+002°)
3.54813389233573e+006	(6.54812981675625e+001dB,1.79798986893433e+002°)
3.63078054770098e+006	(6.54788485933274e+001dB,1.79807726292309e+002°)
3.71535229097170e+006	(6.54765669550771e+001dB,1.79816279675794e+002°)
3.80189396320558e+006	(6.54744432792505e+001dB,1.79824629443898e+002°)
3.89045144994277e+006	(6.54724680302959e+001dB,1.79832761025995e+002°)
3.98107170553494e+006	(6.54706321068722e+001dB,1.79840662612128e+002°)
4.07380277804109e+006	(6.54689268363005e+001dB,1.79848324898694e+002°)
4.16869383470332e+006	(6.54673439674703e+001dB,1.79855740848718e+002°)
4.26579518801589e+006	(6.54658756623889e+001dB,1.79862905466414e+002°)
4.36515832240162e+006	(6.54645144865570e+001dB,1.79869815585883e+002°)
4.46683592150959e+006	(6.54632533983407e+001dB,1.79876469673510e+002°)
4.57088189614871e+006	(6.54620857375079e+001dB,1.79882867643915e+002°)
4.67735141287194e+006	(6.54610052130726e+001dB,1.79889010688966e+002°)
4.78630092322634e+006	(6.54600058905945e+001dB,1.79894901119487e+002°)
4.89778819368442e+006	(6.54590821790626e+001dB,1.79900542219034e+002°)
5.01187233627268e+006	(6.54582288174816e+001dB,1.79905938109500e+002°)
5.12861383991360e+006	(6.54574408612742e+001dB,1.79911093627876e+002°)
5.24807460249768e+006	(6.54567136685936e+001dB,1.79916014213553e+002°)
5.37031796370248e+006	(6.54560428866405e+001dB,1.79920705805906e+002°)
5.49540873857620e+006	(6.54554244380607e+001dB,1.79925174751254e+002°)
5.62341325190344e+006	(6.54548545074955e+001dB,1.79929427718874e+002°)
5.75439937337152e+006	(6.54543295283460e+001dB,1.79933471625542e+002°)
5.88843655355584e+006	(6.54538461698032e+001dB,1.79937313567786e+002°)
6.02559586074352e+006	(6.54534013241911e+001dB,1.79940960761649e+002°)
6.16595001861477e+006	(6.54529920946594e+001dB,1.79944420489215e+002°)
6.30957344480187e+006	(6.54526157832561e+001dB,1.79947700051444e+002°)
6.45654229034650e+006	(6.54522698794066e+001dB,1.79950806726888e+002°)
6.60693448007590e+006	(6.54519520488176e+001dB,1.79953747735748e+002°)
6.76082975391976e+006	(6.54516601228179e+001dB,1.79956530208796e+002°)
6.91830970918930e+006	(6.54513920881486e+001dB,1.79959161160871e+002°)
7.07945784384131e+006	(6.54511460772041e+001dB,1.79961647468343e+002°)
7.24435960074983e+006	(6.54509203587282e+001dB,1.79963995850387e+002°)
7.41310241300911e+006	(6.54507133289609e+001dB,1.79966212853492e+002°)
7.58577575029177e+006	(6.54505235032330e+001dB,1.79968304839063e+002°)
7.76247116628684e+006	(6.54503495080001e+001dB,1.79970277973573e+002°)
7.94328234724274e+006	(6.54501900733070e+001dB,1.79972138221308e+002°)
8.12830516164092e+006	(6.54500440256717e+001dB,1.79973891339019e+002°)
8.31763771102663e+006	(6.54499102813767e+001dB,1.79975542872645e+002°)
8.51138038202368e+006	(6.54497878401544e+001dB,1.79977098155535e+002°)
8.70963589956072e+006	(6.54496757792508e+001dB,1.79978562308201e+002°)
8.91250938133737e+006	(6.54495732478548e+001dB,1.79979940239318e+002°)
9.12010839355901e+006	(6.54494794618756e+001dB,1.79981236647699e+002°)
9.33254300796982e+006	(6.54493936990543e+001dB,1.79982456025328e+002°)
9.54992586021427e+006	(6.54493152943919e+001dB,1.79983602661090e+002°)
9.77237220955801e+006	(6.54492436358811e+001dB,1.79984680645135e+002°)
1.00000000000000e+007	(6.54491781605220e+001dB,1.79985693873815e+002°)
