Freq.	V(input)/I(R3)
7.07945784384136e+004	(7.57979785369927e+001dB,-2.33768495367339e-001°)
7.24435960074988e+004	(7.57971517464860e+001dB,-2.33640156888392e-001°)
7.41310241300915e+004	(7.57963257906650e+001dB,-2.33384183458906e-001°)
7.58577575029181e+004	(7.57955015485974e+001dB,-2.33000984360764e-001°)
7.76247116628689e+004	(7.57946798926827e+001dB,-2.32491297922404e-001°)
7.94328234724279e+004	(7.57938616850379e+001dB,-2.31856186548823e-001°)
8.12830516164096e+004	(7.57930477739699e+001dB,-2.31097029651427e-001°)
8.31763771102668e+004	(7.57922389905719e+001dB,-2.30215514693964e-001°)
8.51138038202373e+004	(7.57914361454721e+001dB,-2.29213626250409e-001°)
8.70963589956077e+004	(7.57906400257656e+001dB,-2.28093633478790e-001°)
8.91250938133742e+004	(7.57898513921552e+001dB,-2.26858075955280e-001°)
9.12010839355906e+004	(7.57890709762874e+001dB,-2.25509747970958e-001°)
9.33254300796988e+004	(7.57882994783728e+001dB,-2.24051681773640e-001°)
9.54992586021432e+004	(7.57875375650369e+001dB,-2.22487129587874e-001°)
9.77237220955807e+004	(7.57867858674343e+001dB,-2.20819544761561e-001°)
9.99999999999996e+004	(7.57860449796562e+001dB,-2.19052562305688e-001°)
1.02329299228075e+005	(7.57853154574075e+001dB,-2.17189978844968e-001°)
1.04712854805090e+005	(7.57845978169577e+001dB,-2.15235732316694e-001°)
1.07151930523760e+005	(7.57838925343733e+001dB,-2.13193881434747e-001°)
1.09647819614318e+005	(7.57832000450400e+001dB,-2.11068585409744e-001°)
1.12201845430196e+005	(7.57825207434157e+001dB,-2.08864083658205e-001°)
1.14815362149688e+005	(7.57818549830573e+001dB,-2.06584676041019e-001°)
1.17489755493952e+005	(7.57812030768908e+001dB,-2.04234703553909e-001°)
1.20226443461741e+005	(7.57805652977015e+001dB,-2.01818529767687e-001°)
1.23026877081238e+005	(7.57799418788168e+001dB,-1.99340522796541e-001°)
1.25892541179416e+005	(7.57793330150218e+001dB,-1.96805038507823e-001°)
1.28824955169313e+005	(7.57787388636072e+001dB,-1.94216404309931e-001°)
1.31825673855640e+005	(7.57781595455954e+001dB,-1.91578904220470e-001°)
1.34896288259165e+005	(7.57775951470987e+001dB,-1.88896764833385e-001°)
1.38038426460288e+005	(7.57770457207924e+001dB,-1.86174142581044e-001°)
1.41253754462275e+005	(7.57765112874861e+001dB,-1.83415111987999e-001°)
1.44543977074592e+005	(7.57759918377756e+001dB,-1.80623655087049e-001°)
1.47910838816820e+005	(7.57754873337536e+001dB,-1.77803652096909e-001°)
1.51356124843620e+005	(7.57749977107737e+001dB,-1.74958873103901e-001°)
1.54881661891247e+005	(7.57745228792347e+001dB,-1.72092970991218e-001°)
1.58489319246111e+005	(7.57740627263832e+001dB,-1.69209475342603e-001°)
1.62181009735892e+005	(7.57736171181149e+001dB,-1.66311787448834e-001°)
1.65958690743755e+005	(7.57731859007617e+001dB,-1.63403176319453e-001°)
1.69824365246174e+005	(7.57727689028657e+001dB,-1.60486775646413e-001°)
1.73780082874937e+005	(7.57723659368995e+001dB,-1.57565581724554e-001°)
1.77827941003891e+005	(7.57719768009669e+001dB,-1.54642452063837e-001°)
1.81970085860998e+005	(7.57716012804336e+001dB,-1.51720104995046e-001°)
1.86208713666286e+005	(7.57712391495109e+001dB,-1.48801119859676e-001°)
1.90546071796324e+005	(7.57708901727782e+001dB,-1.45887937941383e-001°)
1.94984459975804e+005	(7.57705541066271e+001dB,-1.42982863952337e-001°)
1.99526231496887e+005	(7.57702307006457e+001dB,-1.40088068114601e-001°)
2.04173794466952e+005	(7.57699196989303e+001dB,-1.37205588769185e-001°)
2.08929613085403e+005	(7.57696208413115e+001dB,-1.34337335283712e-001°)
2.13796208950222e+005	(7.57693338645120e+001dB,-1.31485091505679e-001°)
2.18776162394954e+005	(7.57690585032293e+001dB,-1.28650519489703e-001°)
2.23872113856833e+005	(7.57687944911334e+001dB,-1.25835163429737e-001°)
2.29086765276776e+005	(7.57685415617993e+001dB,-1.23040453966929e-001°)
2.34422881531991e+005	(7.57682994495584e+001dB,-1.20267712601277e-001°)
2.39883291901948e+005	(7.57680678902763e+001dB,-1.17518156301023e-001°)
2.45470891568502e+005	(7.57678466220646e+001dB,-1.14792902196492e-001°)
2.51188643150957e+005	(7.57676353859184e+001dB,-1.12092972418496e-001°)
2.57039578276885e+005	(7.57674339262925e+001dB,-1.09419298935556e-001°)
2.63026799189537e+005	(7.57672419916045e+001dB,-1.06772728451734e-001°)
2.69153480392690e+005	(7.57670593346849e+001dB,-1.04154027316769e-001°)
2.75422870333815e+005	(7.57668857131674e+001dB,-1.01563886355532e-001°)
2.81838293126444e+005	(7.57667208898135e+001dB,-9.90029257448821e-002°)
2.88403150312659e+005	(7.57665646327943e+001dB,-9.64716997787360e-002°)
2.95120922666637e+005	(7.57664167159158e+001dB,-9.39707015488463e-002°)
3.01995172040200e+005	(7.57662769187926e+001dB,-9.15003675741551e-002°)
3.09029543251358e+005	(7.57661450269859e+001dB,-8.90610822837714e-002°)
3.16227766016836e+005	(7.57660208320826e+001dB,-8.66531824534149e-002°)
3.23593656929627e+005	(7.57659041317486e+001dB,-8.42769614075120e-002°)
3.31131121482589e+005	(7.57657947297330e+001dB,-8.19326732138076e-002°)
3.38844156139201e+005	(7.57656924358391e+001dB,-7.96205366395031e-002°)
3.46736850452530e+005	(7.57655970658592e+001dB,-7.73407390156409e-002°)
3.54813389233574e+005	(7.57655084414827e+001dB,-7.50934398924926e-002°)
3.63078054770099e+005	(7.57654263901643e+001dB,-7.28787746020479e-002°)
3.71535229097171e+005	(7.57653507449725e+001dB,-7.06968575773452e-002°)
3.80189396320559e+005	(7.57652813444042e+001dB,-6.85477855738094e-002°)
3.89045144994279e+005	(7.57652180321824e+001dB,-6.64316406408911e-002°)
3.98107170553495e+005	(7.57651606570227e+001dB,-6.43484929717981e-002°)
4.07380277804111e+005	(7.57651090723820e+001dB,-6.22984035200167e-002°)
4.16869383470333e+005	(7.57650631361904e+001dB,-6.02814264565082e-002°)
4.26579518801590e+005	(7.57650227105615e+001dB,-5.82976114081432e-002°)
4.36515832240164e+005	(7.57649876614854e+001dB,-5.63470055133165e-002°)
4.46683592150961e+005	(7.57649578585131e+001dB,-5.44296552574816e-002°)
4.57088189614873e+005	(7.57649331744229e+001dB,-5.25456081052082e-002°)
4.67735141287196e+005	(7.57649134848792e+001dB,-5.06949139239044e-002°)
4.78630092322636e+005	(7.57648986680801e+001dB,-4.88776261903291e-002°)
4.89778819368444e+005	(7.57648886044048e+001dB,-4.70938029616367e-002°)
5.01187233627270e+005	(7.57648831760468e+001dB,-4.53435076484980e-002°)
5.12861383991362e+005	(7.57648822666531e+001dB,-4.36268095428332e-002°)
