Freq.	V(input)/I(R3)
1.00000000000000e+005	(7.58301638962889e+001dB,-1.31385359656772e-001°)
1.02329299228075e+005	(7.58299918692886e+001dB,-1.34317334400550e-001°)
1.04712854805090e+005	(7.58298117484770e+001dB,-1.37308035445440e-001°)
1.07151930523761e+005	(7.58296231561893e+001dB,-1.40358102155757e-001°)
1.09647819614319e+005	(7.58294256976870e+001dB,-1.43468131765646e-001°)
1.12201845430196e+005	(7.58292189604674e+001dB,-1.46638673868805e-001°)
1.14815362149688e+005	(7.58290025135706e+001dB,-1.49870224316326e-001°)
1.17489755493953e+005	(7.58287759068768e+001dB,-1.53163218605720e-001°)
1.20226443461741e+005	(7.58285386703775e+001dB,-1.56518024687717e-001°)
1.23026877081238e+005	(7.58282903134643e+001dB,-1.59934935121036e-001°)
1.25892541179417e+005	(7.58280303241955e+001dB,-1.63414158552733e-001°)
1.28824955169313e+005	(7.58277581685819e+001dB,-1.66955810438207e-001°)
1.31825673855641e+005	(7.58274732898685e+001dB,-1.70559903020830e-001°)
1.34896288259165e+005	(7.58271751078459e+001dB,-1.74226334330809e-001°)
1.38038426460288e+005	(7.58268630181640e+001dB,-1.77954876417889e-001°)
1.41253754462275e+005	(7.58265363917024e+001dB,-1.81745162471488e-001°)
1.44543977074593e+005	(7.58261945739574e+001dB,-1.85596672953993e-001°)
1.47910838816821e+005	(7.58258368845004e+001dB,-1.89508720568560e-001°)
1.51356124843621e+005	(7.58254626164934e+001dB,-1.93480434045318e-001°)
1.54881661891248e+005	(7.58250710362931e+001dB,-1.97510740658701e-001°)
1.58489319246111e+005	(7.58246613831570e+001dB,-2.01598347305175e-001°)
1.62181009735893e+005	(7.58242328690653e+001dB,-2.05741720298475e-001°)
1.65958690743756e+005	(7.58237846786843e+001dB,-2.09939063548584e-001°)
1.69824365246174e+005	(7.58233159695136e+001dB,-2.14188295228120e-001°)
1.73780082874937e+005	(7.58228258722285e+001dB,-2.18487022721703e-001°)
1.77827941003892e+005	(7.58223134912396e+001dB,-2.22832516031779e-001°)
1.81970085860998e+005	(7.58217779055571e+001dB,-2.27221679281230e-001°)
1.86208713666287e+005	(7.58212181699374e+001dB,-2.31651020566430e-001°)
1.90546071796325e+005	(7.58206333163999e+001dB,-2.36116619996721e-001°)
1.94984459975804e+005	(7.58200223561600e+001dB,-2.40614095991615e-001°)
1.99526231496888e+005	(7.58193842820138e+001dB,-2.45138569762276e-001°)
2.04173794466953e+005	(7.58187180712636e+001dB,-2.49684628358529e-001°)
2.08929613085404e+005	(7.58180226892330e+001dB,-2.54246285936026e-001°)
2.13796208950223e+005	(7.58172970934408e+001dB,-2.58816943900796e-001°)
2.18776162394955e+005	(7.58165402385146e+001dB,-2.63389349883983e-001°)
2.23872113856834e+005	(7.58157510819480e+001dB,-2.67955555817970e-001°)
2.29086765276777e+005	(7.58149285907330e+001dB,-2.72506875824631e-001°)
2.34422881531992e+005	(7.58140717490144e+001dB,-2.77033844048700e-001°)
2.39883291901949e+005	(7.58131795667939e+001dB,-2.81526173238741e-001°)
2.45470891568503e+005	(7.58122510898360e+001dB,-2.85972714813211e-001°)
2.51188643150958e+005	(7.58112854108179e+001dB,-2.90361421163271e-001°)
2.57039578276886e+005	(7.58102816817767e+001dB,-2.94679311380250e-001°)
2.63026799189538e+005	(7.58092391280121e+001dB,-2.98912441360000e-001°)
2.69153480392691e+005	(7.58081570633999e+001dB,-3.03045879986682e-001°)
2.75422870333816e+005	(7.58070349072121e+001dB,-3.07063692492263e-001°)
2.81838293126445e+005	(7.58058722024134e+001dB,-3.10948933204789e-001°)
2.88403150312660e+005	(7.58046686354431e+001dB,-3.14683649171551e-001°)
2.95120922666638e+005	(7.58034240574126e+001dB,-3.18248896986576e-001°)
3.01995172040201e+005	(7.58021385065516e+001dB,-3.21624774953495e-001°)
3.09029543251359e+005	(7.58008122318167e+001dB,-3.24790472943798e-001°)
3.16227766016838e+005	(7.57994457173406e+001dB,-3.27724342232719e-001°)
3.23593656929628e+005	(7.57980397074950e+001dB,-3.30403987969366e-001°)
3.31131121482591e+005	(7.57965952320741e+001dB,-3.32806386216079e-001°)
