Freq.	V(input)/I(C1)
1.04712854805089e+005	(2.18045089440928e+001dB,-8.99775586157072e+001°)
1.07151930523760e+005	(2.10966457908425e+001dB,-8.99754753190583e+001°)
1.09647819614318e+005	(2.03309626397627e+001dB,-8.99730116706293e+001°)
1.12201845430196e+005	(1.94962666564296e+001dB,-8.99700545041514e+001°)
1.14815362149688e+005	(1.85778620137803e+001dB,-8.99664409951866e+001°)
1.17489755493952e+005	(1.75559169517107e+001dB,-8.99619280822788e+001°)
1.20226443461741e+005	(1.64027521750275e+001dB,-8.99561361192471e+001°)
1.23026877081237e+005	(1.50780635415455e+001dB,-8.99484372842925e+001°)
1.25892541179416e+005	(1.35198453718550e+001dB,-8.99377132177137e+001°)
1.28824955169313e+005	(1.16253301877475e+001dB,-8.99217597024269e+001°)
1.31825673855640e+005	(9.20494469686739e+000dB,-8.98955464902693e+001°)
1.34896288259165e+005	(5.84455879847019e+000dB,-8.98445520615171e+001°)
1.38038426460288e+005	(2.99703687372759e-001dB,-8.97023913826786e+001°)
1.41253754462275e+005	(-1.90941243078273e+001dB,-8.71913078356500e+001°)
1.44543977074592e+005	(-1.79450853394627e+000dB,8.96122679319928e+001°)
1.47910838816820e+005	(4.80080680492380e+000dB,8.98162907405725e+001°)
1.51356124843620e+005	(8.50911900221797e+000dB,8.98785839132642e+001°)
1.54881661891247e+005	(1.11031082091659e+001dB,8.99087282701544e+001°)
1.58489319246110e+005	(1.31016268299799e+001dB,8.99264854596490e+001°)
1.62181009735892e+005	(1.47290754043124e+001dB,8.99381738939738e+001°)
1.65958690743755e+005	(1.61031327392457e+001dB,8.99464384572342e+001°)
1.69824365246173e+005	(1.72932563986518e+001dB,8.99525814058743e+001°)
1.73780082874937e+005	(1.83438892853270e+001dB,8.99573183460237e+001°)
1.77827941003891e+005	(1.92851935619189e+001dB,8.99610751175693e+001°)
1.81970085860997e+005	(2.01385808832711e+001dB,8.99641209560186e+001°)
1.86208713666286e+005	(2.09198003364243e+001dB,8.99666344010347e+001°)
1.90546071796324e+005	(2.16407739782766e+001dB,8.99687385022186e+001°)
1.94984459975803e+005	(2.23107440343032e+001dB,8.99705208061680e+001°)
1.99526231496887e+005	(2.29370200206076e+001dB,8.99720452841286e+001°)
2.04173794466952e+005	(2.35254823565512e+001dB,8.99733597528497e+001°)
2.08929613085403e+005	(2.40809319081828e+001dB,8.99745006575623e+001°)
2.13796208950222e+005	(2.46073387774263e+001dB,8.99754962497920e+001°)
2.18776162394954e+005	(2.51080232964397e+001dB,8.99763687551284e+001°)
2.23872113856833e+005	(2.55857902554268e+001dB,8.99771358865916e+001°)
2.29086765276776e+005	(2.60430301552726e+001dB,8.99778119229683e+001°)
2.34422881531991e+005	(2.64817967529679e+001dB,8.99784084912854e+001°)
2.39883291901948e+005	(2.69038672643219e+001dB,8.99789351439256e+001°)
2.45470891568501e+005	(2.73107896801551e+001dB,8.99793997905698e+001°)
2.51188643150956e+005	(2.77039203710061e+001dB,8.99798090257973e+001°)
2.57039578276885e+005	(2.80844542786214e+001dB,8.99801683805535e+001°)
2.63026799189536e+005	(2.84534493819650e+001dB,8.99804825172963e+001°)
2.69153480392690e+005	(2.88118466935494e+001dB,8.99807553829483e+001°)
2.75422870333815e+005	(2.91604867318464e+001dB,8.99809903298676e+001°)
2.81838293126444e+005	(2.95001231900009e+001dB,8.99811902123117e+001°)
2.88403150312659e+005	(2.98314343549820e+001dB,8.99813574639351e+001°)
2.95120922666637e+005	(3.01550327075970e+001dB,8.99814941604680e+001°)
3.01995172040200e+005	(3.04714730406748e+001dB,8.99816020707121e+001°)
3.09029543251357e+005	(3.07812593619406e+001dB,8.99816826982493e+001°)
3.16227766016836e+005	(3.10848507938009e+001dB,8.99817373157067e+001°)
3.23593656929626e+005	(3.13826666402444e+001dB,8.99817669930113e+001°)
3.31131121482589e+005	(3.16750907582951e+001dB,8.99817726207515e+001°)
3.38844156139200e+005	(3.19624753456995e+001dB,8.99817549295282e+001°)
3.46736850452529e+005	(3.22451442361510e+001dB,8.99817145059934e+001°)
3.54813389233573e+005	(3.25233957771166e+001dB,8.99816518061332e+001°)
3.63078054770099e+005	(3.27975053523079e+001dB,8.99815671662395e+001°)
3.71535229097170e+005	(3.30677276003425e+001dB,8.99814608119307e+001°)
3.80189396320558e+005	(3.33342983726190e+001dB,8.99813328655089e+001°)
3.89045144994278e+005	(3.35974364664874e+001dB,8.99811833518899e+001°)
3.98107170553494e+005	(3.38573451640977e+001dB,8.99810122032949e+001°)
4.07380277804110e+005	(3.41142136026266e+001dB,8.99808192628592e+001°)
4.16869383470332e+005	(3.43682179976973e+001dB,8.99806042872834e+001°)
4.26579518801589e+005	(3.46195227385837e+001dB,8.99803669486292e+001°)
4.36515832240163e+005	(3.48682813711027e+001dB,8.99801068353414e+001°)
4.46683592150960e+005	(3.51146374818381e+001dB,8.99798234525625e+001°)
4.57088189614872e+005	(3.53587254954481e+001dB,8.99795162217930e+001°)
4.67735141287195e+005	(3.56006713952034e+001dB,8.99791844799363e+001°)
4.78630092322635e+005	(3.58405933755494e+001dB,8.99788274777608e+001°)
4.89778819368442e+005	(3.60786024343315e+001dB,8.99784443778020e+001°)
5.01187233627268e+005	(3.63148029113389e+001dB,8.99780342517178e+001°)
5.12861383991361e+005	(3.65492929789838e+001dB,8.99775960771070e+001°)
5.24807460249768e+005	(3.67821650902079e+001dB,8.99771287337950e+001°)
5.37031796370248e+005	(3.70135063880898e+001dB,8.99766309995807e+001°)
5.49540873857620e+005	(3.72433990810904e+001dB,8.99761015454422e+001°)
5.62341325190345e+005	(3.74719207874095e+001dB,8.99755389301846e+001°)
5.75439937337152e+005	(3.76991448515260e+001dB,8.99749415945177e+001°)
5.88843655355584e+005	(3.79251406356431e+001dB,8.99743078545427e+001°)
6.02559586074353e+005	(3.81499737884573e+001dB,8.99736358946215e+001°)
6.16595001861477e+005	(3.83737064934025e+001dB,8.99729237596050e+001°)
6.30957344480188e+005	(3.85963976982874e+001dB,8.99721693463845e+001°)
6.45654229034650e+005	(3.88181033280421e+001dB,8.99713703947336e+001°)
6.60693448007591e+005	(3.90388764821082e+001dB,8.99705244773985e+001°)
6.76082975391976e+005	(3.92587676178483e+001dB,8.99696289893955e+001°)
6.91830970918931e+005	(3.94778247212134e+001dB,8.99686811364653e+001°)
7.07945784384132e+005	(3.96960934657816e+001dB,8.99676779226341e+001°)
7.24435960074984e+005	(3.99136173611703e+001dB,8.99666161368225e+001°)
7.41310241300911e+005	(4.01304378917326e+001dB,8.99654923384419e+001°)
7.58577575029177e+005	(4.03465946463556e+001dB,8.99643028419112e+001°)
7.76247116628685e+005	(4.05621254401060e+001dB,8.99630437000226e+001°)
7.94328234724275e+005	(4.07770664283992e+001dB,8.99617106860755e+001°)
8.12830516164092e+005	(4.09914522143043e+001dB,8.99602992747006e+001°)
8.31763771102664e+005	(4.12053159495471e+001dB,8.99588046212773e+001°)
8.51138038202369e+005	(4.14186894297200e+001dB,8.99572215398537e+001°)
8.70963589956073e+005	(4.16316031841649e+001dB,8.99555444794599e+001°)
8.91250938133738e+005	(4.18440865609592e+001dB,8.99537674987054e+001°)
9.12010839355902e+005	(4.20561678073924e+001dB,8.99518842385418e+001°)
9.33254300796983e+005	(4.22678741462958e+001dB,8.99498878930571e+001°)
9.54992586021428e+005	(4.24792318485546e+001dB,8.99477711781677e+001°)
9.77237220955802e+005	(4.26902663021074e+001dB,8.99455262980592e+001°)
9.99999999999991e+005	(4.29010020777138e+001dB,8.99431449092116e+001°)
1.02329299228075e+006	(4.31114629917486e+001dB,8.99406180818475e+001°)
1.04712854805089e+006	(4.33216721662647e+001dB,8.99379362586100e+001°)
1.07151930523760e+006	(4.35316520865454e+001dB,8.99350892102821e+001°)
1.09647819614318e+006	(4.37414246563532e+001dB,8.99320659883318e+001°)
1.12201845430195e+006	(4.39510112510654e+001dB,8.99288548740604e+001°)
1.14815362149687e+006	(4.41604327688782e+001dB,8.99254433241116e+001°)
1.17489755493952e+006	(4.43697096802404e+001dB,8.99218179120797e+001°)
1.20226443461740e+006	(4.45788620756757e+001dB,8.99179642659446e+001°)
1.23026877081237e+006	(4.47879097121358e+001dB,8.99138670010297e+001°)
1.25892541179416e+006	(4.49968720580190e+001dB,8.99095096481676e+001°)
1.28824955169312e+006	(4.52057683369817e+001dB,8.99048745767317e+001°)
1.31825673855639e+006	(4.54146175706578e+001dB,8.98999429121676e+001°)
1.34896288259164e+006	(4.56234386203990e+001dB,8.98946944476255e+001°)
1.38038426460287e+006	(4.58322502281350e+001dB,8.98891075492875e+001°)
1.41253754462274e+006	(4.60410710564529e+001dB,8.98831590549191e+001°)
1.44543977074591e+006	(4.62499197279799e+001dB,8.98768241651853e+001°)
1.47910838816819e+006	(4.64588148641579e+001dB,8.98700763271916e+001°)
1.51356124843619e+006	(4.66677751234801e+001dB,8.98628871097126e+001°)
1.54881661891247e+006	(4.68768192392648e+001dB,8.98552260695065e+001°)
1.58489319246110e+006	(4.70859660570269e+001dB,8.98470606080784e+001°)
1.62181009735891e+006	(4.72952345715085e+001dB,8.98383558182193e+001°)
1.65958690743754e+006	(4.75046439634175e+001dB,8.98290743195835e+001°)
1.69824365246173e+006	(4.77142136359229e+001dB,8.98191760825195e+001°)
1.73780082874936e+006	(4.79239632509435e+001dB,8.98086182393308e+001°)
1.77827941003891e+006	(4.81339127652633e+001dB,8.97973548820590e+001°)
1.81970085860997e+006	(4.83440824665007e+001dB,8.97853368458241e+001°)
1.86208713666285e+006	(4.85544930089453e+001dB,8.97725114767130e+001°)
1.90546071796323e+006	(4.87651654492760e+001dB,8.97588223830936e+001°)
1.94984459975803e+006	(4.89761212821577e+001dB,8.97442091691859e+001°)
1.99526231496886e+006	(4.91873824757090e+001dB,8.97286071496305e+001°)
2.04173794466951e+006	(4.93989715068201e+001dB,8.97119470436947e+001°)
2.08929613085402e+006	(4.96109113962926e+001dB,8.96941546476805e+001°)
2.13796208950221e+006	(4.98232257437512e+001dB,8.96751504839743e+001°)
2.18776162394953e+006	(5.00359387622779e+001dB,8.96548494250976e+001°)
2.23872113856832e+006	(5.02490753126848e+001dB,8.96331602909769e+001°)
2.29086765276775e+006	(5.04626609373405e+001dB,8.96099854175468e+001°)
2.34422881531990e+006	(5.06767218934386e+001dB,8.95852201946581e+001°)
2.39883291901947e+006	(5.08912851855726e+001dB,8.95587525711289e+001°)
2.45470891568501e+006	(5.11063785974619e+001dB,8.95304625246334e+001°)
2.51188643150955e+006	(5.13220307226448e+001dB,8.95002214939572e+001°)
2.57039578276884e+006	(5.15382709939206e+001dB,8.94678917709859e+001°)
2.63026799189535e+006	(5.17551297112955e+001dB,8.94333258496316e+001°)
2.69153480392689e+006	(5.19726380681393e+001dB,8.93963657286892e+001°)
2.75422870333814e+006	(5.21908281752241e+001dB,8.93568421654548e+001°)
2.81838293126442e+006	(5.24097330822655e+001dB,8.93145738767087e+001°)
2.88403150312657e+006	(5.26293867965259e+001dB,8.92693666834702e+001°)
2.95120922666635e+006	(5.28498242979934e+001dB,8.92210125956880e+001°)
3.01995172040198e+006	(5.30710815505465e+001dB,8.91692888328570e+001°)
3.09029543251356e+006	(5.32931955084986e+001dB,8.91139567762267e+001°)
3.16227766016834e+006	(5.35162041177372e+001dB,8.90547608481414e+001°)
3.23593656929625e+006	(5.37401463106696e+001dB,8.89914273137074e+001°)
3.31131121482587e+006	(5.39650619940067e+001dB,8.89236629998278e+001°)
3.38844156139199e+006	(5.41909920283066e+001dB,8.88511539263612e+001°)
3.46736850452528e+006	(5.44179781980761e+001dB,8.87735638439830e+001°)
3.54813389233571e+006	(5.46460631710434e+001dB,8.86905326730890e+001°)
3.63078054770097e+006	(5.48752904450372e+001dB,8.86016748379560e+001°)
3.71535229097168e+006	(5.51057042807140e+001dB,8.85065774902091e+001°)
3.80189396320557e+006	(5.53373496181256e+001dB,8.84047986155981e+001°)
3.89045144994276e+006	(5.55702719748708e+001dB,8.82958650180791e+001°)
