Freq.	V(output)/V(input)
2.23872113856833e+003	(3.03202243288704e+000dB,-9.14996903656091e+001°)
2.29086765276776e+003	(3.23198632820597e+000dB,-9.15346243988118e+001°)
2.34422881531991e+003	(3.43194852099579e+000dB,-9.15703722757345e+001°)
2.39883291901948e+003	(3.63190893092542e+000dB,-9.16069529621985e+001°)
2.45470891568502e+003	(3.83186747386890e+000dB,-9.16443858664356e+001°)
2.51188643150957e+003	(4.03182406172563e+000dB,-9.16826908494383e+001°)
2.57039578276885e+003	(4.23177860223220e+000dB,-9.17218882355552e+001°)
2.63026799189537e+003	(4.43173099876505e+000dB,-9.17619988233354e+001°)
2.69153480392690e+003	(4.63168115013389e+000dB,-9.18030438966311e+001°)
2.75422870333815e+003	(4.83162895036522e+000dB,-9.18450452359607e+001°)
2.81838293126444e+003	(5.03157428847554e+000dB,-9.18880251301422e+001°)
2.88403150312659e+003	(5.23151704823368e+000dB,-9.19320063882016e+001°)
2.95120922666637e+003	(5.43145710791191e+000dB,-9.19770123515638e+001°)
3.01995172040200e+003	(5.63139434002503e+000dB,-9.20230669065324e+001°)
3.09029543251358e+003	(5.83132861105704e+000dB,-9.20701944970659e+001°)
3.16227766016836e+003	(6.03125978117476e+000dB,-9.21184201378573e+001°)
3.23593656929627e+003	(6.23118770392772e+000dB,-9.21677694277253e+001°)
3.31131121482590e+003	(6.43111222593370e+000dB,-9.22182685633234e+001°)
3.38844156139201e+003	(6.63103318654913e+000dB,-9.22699443531761e+001°)
3.46736850452530e+003	(6.83095041752376e+000dB,-9.23228242320502e+001°)
3.54813389233574e+003	(7.03086374263874e+000dB,-9.23769362756683e+001°)
3.63078054770100e+003	(7.23077297732724e+000dB,-9.24323092157750e+001°)
3.71535229097171e+003	(7.43067792827694e+000dB,-9.24889724555627e+001°)
3.80189396320559e+003	(7.63057839301327e+000dB,-9.25469560854674e+001°)
3.89045144994279e+003	(7.83047415946267e+000dB,-9.26062908993435e+001°)
3.98107170553495e+003	(8.03036500549472e+000dB,-9.26670084110267e+001°)
4.07380277804111e+003	(8.23025069844221e+000dB,-9.27291408712954e+001°)
4.16869383470333e+003	(8.43013099459798e+000dB,-9.27927212852407e+001°)
4.26579518801591e+003	(8.63000563868749e+000dB,-9.28577834300546e+001°)
4.36515832240164e+003	(8.82987436331570e+000dB,-9.29243618732489e+001°)
4.46683592150961e+003	(9.02973688838726e+000dB,-9.29924919913141e+001°)
4.57088189614873e+003	(9.22959292049854e+000dB,-9.30622099888304e+001°)
4.67735141287196e+003	(9.42944215229994e+000dB,-9.31335529180423e+001°)
4.78630092322636e+003	(9.62928426182740e+000dB,-9.32065586989103e+001°)
4.89778819368444e+003	(9.82911891180106e+000dB,-9.32812661396488e+001°)
5.01187233627270e+003	(1.00289457488899e+001dB,-9.33577149577674e+001°)
5.12861383991362e+003	(1.02287644029401e+001dB,-9.34359458016248e+001°)
5.24807460249770e+003	(1.04285744861661e+001dB,-9.35160002725117e+001°)
