Freq.	V(output)/V(input)
1.00000000000000e+000	(3.31663111291339e+001dB,1.78347297658990e+002°)
1.25892541179417e+000	(3.31641987277187e+001dB,1.77919708383066e+002°)
1.58489319246111e+000	(3.31608529003305e+001dB,1.77381740630345e+002°)
1.99526231496888e+000	(3.31555553956502e+001dB,1.76705147178100e+002°)
2.51188643150958e+000	(3.31471726305795e+001dB,1.75854695518972e+002°)
3.16227766016838e+000	(3.31339198984725e+001dB,1.74786681228238e+002°)
3.98107170553497e+000	(3.31129982236682e+001dB,1.73447366178649e+002°)
5.01187233627272e+000	(3.30800446844514e+001dB,1.71771607940831e+002°)
6.30957344480194e+000	(3.30283236962895e+001dB,1.69682254147116e+002°)
7.94328234724282e+000	(3.29475926602212e+001dB,1.67091410771967e+002°)
1.00000000000000e+001	(3.28226394020728e+001dB,1.63905506075474e+002°)
1.25892541179417e+001	(3.26316839144146e+001dB,1.60036997271185e+002°)
1.58489319246111e+001	(3.23452535057282e+001dB,1.55425804514004e+002°)
1.99526231496888e+001	(3.19267646865861e+001dB,1.50071157121300e+002°)
2.51188643150958e+001	(3.13364578398140e+001dB,1.44066972186459e+002°)
3.16227766016838e+001	(3.05394927660322e+001dB,1.37622137202707e+002°)
3.98107170553498e+001	(2.95161338024535e+001dB,1.31042000005760e+002°)
5.01187233627273e+001	(2.82687418499579e+001dB,1.24664651610502e+002°)
6.30957344480194e+001	(2.68208925569293e+001dB,1.18779657789786e+002°)
7.94328234724283e+001	(2.52092492296272e+001dB,1.13572420844919e+002°)
1.00000000000000e+002	(2.34734514391781e+001dB,1.09115054749304e+002°)
1.25892541179417e+002	(2.16488202996531e+001dB,1.05391746527751e+002°)
1.58489319246112e+002	(1.97632288135926e+001dB,1.02334534832173e+002°)
1.99526231496888e+002	(1.78369979475833e+001dB,9.98532560589064e+001°)
2.51188643150958e+002	(1.58841962572632e+001dB,9.78548005861364e+001°)
3.16227766016838e+002	(1.39142425373099e+001dB,9.62532004121265e+001°)
3.98107170553498e+002	(1.19333080610120e+001dB,9.49737158750100e+001°)
5.01187233627273e+002	(9.94538093570321e+000dB,9.39535955503132e+001°)
6.30957344480194e+002	(7.95301592248230e+000dB,9.31412451083207e+001°)
7.94328234724283e+002	(5.95784052727190e+000dB,9.24947826630169e+001°)
1.00000000000000e+003	(3.96088794376234e+000dB,9.19804759571659e+001°)
1.25892541179417e+003	(1.96281268527772e+000dB,9.15712852438969e+001°)
1.58489319246112e+003	(-3.59710969654637e-002dB,9.12455948453993e+001°)
1.99526231496888e+003	(-2.03520140190536e+000dB,9.09861484819576e+001°)
2.51188643150959e+003	(-4.03471229768425e+000dB,9.07791737880268e+001°)
3.16227766016839e+003	(-6.03439829343452e+000dB,9.06136707219551e+001°)
3.98107170553498e+003	(-8.03419164405090e+000dB,9.04808367355857e+001°)
5.01187233627273e+003	(-1.00340477572743e+001dB,9.03736035084125e+001°)
6.30957344480195e+003	(-1.20339355803641e+001dB,9.02862632990412e+001°)
7.94328234724283e+003	(-1.40338309021667e+001dB,9.02141663860789e+001°)
1.00000000000000e+004	(-1.60337111292111e+001dB,9.01534741797644e+001°)
1.25892541179417e+004	(-1.80335504101462e+001dB,9.01009552169195e+001°)
1.58489319246112e+004	(-2.00333140572651e+001dB,9.00538133805682e+001°)
1.99526231496889e+004	(-2.20329510624108e+001dB,9.00095393485390e+001°)
2.51188643150959e+004	(-2.40323830947882e+001dB,8.99657775347504e+001°)
3.16227766016839e+004	(-2.60314876130868e+001dB,8.99202017207282e+001°)
3.98107170553498e+004	(-2.80300714647136e+001dB,8.98703932864822e+001°)
5.01187233627274e+004	(-3.00278293188047e+001dB,8.98137165990732e+001°)
6.30957344480195e+004	(-3.20242780743229e+001dB,8.97471869873593e+001°)
7.94328234724284e+004	(-3.40186533697607e+001dB,8.96673283608741e+001°)
1.00000000000000e+005	(-3.60097465680889e+001dB,8.95700209637065e+001°)
1.25892541179417e+005	(-3.79956488079051e+001dB,8.94503470026005e+001°)
1.58489319246112e+005	(-3.99733512971481e+001dB,8.93024567342144e+001°)
1.99526231496889e+005	(-4.19381265149773e+001dB,8.91195068284072e+001°)
2.51188643150959e+005	(-4.38825835849068e+001dB,8.88937776352884e+001°)
3.16227766016839e+005	(-4.57952587888283e+001dB,8.86171717497023e+001°)
3.98107170553499e+005	(-4.76585903373204e+001dB,8.82824443395748e+001°)
5.01187233627274e+005	(-4.94461901089046e+001dB,8.78856899621896e+001°)
6.30957344480196e+005	(-5.11195774822878e+001dB,8.74306558226193e+001°)
7.94328234724285e+005	(-5.26251523008459e+001dB,8.69349166166478e+001°)
1.00000000000000e+006	(-5.38932488568443e+001dB,8.64360152517528e+001°)
