Freq.	V(input)/I(R5)
1.00000000000000e+002	(8.90726436206989e+001dB,9.00665362335207e+001°)
1.02329299228075e+002	(8.88726436927106e+001dB,9.00680860616510e+001°)
1.04712854805090e+002	(8.86726437681162e+001dB,9.00696719899307e+001°)
1.07151930523761e+002	(8.84726438470756e+001dB,9.00712948592293e+001°)
1.09647819614318e+002	(8.82726439297561e+001dB,9.00729555300306e+001°)
1.12201845430196e+002	(8.80726440163333e+001dB,9.00746548828332e+001°)
1.14815362149688e+002	(8.78726441069908e+001dB,9.00763938186743e+001°)
1.17489755493953e+002	(8.76726442019208e+001dB,9.00781732595287e+001°)
1.20226443461741e+002	(8.74726443013248e+001dB,9.00799941489168e+001°)
1.23026877081238e+002	(8.72726444054135e+001dB,9.00818574522870e+001°)
1.25892541179417e+002	(8.70726445144078e+001dB,9.00837641575851e+001°)
1.28824955169313e+002	(8.68726446285388e+001dB,9.00857152757720e+001°)
1.31825673855641e+002	(8.66726447480487e+001dB,9.00877118413599e+001°)
1.34896288259165e+002	(8.64726448731908e+001dB,9.00897549129587e+001°)
1.38038426460288e+002	(8.62726450042308e+001dB,9.00918455738455e+001°)
1.41253754462275e+002	(8.60726451414465e+001dB,9.00939849324983e+001°)
1.44543977074593e+002	(8.58726452851291e+001dB,9.00961741232474e+001°)
1.47910838816821e+002	(8.56726454355831e+001dB,9.00984143068322e+001°)
1.51356124843621e+002	(8.54726455931279e+001dB,9.01007066710318e+001°)
1.54881661891248e+002	(8.52726457580976e+001dB,9.01030524312855e+001°)
1.58489319246111e+002	(8.50726459308420e+001dB,9.01054528313526e+001°)
1.62181009735893e+002	(8.48726461117277e+001dB,9.01079091439618e+001°)
1.65958690743756e+002	(8.46726463011382e+001dB,9.01104226714912e+001°)
1.69824365246174e+002	(8.44726464994755e+001dB,9.01129947466403e+001°)
1.73780082874937e+002	(8.42726467071601e+001dB,9.01156267331650e+001°)
1.77827941003892e+002	(8.40726469246326e+001dB,9.01183200265969e+001°)
1.81970085860998e+002	(8.38726471523543e+001dB,9.01210760549462e+001°)
1.86208713666287e+002	(8.36726473908083e+001dB,9.01238962794999e+001°)
1.90546071796324e+002	(8.34726476405003e+001dB,9.01267821955938e+001°)
1.94984459975804e+002	(8.32726479019600e+001dB,9.01297353333897e+001°)
1.99526231496888e+002	(8.30726481757419e+001dB,9.01327572586642e+001°)
2.04173794466953e+002	(8.28726484624268e+001dB,9.01358495737123e+001°)
2.08929613085404e+002	(8.26726487626228e+001dB,9.01390139181223e+001°)
2.13796208950223e+002	(8.24726490769667e+001dB,9.01422519696713e+001°)
2.18776162394955e+002	(8.22726494061253e+001dB,9.01455654452348e+001°)
2.23872113856834e+002	(8.20726497507966e+001dB,9.01489561016684e+001°)
2.29086765276777e+002	(8.18726501117120e+001dB,9.01524257367554e+001°)
2.34422881531992e+002	(8.16726504896368e+001dB,9.01559761901490e+001°)
2.39883291901949e+002	(8.14726508853728e+001dB,9.01596093443641e+001°)
2.45470891568503e+002	(8.12726512997594e+001dB,9.01633271257548e+001°)
2.51188643150958e+002	(8.10726517336755e+001dB,9.01671315055540e+001°)
2.57039578276886e+002	(8.08726521880417e+001dB,9.01710245009084e+001°)
2.63026799189538e+002	(8.06726526638216e+001dB,9.01750081759471e+001°)
2.69153480392691e+002	(8.04726531620244e+001dB,9.01790846428913e+001°)
2.75422870333816e+002	(8.02726536837071e+001dB,9.01832560631559e+001°)
2.81838293126445e+002	(8.00726542299761e+001dB,9.01875246484976e+001°)
2.88403150312660e+002	(7.98726548019902e+001dB,9.01918926621965e+001°)
2.95120922666638e+002	(7.96726554009627e+001dB,9.01963624202559e+001°)
3.01995172040201e+002	(7.94726560281641e+001dB,9.02009362926271e+001°)
3.09029543251358e+002	(7.92726566849250e+001dB,9.02056167044586e+001°)
3.16227766016837e+002	(7.90726573726384e+001dB,9.02104061373938e+001°)
3.23593656929628e+002	(7.88726580927631e+001dB,9.02153071308875e+001°)
3.31131121482590e+002	(7.86726588468265e+001dB,9.02203222835344e+001°)
3.38844156139202e+002	(7.84726596364283e+001dB,9.02254542544817e+001°)
3.46736850452531e+002	(7.82726604632434e+001dB,9.02307057647896e+001°)
3.54813389233575e+002	(7.80726613290256e+001dB,9.02360795989224e+001°)
3.63078054770101e+002	(7.78726622356114e+001dB,9.02415786062040e+001°)
3.71535229097172e+002	(7.76726631849238e+001dB,9.02472057023161e+001°)
3.80189396320560e+002	(7.74726641789767e+001dB,9.02529638708744e+001°)
3.89045144994280e+002	(7.72726652198785e+001dB,9.02588561649821e+001°)
3.98107170553496e+002	(7.70726663098374e+001dB,9.02648857088652e+001°)
4.07380277804112e+002	(7.68726674511653e+001dB,9.02710556995323e+001°)
4.16869383470335e+002	(7.66726686462833e+001dB,9.02773694084487e+001°)
4.26579518801592e+002	(7.64726698977266e+001dB,9.02838301832967e+001°)
4.36515832240165e+002	(7.62726712081497e+001dB,9.02904414497354e+001°)
4.46683592150962e+002	(7.60726725803324e+001dB,9.02972067132240e+001°)
4.57088189614874e+002	(7.58726740171855e+001dB,9.03041295608740e+001°)
4.67735141287197e+002	(7.56726755217570e+001dB,9.03112136633623e+001°)
4.78630092322637e+002	(7.54726770972384e+001dB,9.03184627768644e+001°)
4.89778819368445e+002	(7.52726787469718e+001dB,9.03258807450576e+001°)
5.01187233627271e+002	(7.50726804744567e+001dB,9.03334715011578e+001°)
5.12861383991364e+002	(7.48726822833578e+001dB,9.03412390700000e+001°)
5.24807460249771e+002	(7.46726841775121e+001dB,9.03491875701727e+001°)
