Freq.,Vout.,Phase.
7.92446596230557e+002,2.72270255841848e+001,1.23470510872127e+000
9.97631157484441e+002,2.72266142190310e+001,6.34128289960214e-002
1.25594321575479e+003,2.72243191712271e+001,-1.10419970201343e+000
1.58113883008419e+003,2.72196486253440e+001,-2.32988254765004e+000
1.99053585276749e+003,2.72116036825325e+001,-3.67811757975029e+000
2.50593616813636e+003,2.71984710627567e+001,-5.21916638545168e+000
3.15478672240097e+003,2.71774740555010e+001,-7.03206873157673e+000
3.97164117362141e+003,2.71442244611066e+001,-9.20741061168403e+000
5.00000000000001e+003,2.70919007684877e+001,-1.18493804948483e+001
6.29462705897085e+003,2.70100773288649e+001,-1.50761094072103e+001
7.92446596230558e+003,2.68831819099649e+001,-1.90164858303909e+001
9.97631157484441e+003,2.66887344017664e+001,-2.38006833184991e+001
1.25594321575479e+004,2.63959080634340e+001,-2.95412623926519e+001
1.58113883008419e+004,2.59655571172199e+001,-3.63037487444467e+001
1.99053585276749e+004,2.53532926287719e+001,-4.40725715142224e+001
2.50593616813637e+004,2.45164641521045e+001,-5.27295843330110e+001
3.15478672240097e+004,2.34231628127863e+001,-6.20679065249530e+001
3.97164117362142e+004,2.20581235398620e+001,-7.18474671742664e+001
5.00000000000001e+004,2.04208571646420e+001,-8.18638807901225e+001
6.29462705897085e+004,1.85169001966180e+001,-9.19843143680002e+001
7.92446596230558e+004,1.63485914309840e+001,-1.02127111504355e+002
9.97631157484442e+004,1.39119890675905e+001,-1.12203776871496e+002
1.25594321575479e+005,1.12020491409433e+001,-1.22067483164466e+002
1.58113883008419e+005,8.22245327587313e+000,-1.31508092484602e+002
1.99053585276749e+005,4.99293375623053e+000,-1.40301412667260e+002
2.50593616813637e+005,1.54877821567639e+000,-1.48279708302778e+002
3.15478672240097e+005,-2.06657754207916e+000,-1.55378167076727e+002
3.97164117362142e+005,-5.81052340722242e+000,-1.61638545893421e+002
5.00000000000000e+005,-9.64741949047883e+000,-1.67183442027805e+002
Step,Information:,Run=4,Run:,4/100
5.00000000000000e+000,-3.47367834874022e+000,-1.53328482382016e+002
6.29462705897084e+000,1.75367509507258e+000,-1.64700620533506e+002
7.92446596230557e+000,6.63886532708575e+000,-1.78656414920105e+002
9.97631157484440e+000,1.10599678850928e+001,1.65033051134128e+002
1.25594321575479e+001,1.49010201854160e+001,1.46917235994512e+002
1.58113883008419e+001,1.80811017172608e+001,1.27861719032668e+002
1.99053585276749e+001,2.05805334438202e+001,1.08905089467633e+002
2.50593616813636e+001,2.24475629336348e+001,9.10217442728628e+001
3.15478672240097e+001,2.37806076779344e+001,7.49153546341529e+001
3.97164117362141e+001,2.46980524361590e+001,6.09403686287068e+001
5.00000000000000e+001,2.53121580763520e+001,4.91483242179659e+001
6.29462705897084e+001,2.57151276809101e+001,3.93915179218762e+001
7.92446596230557e+001,2.59759649802318e+001,3.14229933706930e+001
9.97631157484440e+001,2.61432637076287e+001,2.49666898167984e+001
1.25594321575479e+002,2.62499152168898e+001,1.97571569047384e+001
1.58113883008419e+002,2.63176179795881e+001,1.55576079976768e+001
1.99053585276749e+002,2.63604487314804e+001,1.21652184513998e+001
2.50593616813636e+002,2.63874360500645e+001,9.40991113512101e+000
3.15478672240097e+002,2.64043183061625e+001,7.15030878330535e+000
3.97164117362141e+002,2.64147048144405e+001,5.26878447522293e+000
5.00000000000000e+002,2.64208236979014e+001,3.66651556946645e+000
6.29462705897084e+002,2.64239903619849e+001,2.25889588610212e+000
7.92446596230557e+002,2.64248865739991e+001,9.71385232046095e-001
9.97631157484441e+002,2.64237060277588e+001,-2.64252229286066e-001
1.25594321575479e+003,2.64201963739737e+001,-1.51341925870003e+000
1.58113883008419e+003,2.64136069848046e+001,-2.84197168150610e+000
1.99053585276749e+003,2.64025331767468e+001,-4.31939889415333e+000
2.50593616813636e+003,2.63846288135316e+001,-6.02191255302828e+000
3.15478672240097e+003,2.63561390956353e+001,-8.03532443784376e+000
3.97164117362141e+003,2.63111862637987e+001,-1.04573428612432e+001
5.00000000000001e+003,2.62407335121927e+001,-1.33984694873198e+001
6.29462705897085e+003,2.61311850195285e+001,-1.69799605911441e+001
7.92446596230558e+003,2.59627118118547e+001,-2.13263782400873e+001
9.97631157484441e+003,2.57077137138093e+001,-2.65495957680780e+001
1.25594321575479e+004,2.53303855670911e+001,-3.27222221837096e+001
1.58113883008419e+004,2.47889227073403e+001,-3.98438045578761e+001
1.99053585276749e+004,2.40416489330300e+001,-4.78138855348173e+001
2.50593616813637e+004,2.30561862527819e+001,-5.64351900171259e+001
3.15478672240097e+004,2.18172708683405e+001,-6.54617869818676e+001
3.97164117362142e+004,2.03276351138034e+001,-7.46753942568222e+001
5.00000000000001e+004,1.86004697958346e+001,-8.39453095857311e+001
