v3	V(vo)
-1.500000000000000e+001	-1.499661e+001
-1.490000000000000e+001	-1.499661e+001
-1.480000000000000e+001	-1.499660e+001
-1.470000000000000e+001	-1.499659e+001
-1.460000000000000e+001	-1.499658e+001
-1.450000000000000e+001	-1.499657e+001
-1.440000000000000e+001	-1.499656e+001
-1.430000000000000e+001	-1.499655e+001
-1.420000000000000e+001	-1.499655e+001
-1.410000000000000e+001	-1.499654e+001
-1.400000000000000e+001	-1.499653e+001
-1.390000000000000e+001	-1.499652e+001
-1.380000000000000e+001	-1.499651e+001
-1.370000000000001e+001	-1.499650e+001
-1.360000000000001e+001	-1.499649e+001
-1.350000000000001e+001	-1.499649e+001
-1.340000000000001e+001	-1.499648e+001
-1.330000000000001e+001	-1.499647e+001
-1.320000000000001e+001	-1.499646e+001
-1.310000000000001e+001	-1.499645e+001
-1.300000000000001e+001	-1.499644e+001
-1.290000000000001e+001	-1.499643e+001
-1.280000000000001e+001	-1.499643e+001
-1.270000000000001e+001	-1.499642e+001
-1.260000000000001e+001	-1.499641e+001
-1.250000000000001e+001	-1.499640e+001
-1.240000000000001e+001	-1.499639e+001
-1.230000000000001e+001	-1.499638e+001
-1.220000000000001e+001	-1.499637e+001
-1.210000000000001e+001	-1.499637e+001
-1.200000000000001e+001	-1.499636e+001
-1.190000000000001e+001	-1.499635e+001
-1.180000000000001e+001	-1.499634e+001
-1.170000000000001e+001	-1.499633e+001
-1.160000000000001e+001	-1.499632e+001
-1.150000000000001e+001	-1.499631e+001
-1.140000000000001e+001	-1.499630e+001
-1.130000000000001e+001	-1.499630e+001
-1.120000000000001e+001	-1.499629e+001
-1.110000000000001e+001	-1.499628e+001
-1.100000000000001e+001	-1.499627e+001
-1.090000000000002e+001	-1.499626e+001
-1.080000000000002e+001	-1.499625e+001
-1.070000000000002e+001	-1.499624e+001
-1.060000000000002e+001	-1.499624e+001
-1.050000000000002e+001	-1.499623e+001
-1.040000000000002e+001	-1.499622e+001
-1.030000000000002e+001	-1.499621e+001
-1.020000000000002e+001	-1.499620e+001
-1.010000000000002e+001	-1.499619e+001
-1.000000000000002e+001	-1.499618e+001
-9.900000000000018e+000	-1.499617e+001
-9.800000000000019e+000	-1.499617e+001
-9.700000000000019e+000	-1.499616e+001
-9.600000000000019e+000	-1.499613e+001
-9.500000000000020e+000	-1.499582e+001
-9.400000000000020e+000	-1.499077e+001
-9.300000000000020e+000	-1.495718e+001
-9.200000000000021e+000	-1.483161e+001
-9.100000000000021e+000	-1.467068e+001
-9.000000000000021e+000	-1.450945e+001
-8.900000000000022e+000	-1.434823e+001
-8.800000000000022e+000	-1.418702e+001
-8.700000000000022e+000	-1.402580e+001
-8.600000000000023e+000	-1.386459e+001
-8.500000000000023e+000	-1.370337e+001
-8.400000000000023e+000	-1.354216e+001
-8.300000000000024e+000	-1.338094e+001
-8.200000000000024e+000	-1.321972e+001
-8.100000000000025e+000	-1.305851e+001
-8.000000000000025e+000	-1.289729e+001
-7.900000000000025e+000	-1.273608e+001
-7.800000000000026e+000	-1.257486e+001
-7.700000000000026e+000	-1.241364e+001
-7.600000000000026e+000	-1.225243e+001
-7.500000000000027e+000	-1.209121e+001
-7.400000000000027e+000	-1.193000e+001
-7.300000000000027e+000	-1.176878e+001
-7.200000000000028e+000	-1.160757e+001
-7.100000000000028e+000	-1.144635e+001
-7.000000000000028e+000	-1.128514e+001
-6.900000000000029e+000	-1.112392e+001
-6.800000000000029e+000	-1.096270e+001
-6.700000000000030e+000	-1.080149e+001
-6.600000000000030e+000	-1.064027e+001
-6.500000000000030e+000	-1.047906e+001
-6.400000000000031e+000	-1.031784e+001
-6.300000000000031e+000	-1.015663e+001
-6.200000000000031e+000	-9.995410e+000
-6.100000000000032e+000	-9.834194e+000
-6.000000000000032e+000	-9.672978e+000
-5.900000000000032e+000	-9.511763e+000
-5.800000000000033e+000	-9.350548e+000
-5.700000000000033e+000	-9.189332e+000
-5.600000000000033e+000	-9.028116e+000
-5.500000000000034e+000	-8.866900e+000
-5.400000000000034e+000	-8.705685e+000
-5.300000000000035e+000	-8.544470e+000
-5.200000000000035e+000	-8.383254e+000
-5.100000000000035e+000	-8.222038e+000
-5.000000000000036e+000	-8.060822e+000
-4.900000000000036e+000	-7.899607e+000
-4.800000000000036e+000	-7.738391e+000
-4.700000000000037e+000	-7.577176e+000
-4.600000000000037e+000	-7.415960e+000
-4.500000000000037e+000	-7.254745e+000
-4.400000000000038e+000	-7.093529e+000
-4.300000000000038e+000	-6.932314e+000
-4.200000000000038e+000	-6.771099e+000
-4.100000000000039e+000	-6.609883e+000
-4.000000000000039e+000	-6.448668e+000
-3.900000000000039e+000	-6.287452e+000
-3.800000000000039e+000	-6.126236e+000
-3.700000000000039e+000	-5.965021e+000
-3.600000000000039e+000	-5.803805e+000
-3.500000000000039e+000	-5.642590e+000
-3.400000000000039e+000	-5.481375e+000
-3.300000000000039e+000	-5.320159e+000
-3.200000000000038e+000	-5.158944e+000
-3.100000000000038e+000	-4.997728e+000
-3.000000000000038e+000	-4.836513e+000
-2.900000000000038e+000	-4.675297e+000
-2.800000000000038e+000	-4.514082e+000
-2.700000000000038e+000	-4.352867e+000
-2.600000000000038e+000	-4.191651e+000
-2.500000000000038e+000	-4.030436e+000
-2.400000000000038e+000	-3.869220e+000
-2.300000000000038e+000	-3.708005e+000
-2.200000000000038e+000	-3.546789e+000
-2.100000000000037e+000	-3.385574e+000
-2.000000000000037e+000	-3.224359e+000
-1.900000000000037e+000	-3.063143e+000
