x-axis,1,2
second,Volt,Volt
+3.684000E-03,+253.437500E-03,-3.035937499E+00
+3.686000E-03,+261.250000E-03,-3.133593749E+00
+3.688000E-03,+270.039063E-03,-3.221484374E+00
+3.690000E-03,+280.781250E-03,-3.328906249E+00
+3.692000E-03,+289.570313E-03,-3.426562499E+00
+3.694000E-03,+297.382813E-03,-3.514453124E+00
+3.696000E-03,+308.125000E-03,-3.602343749E+00
+3.698000E-03,+314.960938E-03,-3.670703124E+00
+3.700000E-03,+327.656250E-03,-3.748828124E+00
+3.702000E-03,+335.468750E-03,-3.826953124E+00
+3.704000E-03,+346.210938E-03,-3.905078124E+00
+3.706000E-03,+354.023438E-03,-3.983203124E+00
+3.708000E-03,+364.765625E-03,-4.080859374E+00
+3.710000E-03,+373.554688E-03,-4.168749999E+00
+3.712000E-03,+381.367188E-03,-4.266406249E+00
+3.714000E-03,+387.226563E-03,-4.344531249E+00
+3.716000E-03,+394.062500E-03,-4.432421874E+00
+3.718000E-03,+400.898438E-03,-4.520312499E+00
+3.720000E-03,+407.734375E-03,-4.598437499E+00
+3.722000E-03,+415.546875E-03,-4.657031249E+00
+3.724000E-03,+424.335938E-03,-4.735156249E+00
+3.726000E-03,+434.101563E-03,-4.793749999E+00
+3.728000E-03,+440.937500E-03,-4.862109374E+00
+3.730000E-03,+451.679688E-03,-4.930468749E+00
+3.732000E-03,+457.539063E-03,-5.008593749E+00
+3.734000E-03,+467.304688E-03,-5.096484374E+00
+3.736000E-03,+473.164063E-03,-5.164843749E+00
+3.738000E-03,+480.976563E-03,-5.242968749E+00
+3.740000E-03,+486.835938E-03,-5.321093749E+00
+3.742000E-03,+493.671875E-03,-5.399218749E+00
+3.744000E-03,+500.507813E-03,-5.496874999E+00
+3.746000E-03,+509.296875E-03,-5.614062499E+00
+3.748000E-03,+515.156250E-03,-5.721484374E+00
+3.750000E-03,+522.968750E-03,-5.838671874E+00
+3.752000E-03,+528.828125E-03,-5.955859374E+00
+3.754000E-03,+536.640625E-03,-6.024218749E+00
+3.756000E-03,+542.500000E-03,-6.112109374E+00
+3.758000E-03,+549.335938E-03,-6.180468749E+00
+3.760000E-03,+555.195313E-03,-6.239062499E+00
+3.762000E-03,+564.960938E-03,-6.317187499E+00
+3.764000E-03,+572.773438E-03,-6.385546874E+00
+3.766000E-03,+582.539063E-03,-6.453906249E+00
+3.768000E-03,+594.257813E-03,-6.532031249E+00
+3.770000E-03,+605.000000E-03,-6.610156249E+00
+3.772000E-03,+618.671875E-03,-6.698046874E+00
+3.774000E-03,+625.507813E-03,-6.766406249E+00
+3.776000E-03,+632.343750E-03,-6.844531249E+00
+3.778000E-03,+639.179688E-03,-6.932421874E+00
+3.780000E-03,+646.015625E-03,-7.030078124E+00
+3.782000E-03,+654.804688E-03,-7.127734374E+00
+3.784000E-03,+660.664063E-03,-7.225390624E+00
+3.786000E-03,+668.476563E-03,-7.313281249E+00
+3.788000E-03,+676.289063E-03,-7.401171874E+00
+3.790000E-03,+681.171875E-03,-7.469531249E+00
+3.792000E-03,+688.984375E-03,-7.567187499E+00
+3.794000E-03,+695.820313E-03,-7.655078124E+00
+3.796000E-03,+702.656250E-03,-7.752734374E+00
+3.798000E-03,+710.468750E-03,-7.850390624E+00
+3.800000E-03,+720.234375E-03,-7.938281249E+00
+3.802000E-03,+727.070313E-03,-8.016406249E+00
+3.804000E-03,+735.859375E-03,-8.094531249E+00
+3.806000E-03,+743.671875E-03,-8.162890624E+00
+3.808000E-03,+749.531250E-03,-8.231249999E+00
+3.810000E-03,+757.343750E-03,-8.299609374E+00
+3.812000E-03,+767.109375E-03,-8.367968749E+00
+3.814000E-03,+777.851563E-03,-8.446093749E+00
+3.816000E-03,+786.640625E-03,-8.524218749E+00
+3.818000E-03,+793.476563E-03,-8.602343749E+00
+3.820000E-03,+802.265625E-03,-8.680468749E+00
+3.822000E-03,+810.078125E-03,-8.748828124E+00
+3.824000E-03,+818.867188E-03,-8.826953124E+00
+3.826000E-03,+826.679688E-03,-8.914843749E+00
+3.828000E-03,+834.492188E-03,-8.983203124E+00
+3.830000E-03,+842.304688E-03,-9.090624999E+00
+3.832000E-03,+850.117188E-03,-9.207812499E+00
+3.834000E-03,+856.953125E-03,-9.334765624E+00
+3.836000E-03,+864.765625E-03,-9.451953124E+00
+3.838000E-03,+869.648438E-03,-9.549609374E+00
+3.840000E-03,+879.414063E-03,-9.608203124E+00
+3.842000E-03,+886.250000E-03,-9.676562499E+00
+3.844000E-03,+893.085938E-03,-9.744921874E+00
+3.846000E-03,+899.921875E-03,-9.793749999E+00
+3.848000E-03,+906.757813E-03,-9.871874999E+00
+3.850000E-03,+912.617188E-03,-9.949999999E+00
+3.852000E-03,+921.406250E-03,-10.037890624E+00
+3.854000E-03,+929.218750E-03,-10.106249999E+00
+3.856000E-03,+938.984375E-03,-10.184374999E+00
+3.858000E-03,+948.750000E-03,-10.252734374E+00
+3.860000E-03,+960.468750E-03,-10.301562499E+00
+3.862000E-03,+969.257813E-03,-10.379687499E+00
+3.864000E-03,+980.000000E-03,-10.457812499E+00
+3.866000E-03,+987.812500E-03,-10.535937499E+00
+3.868000E-03,+994.648438E-03,-10.604296874E+00
+3.870000E-03,+1.001484375E+00,-10.692187499E+00
+3.872000E-03,+1.009296875E+00,-10.780078124E+00
+3.874000E-03,+1.017109375E+00,-10.867968749E+00
+3.876000E-03,+1.022968750E+00,-10.965624999E+00
+3.878000E-03,+1.029804688E+00,-11.033984374E+00
+3.880000E-03,+1.036640625E+00,-11.112109374E+00
