Freq.	V(out)
Step Information: Run=1  (Run: 1/100)
1.58113883008419e+001	(1.76248999037453e+001dB,1.29625686687423e+002°)
1.99053585276749e+001	(2.01877382000872e+001dB,1.10772101296494e+002°)
2.50593616813636e+001	(2.21219604368971e+001dB,9.28795068908845e+001°)
3.15478672240097e+001	(2.35173220399931e+001dB,7.66585671195672e+001°)
3.97164117362141e+001	(2.44864923531785e+001dB,6.24973482696766e+001°)
5.00000000000000e+001	(2.51400067920132e+001dB,5.04870339258472e+001°)
6.29462705897084e+001	(2.55711863172777e+001dB,4.05110292255644e+001°)
7.92446596230557e+001	(2.58513595836214e+001dB,3.23408636938901e+001°)
9.97631157484440e+001	(2.60315294806531e+001dB,2.57085455326788e+001°)
1.25594321575479e+002	(2.61465841812753e+001dB,2.03500879776400e+001°)
1.58113883008419e+002	(2.62197027799489e+001dB,1.60267095908094e+001°)
1.99053585276749e+002	(2.62659924100983e+001dB,1.25321391713022e+001°)
2.50593616813636e+002	(2.62951715017020e+001dB,9.69249341008876e+000°)
3.15478672240097e+002	(2.63134285261439e+001dB,7.36274259939591e+000°)
3.97164117362141e+002	(2.63246602893339e+001dB,5.42195171644351e+000°)
5.00000000000000e+002	(2.63312736646788e+001dB,3.76836031840033e+000°)
6.29462705897084e+002	(2.63346893445462e+001dB,2.31474342763957e+000°)
7.92446596230557e+002	(2.63356423419277e+001dB,9.84177299530206e-001°)
9.97631157484441e+002	(2.63343385925787e+001dB,-2.93816756887869e-001°)
1.25594321575479e+003	(2.63304996137255e+001dB,-1.58683849237593e+000°)
1.58113883008419e+003	(2.63233050416232e+001dB,-2.96298312816081e+000°)
1.99053585276749e+003	(2.63112230103382e+001dB,-4.49409457964119e+000°)
2.50593616813636e+003	(2.62916983627390e+001dB,-6.25889371278380e+000°)
3.15478672240097e+003	(2.62606478557102e+001dB,-8.34582712111854e+000°)
3.97164117362141e+003	(2.62116931962170e+001dB,-1.08551985921857e+001°)
5.00000000000001e+003	(2.61350600345775e+001dB,-1.38996495262789e+001°)
6.29462705897085e+003	(2.60161173192219e+001dB,-1.76012820686044e+001°)
7.92446596230558e+003	(2.58336928557790e+001dB,-2.20827735023389e+001°)
9.97631157484441e+003	(2.55586685321616e+001dB,-2.74493593759659e+001°)
1.25594321575479e+004	(2.51539518819065e+001dB,-3.37602932863907e+001°)
1.58113883008419e+004	(2.45774147729162e+001dB,-4.09948964145906e+001°)
1.99053585276749e+004	(2.37888366575316e+001dB,-4.90296532827813e+001°)
2.50593616813637e+004	(2.27593194950901e+001dB,-5.76499758562428e+001°)
3.15478672240097e+004	(2.14782125981392e+001dB,-6.66069029951126e+001°)
3.97164117362142e+004	(1.99523335082948e+001dB,-7.56950647270580e+001°)
5.00000000000001e+004	(1.81971757251168e+001dB,-8.48060316020267e+001°)
6.29462705897085e+004	(1.62253520969739e+001dB,-9.39272896924886e+001°)
7.92446596230558e+004	(1.40385259525802e+001dB,-1.03092409665710e+002°)
9.97631157484442e+004	(1.16263761840955e+001dB,-1.12310247220137e+002°)
1.25594321575479e+005	(8.97298854184654e+000dB,-1.21506545725858e+002°)
1.58113883008419e+005	(6.06799673857599e+000dB,-1.30508435602708e+002°)
1.99053585276749e+005	(2.91672760495159e+000dB,-1.39085328777537e+002°)
2.50593616813637e+005	(-4.56697106771364e-001dB,-1.47025584817875e+002°)
3.15478672240097e+005	(-4.01470228397065e+000dB,-1.54203591932731e+002°)
3.97164117362142e+005	(-7.71572112645337e+000dB,-1.60604852598053e+002°)
5.00000000000000e+005	(-1.15222822300306e+001dB,-1.66311501113752e+002°)
Step Information: Run=4  (Run: 4/100)
5.00000000000000e+000	(-5.44191924825013e+000dB,-1.48995264268501e+002°)
6.29462705897084e+000	(-9.97796206018968e-002dB,-1.59280008183548e+002°)
7.92446596230557e+000	(4.94896205119272e+000dB,-1.72158863608305e+002°)
9.97631157484440e+000	(9.58684798895290e+000dB,1.72481648883393e+002°)
1.25594321575479e+001	(1.36925311777363e+001dB,1.55044242415953e+002°)
1.58113883008419e+001	(1.71664108386858e+001dB,1.36264500563626e+002°)
1.99053585276749e+001	(1.99601085722335e+001dB,1.17129062015200e+002°)
2.50593616813636e+001	(2.20931715048474e+001dB,9.86677548186142e+001°)
3.15478672240097e+001	(2.36453889094761e+001dB,8.17184116960484e+001°)
3.97164117362141e+001	(2.47299879691127e+001dB,6.67872416800180e+001°)
5.00000000000000e+001	(2.54642150695272e+001dB,5.40467124351091e+001°)
6.29462705897084e+001	(2.59498611317056e+001dB,4.34227819877942e+001°)
7.92446596230557e+001	(2.62659243889139e+001dB,3.47014244589636e+001°)
9.97631157484440e+001	(2.64693788737794e+001dB,2.76128264754950e+001°)
1.25594321575479e+002	(2.65993916004401e+001dB,2.18835444907583e+001°)
1.58113883008419e+002	(2.66820623511944e+001dB,1.72628378150906e+001°)
1.99053585276749e+002	(2.67344347486359e+001dB,1.35326195291861e+001°)
2.50593616813636e+002	(2.67674895916965e+001dB,1.05085076611105e+001°)
3.15478672240097e+002	(2.67882316103748e+001dB,8.03668750881327e+000°)
3.97164117362141e+002	(2.68010858527126e+001dB,5.98918046890966e+000°)
5.00000000000000e+002	(2.68088061279903e+001dB,4.25880166658918e+000°)
6.29462705897084e+002	(2.68130506877865e+001dB,2.75435832571085e+000°)
7.92446596230557e+002	(2.68147327686898e+001dB,1.39626388841552e+000°)
9.97631157484441e+002	(2.68142150378556e+001dB,1.12561681161635e-001°)
1.25594321575479e+003	(2.68113875010813e+001dB,-1.16472570983390e+000°)
1.58113883008419e+003	(2.68056453497105e+001dB,-2.50302687254250e+000°)
1.99053585276749e+003	(2.67957633870756e+001dB,-3.97252216636012e+000°)
2.50593616813636e+003	(2.67796443560179e+001dB,-5.64935125392557e+000°)
3.15478672240097e+003	(2.67538980848738e+001dB,-7.61865098784564e+000°)
3.97164117362141e+003	(2.67131880462120e+001dB,-9.97712877213344e+000°)
5.00000000000001e+003	(2.66492696468528e+001dB,-1.28344813157217e+001°)
6.29462705897085e+003	(2.65496634344784e+001dB,-1.63123154383024e+001°)
7.92446596230558e+003	(2.63960073994298e+001dB,-2.05383171541981e+001°)
9.97631157484441e+003	(2.61624004259512e+001dB,-2.56325982636470e+001°)
1.25594321575479e+004	(2.58145553556777e+001dB,-3.16836346205259e+001°)
1.58113883008419e+004	(2.53111914738334e+001dB,-3.87153683148298e+001°)
1.99053585276749e+004	(2.46091378330873e+001dB,-4.66567028805415e+001°)
2.50593616813637e+004	(2.36719508488929e+001dB,-5.53353221508011e+001°)
3.15478672240097e+004	(2.24784312190871e+001dB,-6.45146902059018e+001°)
3.97164117362142e+004	(2.10253274479979e+001dB,-7.39654676556070e+001°)
5.00000000000001e+004	(1.93214946364803e+001dB,-8.35302883823431e+001°)
6.29462705897085e+004	(1.73770393437700e+001dB,-9.31407366641648e+001°)
7.92446596230558e+004	(1.51943346074830e+001dB,-1.02779002037939e+002°)
9.97631157484442e+004	(1.27660513717745e+001dB,-1.12410393285547e+002°)
1.25594321575479e+005	(1.00812415970775e+001dB,-1.21926857889556e+002°)
1.58113883008419e+005	(7.13614087398333e+000dB,-1.31136805114112e+002°)
1.99053585276749e+005	(3.94310265627699e+000dB,-1.39811478412573e+002°)
2.50593616813637e+005	(5.31890788914277e-001dB,-1.47760131991603e+002°)
3.15478672240097e+005	(-3.05685182838017e+000dB,-1.54887553110113e+002°)
3.97164117362142e+005	(-6.78095801038488e+000dB,-1.61208147738573e+002°)
5.00000000000000e+005	(-1.06038861968811e+001dB,-1.66825221788829e+002°)
Step Information: Run=5  (Run: 5/100)
5.00000000000000e+000	(-3.87275864977694e+000dB,-1.52746183316833e+002°)
6.29462705897084e+000	(1.36293000913052e+000dB,-1.64057092464415e+002°)
7.92446596230557e+000	(6.25999672126567e+000dB,-1.77929728131849e+002°)
9.97631157484440e+000	(1.06983218054906e+001dB,1.65856295718446e+002°)
1.25594321575479e+001	(1.45632416986731e+001dB,1.47833719628298e+002°)
1.58113883008419e+001	(1.77735684563517e+001dB,1.28845167137442e+002°)
1.99053585276749e+001	(2.03071339989000e+001dB,1.09908754146513e+002°)
2.50593616813636e+001	(2.22081908555952e+001dB,9.19914478434248e+001°)
3.15478672240097e+001	(2.35714337030240e+001dB,7.58055956346877e+001°)
3.97164117362141e+001	(2.45131755109064e+001dB,6.17238472356018e+001°)
5.00000000000000e+001	(2.51453987706255e+001dB,4.98162241387549e+001°)
6.29462705897084e+001	(2.55611509065652e+001dB,3.99483550498497e+001°)
7.92446596230557e+001	(2.58306668116723e+001dB,3.18806065359884e+001°)
9.97631157484440e+001	(2.60037079663055e+001dB,2.53396971699832e+001°)
1.25594321575479e+002	(2.61140958986293e+001dB,2.00602492233370e+001°)
1.58113883008419e+002	(2.61842045495753e+001dB,1.58042371644235e+001°)
1.99053585276749e+002	(2.62285756861285e+001dB,1.23671390078584e+001°)
2.50593616813636e+002	(2.62565482156917e+001dB,9.57717424292211e+000°)
3.15478672240097e+002	(2.62740642006914e+001dB,7.29146618881130e+000°)
3.97164117362141e+002	(2.62848661379670e+001dB,5.39117288236769e+000°)
5.00000000000000e+002	(2.62912703691482e+001dB,3.77655952709047e+000°)
6.29462705897084e+002	(2.62946532964165e+001dB,2.36240427213870e+000°)
7.92446596230557e+002	(2.62957430913206e+001dB,1.07383528429721e+000°)
9.97631157484441e+002	(2.62947750258655e+001dB,-1.57440503870778e-001°)
1.25594321575479e+003	(2.62915422903424e+001dB,-1.39661213641709e+000°)
1.58113883008419e+003	(2.62853532947520e+001dB,-2.70904843909202e+000°)
1.99053585276749e+003	(2.62748879754327e+001dB,-4.16347451755778e+000°)
2.50593616813636e+003	(2.62579270570987e+001dB,-5.83506462819834e+000°)
3.15478672240097e+003	(2.62309082909677e+001dB,-7.80835241136492e+000°)
3.97164117362141e+003	(2.61882441850406e+001dB,-1.01796254500060e+001°)
5.00000000000001e+003	(2.61213259219927e+001dB,-1.30580510871169e+001°)
6.29462705897085e+003	(2.60171636782897e+001dB,-1.65640959932754e+001°)
7.92446596230558e+003	(2.58567294076249e+001dB,-2.08228762943206e+001°)
9.97631157484441e+003	(2.56133618062612e+001dB,-2.59493281129724e+001°)
1.25594321575479e+004	(2.52521263882942e+001dB,-3.20228626112140e+001°)
1.58113883008419e+004	(2.47316185963234e+001dB,-3.90539298070794e+001°)
1.99053585276749e+004	(2.40096040967342e+001dB,-4.69551423818840e+001°)
2.50593616813637e+004	(2.30519777664602e+001dB,-5.55397104561537e+001°)
3.15478672240097e+004	(2.18410290476089e+001dB,-6.45643461537603e+001°)
3.97164117362142e+004	(2.03773144432525e+001dB,-7.38040552118164e+001°)
5.00000000000001e+004	(1.86729619522684e+001dB,-8.31159398465811e+001°)
6.29462705897085e+004	(1.67403833076731e+001dB,-9.24533417128350e+001°)
7.92446596230558e+004	(1.45830739742981e+001dB,-1.01825850496485e+002°)
9.97631157484442e+004	(1.21931839312863e+001dB,-1.11230509054719e+002°)
1.25594321575479e+005	(9.55694739463773e+000dB,-1.20590473550238e+002°)
1.58113883008419e+005	(6.66543164142245e+000dB,-1.29735003962153e+002°)
1.99053585276749e+005	(3.52474448554425e+000dB,-1.38436518745596e+002°)
2.50593616813637e+005	(1.59432839996566e-001dB,-1.46485306002422e+002°)
3.15478672240097e+005	(-3.39258124201229e+000dB,-1.53756541034484e+002°)
3.97164117362142e+005	(-7.08934613789139e+000dB,-1.60236163130359e+002°)
5.00000000000000e+005	(-1.08929850498370e+001dB,-1.66007007191289e+002°)
Step Information: Run=6  (Run: 6/100)
5.00000000000000e+000	(-3.26470973783722e+000dB,-1.55305074282147e+002°)
6.29462705897084e+000	(1.92243261621414e+000dB,-1.66744026500189e+002°)
7.92446596230557e+000	(6.75815041859016e+000dB,1.79223460333000e+002°)
9.97631157484440e+000	(1.11203285025337e+001dB,1.62864135458558e+002°)
1.25594321575479e+001	(1.48961264443916e+001dB,1.44763721508949e+002°)
1.58113883008419e+001	(1.80105752446209e+001dB,1.25807562521524e+002°)
1.99053585276749e+001	(2.04505080470860e+001dB,1.07028175240885e+002°)
2.50593616813636e+001	(2.22686051928953e+001dB,8.93730374660275e+001°)
3.15478672240097e+001	(2.35645449831261e+001dB,7.35129283695413e+001°)
3.97164117362141e+001	(2.44555276223518e+001dB,5.97760514332393e+001°)
5.00000000000000e+001	(2.50515566007511e+001dB,4.81986821221689e+001°)
6.29462705897084e+001	(2.54425279032522e+001dB,3.86271692574588e+001°)
7.92446596230557e+001	(2.56955490930434e+001dB,3.08144785655286e+001°)
9.97631157484440e+001	(2.58578177720648e+001dB,2.44874423064528e+001°)
1.25594321575479e+002	(2.59612590347841e+001dB,1.93846465668899e+001°)
1.58113883008419e+002	(2.60269268714173e+001dB,1.52735171525125e+001°)
1.99053585276749e+002	(2.60684782832290e+001dB,1.19551860943088e+001°)
2.50593616813636e+002	(2.60946735188457e+001dB,9.26313832698641e+000°)
3.15478672240097e+002	(2.61110831000477e+001dB,7.05917172484391e+000°)
3.97164117362141e+002	(2.61212155535793e+001dB,5.22852291728187e+000°)
5.00000000000000e+002	(2.61272446407931e+001dB,3.67502519981399e+000°)
6.29462705897084e+002	(2.61304665292733e+001dB,2.31663590410956e+000°)
7.92446596230557e+002	(2.61315748510987e+001dB,1.08140578544935e+000°)
9.97631157484441e+002	(2.61308087783424e+001dB,-9.61598201601176e-002°)
1.25594321575479e+003	(2.61280045933394e+001dB,-1.27844745481820e+000°)
1.58113883008419e+003	(2.61225618332252e+001dB,-2.52789842898131e+000°)
1.99053585276749e+003	(2.61133180310208e+001dB,-3.91007889042777e+000°)
2.50593616813636e+003	(2.60983088947574e+001dB,-5.49669812527864e+000°)
3.15478672240097e+003	(2.60743719397455e+001dB,-7.36851392781259e+000°)
3.97164117362141e+003	(2.60365319134655e+001dB,-9.61786667251954e+000°)
5.00000000000001e+003	(2.59770924883635e+001dB,-1.23502229409692e+001°)
6.29462705897085e+003	(2.58843707310992e+001dB,-1.56835021423555e+001°)
7.92446596230558e+003	(2.57410946400450e+001dB,-1.97430819641531e+001°)
9.97631157484441e+003	(2.55227199632873e+001dB,-2.46494987530964e+001°)
1.25594321575479e+004	(2.51963921243998e+001dB,-3.04960141750739e+001°)
1.58113883008419e+004	(2.47219018106949e+001dB,-3.73166296844552e+001°)
1.99053585276749e+004	(2.40561866184318e+001dB,-4.50539857352301e+001°)
2.50593616813637e+004	(2.31615919690011e+001dB,-5.35479005704920e+001°)
3.15478672240097e+004	(2.20148398596386e+001dB,-6.25656014714382e+001°)
3.97164117362142e+004	(2.06110297314531e+001dB,-7.18706369265950e+001°)
5.00000000000001e+004	(1.89590775341594e+001dB,-8.12932966414526e+001°)
6.29462705897085e+004	(1.70710959082382e+001dB,-9.07585760088244e+001°)
7.92446596230558e+004	(1.49523138074239e+001dB,-1.00257386503785e+002°)
9.97631157484442e+004	(1.25971338141733e+001dB,-1.09781442052625e+002°)
1.25594321575479e+005	(9.99326692294415e+000dB,-1.19258774434208e+002°)
1.58113883008419e+005	(7.13189192914578e+000dB,-1.28526632046886e+002°)
1.99053585276749e+005	(4.01815702447441e+000dB,-1.37361462858501e+002°)
2.50593616813637e+005	(6.75460537708597e-001dB,-1.45550649489364e+002°)
3.15478672240097e+005	(-2.85883347284896e+000dB,-1.52961674995940e+002°)
3.97164117362142e+005	(-6.54253602639749e+000dB,-1.59572291839725e+002°)
5.00000000000000e+005	(-1.03370017257819e+001dB,-1.65459626408970e+002°)
Step Information: Run=7  (Run: 7/100)
5.00000000000000e+000	(-2.76559036021620e+000dB,-1.50906088291567e+002°)
6.29462705897084e+000	(2.50088576433593e+000dB,-1.62145814540097e+002°)
7.92446596230557e+000	(7.43732564083417e+000dB,-1.75909952250223e+002°)
9.97631157484440e+000	(1.19259311762048e+001dB,1.67990970525269e+002°)
1.25594321575479e+001	(1.58519799307145e+001dB,1.50050109627541e+002°)
1.58113883008419e+001	(1.91308446635409e+001dB,1.31072206142089e+002°)
1.99053585276749e+001	(2.17340192287886e+001dB,1.12054635510123e+002°)
2.50593616813636e+001	(2.36988401046391e+001dB,9.39702433242998e+001°)
3.15478672240097e+001	(2.51151708491165e+001dB,7.75588677605753e+001°)
3.97164117362141e+001	(2.60977116359456e+001dB,6.32275378903133e+001°)
5.00000000000000e+001	(2.67594085626995e+001dB,5.10747618709140e+001°)
6.29462705897084e+001	(2.71955176918607e+001dB,4.09837931255386e+001°)
7.92446596230557e+001	(2.74786629780486e+001dB,3.27228456942366e+001°)
9.97631157484440e+001	(2.76606411123160e+001dB,2.60199695095267e+001°)
1.25594321575479e+002	(2.77768104969351e+001dB,2.06076221995004e+001°)
1.58113883008419e+002	(2.78506283095853e+001dB,1.62441608746831e+001°)
1.99053585276749e+002	(2.78973690993282e+001dB,1.27211502343728e+001°)
2.50593616813636e+002	(2.79268556622253e+001dB,9.86316548242536e+000°)
3.15478672240097e+002	(2.79453457228049e+001dB,7.52418162824058e+000°)
3.97164117362141e+002	(2.79567875535012e+001dB,5.58275867363373e+000°)
5.00000000000000e+002	(2.79636338135359e+001dB,3.93709010977356e+000°)
6.29462705897084e+002	(2.79673555697765e+001dB,2.50035587360056e+000°)
7.92446596230557e+002	(2.79687537644717e+001dB,1.19650147918230e+000°)
9.97631157484441e+002	(2.79681299227963e+001dB,-4.35865130301853e-002°)
1.25594321575479e+003	(2.79653509860321e+001dB,-1.28560203563871e+000°)
1.58113883008419e+003	(2.79598220357303e+001dB,-2.59514759465994e+000°)
1.99053585276749e+003	(2.79503623162456e+001dB,-4.04096308866036e+000°)
2.50593616813636e+003	(2.79349617477971e+001dB,-5.69810025851496e+000°)
3.15478672240097e+003	(2.79103753978786e+001dB,-7.65098395356766e+000°)
3.97164117362141e+003	(2.78714928834027e+001dB,-9.99610045162084e+000°)
5.00000000000001e+003	(2.78104051544282e+001dB,-1.28436853436112e+001°)
6.29462705897085e+003	(2.77151029983662e+001dB,-1.63171652061108e+001°)
7.92446596230558e+003	(2.75678264578928e+001dB,-2.05482167703119e+001°)
9.97631157484441e+003	(2.73433232353389e+001dB,-2.56644223118224e+001°)
1.25594321575479e+004	(2.70077472373810e+001dB,-3.17666796051160e+001°)
1.58113883008419e+004	(2.65195472225513e+001dB,-3.88970051167255e+001°)
1.99053585276749e+004	(2.58338728556583e+001dB,-4.70062678626606e+001°)
2.50593616813637e+004	(2.49106386879403e+001dB,-5.59424590393231e+001°)
3.15478672240097e+004	(2.37231231214140e+001dB,-6.54796026074871e+001°)
3.97164117362142e+004	(2.22615227348053e+001dB,-7.53824907196880e+001°)
5.00000000000001e+004	(2.05282862425109e+001dB,-8.54687127061821e+001°)
6.29462705897085e+004	(1.85284053397685e+001dB,-9.56252558845427e+001°)
7.92446596230558e+004	(1.62618514880743e+001dB,-1.05771061828048e+002°)
9.97631157484442e+004	(1.37235591273551e+001dB,-1.15796395388533e+002°)
1.25594321575479e+005	(1.09109600482019e+001dB,-1.25525472470490e+002°)
1.58113883008419e+005	(7.83367380391299e+000dB,-1.34733275613566e+002°)
1.99053585276749e+005	(4.51815800260664e+000dB,-1.43208048129828e+002°)
2.50593616813637e+005	(1.00412097385231e+000dB,-1.50816803529947e+002°)
3.15478672240097e+005	(-2.66414883111238e+000dB,-1.57535288952702e+002°)
3.97164117362142e+005	(-6.44597174652310e+000dB,-1.63437530360342e+002°)
